,Excitatory,Microglia,OD,Inhibitory,Endothelial,Astrocyte
-2471.778086_3045.402956,0.25785848,0.00485665,0.5224591,0.006661864,0.19015169,0.018012216
-2471.778086_3145.402956,0.6299102,0.025727564,0.2980651,0.001862055,0.009200909,0.035234172
-2471.778086_3245.402956,0.6177653,0.014475157,0.30927432,0.003358647,0.004433515,0.05069293
-2471.778086_3345.402956,0.55638796,0.007776229,0.29342976,0.015661426,0.008826183,0.117918454
-2471.778086_3445.402956,0.3853727,0.009835167,0.18455106,0.030299466,0.37726763,0.012673982
-2471.778086_3545.402956,0.61391973,0.044805996,0.14691493,0.01499032,0.14477181,0.034597132
-2471.778086_3645.402956,0.34506005,0.057269476,0.4534627,0.022202391,0.0905606,0.031444803
-2471.778086_3745.402956,0.56438833,0.005701827,0.30222666,0.06924964,0.011753088,0.04668046
-2471.778086_3845.402956,0.21255258,0.020755587,0.2912821,0.03623256,0.41022977,0.028947469
-2471.778086_3945.402956,0.16901657,0.028133787,0.65680796,0.019848693,0.042561304,0.083631754
-2471.778086_4045.402956,0.05547468,0.032049194,0.44819012,0.003863342,0.36451632,0.095906235
-2471.778086_4145.402956,0.036647063,0.018864224,0.6340287,0.0006856,0.24333644,0.066438004
-2471.778086_4245.402956,0.057843603,0.001368349,0.8310995,0.001914585,0.050229773,0.05754418
-2571.778086_2745.402956,0.1487272,0.013860535,0.755649,0.003826777,0.07579578,0.002140801
-2571.778086_2845.402956,0.22234884,0.0264557,0.6110713,0.006702951,0.10088596,0.03253525
-2571.778086_2945.402956,0.35163108,0.0839379,0.30186018,0.004001627,0.2563816,0.002187573
-2571.778086_3045.402956,0.69589317,0.010493344,0.13791548,0.002080012,0.12997696,0.023641154
-2571.778086_3145.402956,0.31181324,0.021537175,0.3192386,0.009956067,0.3342086,0.003246248
-2571.778086_3245.402956,0.60552365,0.030422881,0.33790794,0.003851237,0.011349208,0.010945048
-2571.778086_3345.402956,0.46494883,0.041299265,0.1548268,0.00389518,0.33184943,0.003180539
-2571.778086_3445.402956,0.30278042,0.007306954,0.5011989,0.013010254,0.15330039,0.022403099
-2571.778086_3545.402956,0.45650387,0.11348007,0.18784705,0.008059796,0.21588084,0.018228408
-2571.778086_3645.402956,0.4233149,0.07090542,0.27607325,0.03201692,0.14347462,0.054214954
-2571.778086_3745.402956,0.35905203,0.09550055,0.37480763,0.040452518,0.10603958,0.024147697
-2571.778086_3845.402956,0.5758026,0.062252544,0.22039868,0.017114496,0.06356151,0.06087017
-2571.778086_3945.402956,0.40423048,0.08652202,0.28825155,0.011639465,0.19476265,0.01459383
-2571.778086_4045.402956,0.017783575,0.000210941,0.8218892,0.003176374,0.0071329,0.14980699
-2571.778086_4145.402956,0.03059085,0.008192804,0.669934,0.055427317,0.090755165,0.14509986
-2571.778086_4245.402956,0.22206806,0.004611486,0.73527354,0.016655363,0.006645716,0.01474583
-2671.778086_2745.402956,0.2576387,0.095763795,0.5970497,0.000218714,0.018354999,0.030974021
-2671.778086_2845.402956,0.34643838,0.019069519,0.5496462,0.000212558,0.008869304,0.07576402
-2671.778086_2945.402956,0.11124043,0.007011462,0.58303446,0.000368759,0.27765438,0.020690491
-2671.778086_3045.402956,0.24004062,0.1528846,0.29712167,0.000492387,0.28875524,0.020705495
-2671.778086_3145.402956,0.066755936,0.19251136,0.2972225,0.000357244,0.18610355,0.25704944
-2671.778086_3245.402956,0.19475904,0.059269384,0.15847626,0.0071173,0.043716986,0.536661
-2671.778086_3345.402956,0.5287647,0.27528906,0.14610867,0.000663201,0.025145672,0.024028612
-2671.778086_3445.402956,0.27160975,0.007126462,0.60099375,0.003753803,0.09056617,0.02595013
-2671.778086_3545.402956,0.57186586,0.06173466,0.23661007,0.014318656,0.019149756,0.09632091
-2671.778086_3645.402956,0.1429239,0.011056302,0.14368318,0.00361594,0.44859228,0.25012836
-2671.778086_3745.402956,0.16811329,0.37742177,0.22736518,0.026895288,0.16942373,0.030780766
-2671.778086_3845.402956,0.21499243,0.15781264,0.2436642,0.008229915,0.32549894,0.049801875
-2671.778086_3945.402956,0.08783613,0.026862262,0.5889124,0.00556706,0.08858916,0.20223287
-2671.778086_4045.402956,0.019253638,0.00209809,0.8457607,3.45E-06,0.006411195,0.12647304
-2671.778086_4145.402956,0.014556765,0.000766661,0.9381795,2.07E-05,0.006664598,0.039811857
-2671.778086_4245.402956,0.008941802,0.31031612,0.08769194,0.000430681,0.060811568,0.5318079
-2771.778086_2745.402956,0.23371437,0.074260764,0.5491672,0.000395412,0.068499036,0.0739633
-2771.778086_2845.402956,0.16534282,0.28670362,0.41458276,0.000315202,0.11682385,0.016231783
-2771.778086_2945.402956,0.10594039,0.21961121,0.3035717,1.67E-05,0.3103633,0.060496766
-2771.778086_3045.402956,0.23174994,0.22504964,0.2726076,0.000319276,0.1085488,0.16172475
-2771.778086_3145.402956,0.52796364,0.06835191,0.29728976,0.000222461,0.06509593,0.04107637
-2771.778086_3245.402956,0.36851355,0.3182006,0.28944,0.001211439,0.019103177,0.00353125
-2771.778086_3345.402956,0.4002267,0.022318998,0.26625496,0.006224581,0.23139763,0.07357715
-2771.778086_3445.402956,0.57454556,0.0400037,0.21641813,0.006208789,0.03474821,0.12807561
-2771.778086_3545.402956,0.48033923,0.022172676,0.32477042,0.004800333,0.015655665,0.15226169
-2771.778086_3645.402956,0.36551517,0.06525586,0.31123194,0.013928606,0.17178781,0.072280616
-2771.778086_3745.402956,0.33637324,0.03913071,0.19676068,0.007600262,0.049103014,0.37103212
-2771.778086_3845.402956,0.11534857,0.10368695,0.31877428,0.000664847,0.45032892,0.011196434
-2771.778086_3945.402956,0.021664258,0.006647159,0.9018393,0.008720074,0.028235624,0.032893594
-2771.778086_4045.402956,0.007539995,0.002426527,0.8564442,1.87E-05,0.076422736,0.057147868
-2771.778086_4145.402956,0.006884986,0.002222195,0.90100306,3.52E-05,0.069239266,0.020615216
-2771.778086_4245.402956,0.002111678,0.3658883,0.5493356,9.47E-06,0.023874141,0.05878077
-2871.778086_2745.402956,0.26985753,0.06290698,0.464231,0.021805743,0.17455867,0.006639948
-2871.778086_2845.402956,0.2982276,0.040573716,0.61458695,0.004619585,0.026317386,0.015674753
-2871.778086_2945.402956,0.45353723,0.036592394,0.44059187,0.004649649,0.056141075,0.008487695
-2871.778086_3045.402956,0.58308303,0.055311415,0.22733943,0.001104394,0.12423067,0.008931074
-2871.778086_3145.402956,0.6724667,0.027389325,0.27898252,0.000442175,0.011030372,0.00968885
-2871.778086_3245.402956,0.55024683,0.19441347,0.16187267,0.000634497,0.07455858,0.018273918
-2871.778086_3345.402956,0.6379908,0.00678979,0.32478082,0.007343978,0.013058314,0.010036396
-2871.778086_3445.402956,0.3652619,0.00295062,0.53438234,0.049759254,0.005835977,0.041809883
-2871.778086_3545.402956,0.3627756,0.006492651,0.5424569,0.026812494,0.006561974,0.05490032
-2871.778086_3645.402956,0.24053958,0.005426215,0.5924701,0.017001512,0.03301065,0.111551896
-2871.778086_3745.402956,0.50951487,0.07720446,0.15270531,0.014032405,0.07100652,0.17553644
-2871.778086_3845.402956,0.25554073,0.07578096,0.26276106,0.011217808,0.2752773,0.11942217
-2871.778086_3945.402956,0.15271132,0.004399973,0.65882486,0.03266061,0.07009449,0.08130877
-2871.778086_4045.402956,0.014082422,0.015689414,0.8938008,2.77E-05,0.008685075,0.06771461
-2871.778086_4145.402956,0.014404763,0.005697294,0.96495914,1.06E-05,0.004315972,0.010612181
-2871.778086_4245.402956,0.010007069,0.06434104,0.12125083,4.55E-06,0.7281554,0.07624117
-2971.778086_2745.402956,0.3731831,0.12463375,0.36163163,0.014603991,0.11296465,0.012982881
-2971.778086_2845.402956,0.45624608,0.060007423,0.27849993,0.013328607,0.17298459,0.018933313
-2971.778086_2945.402956,0.57183623,0.047676735,0.23720042,0.004159775,0.09786331,0.04126353
-2971.778086_3045.402956,0.50697815,0.02256776,0.11331214,0.004487339,0.20455664,0.14809798
-2971.778086_3145.402956,0.6133934,0.02472668,0.13605241,0.011103221,0.20451093,0.010213317
-2971.778086_3245.402956,0.5375658,0.05947816,0.12688911,0.018997345,0.22967096,0.027398592
-2971.778086_3345.402956,0.2810751,0.005988066,0.5028396,0.005985251,0.07743532,0.12667665
-2971.778086_3445.402956,0.5688187,0.07514267,0.22317675,0.02090013,0.10252279,0.009439047
-2971.778086_3545.402956,0.47158915,0.023922702,0.34600186,0.047939833,0.10243311,0.008113396
-2971.778086_3645.402956,0.5525568,0.039862473,0.26580703,0.024974901,0.09910632,0.017692497
-2971.778086_3745.402956,0.2365405,0.018733578,0.42190847,0.04665391,0.20499735,0.07116621
-2971.778086_3845.402956,0.41578126,0.027081,0.22447032,0.037442982,0.15930125,0.13592319
-2971.778086_3945.402956,0.28813592,0.003316309,0.55610394,0.021508638,0.013823705,0.117111586
-2971.778086_4045.402956,0.23422617,0.012017537,0.4903534,0.015771896,0.18368468,0.063946314
-2971.778086_4145.402956,0.092085026,0.004942214,0.6172968,0.041474707,0.060199603,0.18400158
-2971.778086_4245.402956,0.17056862,0.003540461,0.54566973,0.023422174,0.008981965,0.24781705
-3071.778086_2745.402956,0.42422354,0.009827901,0.3727737,0.024526004,0.08976238,0.0788865
-3071.778086_2845.402956,0.5693452,0.050001275,0.1964316,0.003488294,0.16993253,0.010801148
-3071.778086_2945.402956,0.22108494,0.012241719,0.27953368,0.012125236,0.45525208,0.019762238
-3071.778086_3045.402956,0.30772698,0.010990856,0.49514285,0.011571243,0.10562156,0.068946525
-3071.778086_3145.402956,0.18037795,0.00392061,0.29835632,0.011719143,0.43779278,0.06783321
-3071.778086_3245.402956,0.6068156,0.00790864,0.22170527,0.006204257,0.07027425,0.08709205
-3071.778086_3345.402956,0.33271605,0.021918701,0.42981723,0.004825758,0.08489865,0.12582356
-3071.778086_3445.402956,0.5000421,0.026733978,0.3451405,0.08556525,0.006745909,0.03577231
-3071.778086_3545.402956,0.3766522,0.023817753,0.34258747,0.013027447,0.19771191,0.046203304
-3071.778086_3645.402956,0.3404153,0.04209765,0.1521265,0.013230358,0.3909908,0.061139364
-3071.778086_3745.402956,0.3827576,0.008625418,0.5065076,0.020736953,0.013467486,0.06790495
-3071.778086_3845.402956,0.65135735,0.030323165,0.21876739,0.05457969,0.017637953,0.02733436
-3071.778086_3945.402956,0.41650677,0.041355852,0.17060864,0.005929982,0.043282617,0.32231605
-3071.778086_4045.402956,0.26671883,0.006191928,0.39760152,0.016827328,0.12567925,0.18698114
-3071.778086_4145.402956,0.044923007,0.006131869,0.68022424,0.002737155,0.24163115,0.024352599
-3071.778086_4245.402956,0.011572748,0.000363448,0.7909757,0.00125518,0.12911516,0.06671778
-3171.778086_2745.402956,0.2625128,0.005680369,0.62237555,0.002811336,0.05618484,0.050435066
-3171.778086_2845.402956,0.30561942,0.023932682,0.5482765,0.004787169,0.074336044,0.043048237
-3171.778086_2945.402956,0.15696639,0.028006075,0.65170574,0.010826905,0.0951331,0.057361837
-3171.778086_3045.402956,0.13011819,0.000189162,0.6238706,0.05378234,0.16581488,0.02622479
-3171.778086_3145.402956,0.38707015,0.014790674,0.43864444,0.005388374,0.1365484,0.017557949
-3171.778086_3245.402956,0.19004846,0.051108792,0.5222993,0.011623106,0.20749386,0.017426433
-3171.778086_3345.402956,0.4990211,0.049057007,0.30027404,0.022786403,0.103771836,0.025089648
-3171.778086_3445.402956,0.18193221,0.06201093,0.25163746,0.002464682,0.32562548,0.17632924
-3171.778086_3545.402956,0.37047806,0.053239197,0.11811949,0.01275731,0.42443964,0.02096629
-3171.778086_3645.402956,0.4532124,0.005544783,0.30017784,0.01990673,0.02359711,0.19756116
-3171.778086_3745.402956,0.6280045,0.11003742,0.16866326,0.006851392,0.057152733,0.029290676
-3171.778086_3845.402956,0.6705568,0.038382854,0.14488354,0.008261198,0.13377878,0.004136869
-3171.778086_3945.402956,0.5018504,0.059214998,0.27766454,0.05368196,0.09175497,0.01583303
-3171.778086_4045.402956,0.30467466,0.073575124,0.3335535,0.02606181,0.20726667,0.054868296
-3171.778086_4145.402956,0.12710556,0.004861144,0.5946841,0.012893081,0.18371521,0.07674087
-3171.778086_4245.402956,0.12509374,0.007995742,0.7192659,0.009253188,0.10831826,0.030073239
-3271.778086_2745.402956,0.1948119,0.019161224,0.5932815,0.02796324,0.06254714,0.10223498
-3271.778086_2845.402956,0.3150758,0.020000974,0.14710142,0.015639279,0.44919148,0.052990947
-3271.778086_2945.402956,0.45476234,0.0449485,0.23150212,0.015224206,0.16775595,0.08580684
-3271.778086_3045.402956,0.20180093,0.01194774,0.6793557,0.013854619,0.046703234,0.046337813
-3271.778086_3145.402956,0.3304358,0.002161398,0.4941413,0.052525494,0.02350623,0.09722977
-3271.778086_3245.402956,0.19119537,0.009032464,0.6519883,0.026764391,0.09860025,0.022419231
-3271.778086_3345.402956,0.18149185,0.002150945,0.64245194,0.02131489,0.12547517,0.027115233
-3271.778086_3445.402956,0.19269569,0.011510034,0.576488,0.013231258,0.1576084,0.048466563
-3271.778086_3545.402956,0.65171224,0.059581574,0.19977209,0.013423258,0.071087115,0.004423711
-3271.778086_3645.402956,0.5241148,0.11766748,0.27465576,0.019520795,0.054804523,0.009236655
-3271.778086_3745.402956,0.4670868,0.023749007,0.40128398,0.012698663,0.046666067,0.048515476
-3271.778086_3845.402956,0.41416898,0.07020871,0.4281628,0.007360172,0.075725,0.004374332
-3271.778086_3945.402956,0.48735467,0.015562291,0.31290412,0.034175493,0.005417844,0.14458555
-3271.778086_4045.402956,0.46720886,0.05714727,0.22007388,0.020000556,0.17630468,0.059264794
-3271.778086_4145.402956,0.28567138,0.007879135,0.60529363,0.023773614,0.005634548,0.071747646
-3271.778086_4245.402956,0.14440538,0.00819122,0.6535969,0.016770663,0.10641306,0.07062272
-3371.778086_2745.402956,0.15363236,0.000938038,0.69392854,0.021513218,0.025210604,0.104777284
-3371.778086_2845.402956,0.21853442,0.016757969,0.4554882,0.011693189,0.21760423,0.07992196
-3371.778086_2945.402956,0.17520396,0.002406679,0.63020283,0.05257211,0.05181034,0.08780405
-3371.778086_3045.402956,0.40734172,0.13569188,0.20726578,0.027905049,0.19372366,0.02807194
-3371.778086_3145.402956,0.101657644,0.0022876,0.62840796,0.00854779,0.19515635,0.06394274
-3371.778086_3245.402956,0.19894075,0.12971656,0.20541543,0.0392817,0.32040817,0.10623742
-3371.778086_3345.402956,0.39574865,0.07215331,0.37571767,0.03932867,0.11247561,0.004576104
-3371.778086_3445.402956,0.21677727,0.058657758,0.652804,0.03127861,0.004623272,0.035859052
-3371.778086_3545.402956,0.29847637,0.06244799,0.5988316,0.001961811,0.011081155,0.027201006
-3371.778086_3645.402956,0.28489786,0.022606991,0.5767693,0.005918501,0.07459942,0.035207964
-3371.778086_3745.402956,0.3220718,0.006432336,0.5638861,0.033542935,0.002585756,0.07148114
-3371.778086_3845.402956,0.646212,0.052371092,0.1777207,0.024748338,0.04313502,0.0558128
-3371.778086_3945.402956,0.33546492,0.013738139,0.36977243,0.029162565,0.21486124,0.0370007
-3371.778086_4045.402956,0.29684386,0.1144769,0.15740149,0.015748482,0.38448203,0.031047288
-3371.778086_4145.402956,0.55986285,0.107631885,0.24943736,0.036697764,0.028464448,0.017905656
-3371.778086_4245.402956,0.32926768,0.010788467,0.41487473,0.003699422,0.004305359,0.23706435
-3471.778086_2745.402956,0.3389054,0.11660397,0.13333821,0.047099646,0.33353788,0.03051494
-3471.778086_2845.402956,0.05581786,0.008547979,0.65796155,0.025543038,0.20155767,0.05057199
-3471.778086_2945.402956,0.03431632,0.012177777,0.61773694,0.012207788,0.29540145,0.028159775
-3471.778086_3045.402956,0.10346096,0.010790741,0.7345514,0.08456723,0.013142298,0.053487375
-3471.778086_3145.402956,0.2085662,0.005556026,0.67210263,0.042560883,0.009352407,0.061861873
-3471.778086_3245.402956,0.07026639,0.005459307,0.56009656,0.027803473,0.12313556,0.21323864
-3471.778086_3345.402956,0.11039152,0.014344092,0.757846,0.016729472,0.075119756,0.025569113
-3471.778086_3445.402956,0.07513061,0.005745705,0.5921972,0.03077297,0.25053403,0.045619488
-3471.778086_3545.402956,0.10897665,0.17635015,0.48965535,0.037179507,0.17401688,0.013821436
-3471.778086_3645.402956,0.3035842,0.012201118,0.5922083,0.033383656,0.009822675,0.04880009
-3471.778086_3745.402956,0.42340034,0.01638619,0.3997134,0.03904523,0.095800035,0.025654856
-3471.778086_3845.402956,0.31542414,0.002425713,0.5715089,0.029673774,0.01104456,0.06992292
-3471.778086_3945.402956,0.3924815,0.18424909,0.31873164,0.048550524,0.03810862,0.017878551
-3471.778086_4045.402956,0.3382736,0.051938098,0.45851475,0.04667116,0.046400905,0.058201447
-3471.778086_4145.402956,0.20555586,0.001916691,0.6481033,0.030696508,0.00847682,0.1052508
-3471.778086_4245.402956,0.4915142,0.060690716,0.3070303,0.048408393,0.06593377,0.026422655
1179.730793_2730.950073,0.10647057,0.011116435,0.52010274,0.02296423,0.28932863,0.05001735
1179.730793_2830.950073,0.20152484,0.007325019,0.5312531,0.13668895,0.033477645,0.089730434
1179.730793_2930.950073,0.17434675,0.007558875,0.754104,0.000473293,0.012401598,0.051115453
1179.730793_3030.950073,0.32712385,0.03766428,0.45893863,0.028588844,0.13245198,0.015232444
1179.730793_3130.950073,0.37736553,0.042773884,0.24223688,0.024429321,0.11354727,0.19964714
1179.730793_3230.950073,0.17267813,0.001909381,0.6631509,0.015022815,0.006038644,0.14120018
1179.730793_3330.950073,0.18578134,0.02346861,0.48911324,0.011924337,0.24364643,0.04606606
1179.730793_3430.950073,0.17931232,0.011122314,0.69713336,0.04422771,0.008467692,0.05973663
1179.730793_3530.950073,0.64387167,0.013768887,0.27479264,0.02245559,0.005620615,0.03949066
1179.730793_3630.950073,0.47839186,0.21248624,0.1889475,0.01647066,0.10026531,0.003438502
1179.730793_3730.950073,0.58406043,0.033982214,0.26085111,0.04887713,0.0280227,0.044206407
1179.730793_3830.950073,0.3402454,0.014430049,0.5475781,0.020234399,0.002558042,0.07495401
1179.730793_3930.950073,0.52121496,0.039459597,0.19738685,0.016068578,0.21908842,0.006781627
1179.730793_4030.950073,0.49242762,0.027643353,0.36965513,0.038075525,0.047162928,0.025035419
1179.730793_4130.950073,0.6684138,0.019946687,0.18332638,0.09998536,0.011274842,0.017052911
1179.730793_4230.950073,0.35928133,0.052722316,0.13208628,0.057405718,0.37007457,0.028429776
1279.730793_2730.950073,0.03361384,0.002494619,0.691843,0.006968039,0.11156072,0.15351972
1279.730793_2830.950073,0.26210514,0.062030673,0.33720937,0.005802732,0.30065885,0.03219324
1279.730793_2930.950073,0.10186538,0.005349368,0.77459943,0.002254516,0.06859668,0.047334556
1279.730793_3030.950073,0.38064295,0.064520806,0.13597327,0.09922844,0.28811407,0.031520456
1279.730793_3130.950073,0.05483177,0.012779596,0.49439922,0.040111504,0.28167814,0.11619979
1279.730793_3230.950073,0.20907606,0.006578811,0.7567498,0.01792706,0.003991916,0.00567629
1279.730793_3330.950073,0.06689242,0.014851177,0.59532416,0.010717286,0.29104695,0.021168029
1279.730793_3430.950073,0.4087581,0.18813497,0.30420843,0.008741111,0.08093162,0.009225759
1279.730793_3530.950073,0.46715298,0.09448723,0.16263856,0.002347047,0.14702915,0.12634514
1279.730793_3630.950073,0.3862155,0.086154245,0.23148176,0.004587621,0.24736285,0.044198032
1279.730793_3730.950073,0.3087498,0.015310597,0.640398,0.015944531,0.006261227,0.013335818
1279.730793_3830.950073,0.5828087,0.19232687,0.16965654,0.02023266,0.030135527,0.004839678
1279.730793_3930.950073,0.549333,0.19741194,0.2218082,0.009703842,0.01611452,0.00562856
