,Inhibitory,Endothelial,Astrocyte,Microglia,OD,Excitatory
-2971.778086_2745.402956,0.543404399,0.105669974,0,0.151400505,0,0.199525122
-2971.778086_2845.402956,0.574518446,0.174331479,0,0.075781849,0,0.175368227
-2971.778086_2945.402956,0.618388837,0.13423615,0,0.094552202,0,0.152822811
-2971.778086_3045.402956,0.635169465,0.213165857,0,0,0,0.151664677
-2971.778086_3145.402956,0.662398334,0.140094403,0,0,0,0.197507262
-2971.778086_3245.402956,0.589582427,0.176867625,0,0,0,0.233549948
-2971.778086_3345.402956,0.309182159,0.15760385,0.053532041,0.262766466,0.130731126,0.086184359
-2971.778086_3445.402956,0.595487522,0.11855283,0,0.095627932,0,0.190331717
-2971.778086_3545.402956,0.464773296,0.203250925,0,0.167636263,0,0.164339516
-2971.778086_3645.402956,0.591515341,0.185830717,0,0,0,0.222653942
-2971.778086_3745.402956,0.44882823,0.282795605,0,0,0.099005446,0.169370719
-2971.778086_3845.402956,0.529312976,0.181339858,0,0.112071113,0,0.177276053
-2971.778086_3945.402956,0.471707701,0,0,0.075459359,0.280732473,0.172100466
-2971.778086_4045.402956,0.197242808,0.378758608,0,0,0.228934047,0.195064536
-2971.778086_4145.402956,0.064376707,0.170903943,0,0.339045324,0.425674026,0
-2971.778086_4245.402956,0.241374603,0,0.053625624,0,0.623027023,0.081972751
-3071.778086_2745.402956,0.271750117,0.118180731,0,0.093908313,0.087510786,0.428650053
-3071.778086_2845.402956,0.28979147,0.238987905,0,0.083647327,0,0.387573298
-3071.778086_2945.402956,0.304062797,0.443101373,0,0,0.118617012,0.134218818
-3071.778086_3045.402956,0.317424767,0.222376168,0,0.112628311,0.204842538,0.142728216
-3071.778086_3145.402956,0.436046405,0.366717118,0,0,0.089149367,0.108087109
-3071.778086_3245.402956,0.504203213,0.170673615,0,0,0.065587971,0.259535201
-3071.778086_3345.402956,0.603416249,0.117862817,0.150673044,0,0.12804789,0
-3071.778086_3445.402956,0.684640149,0,0,0.264199692,0,0.051160158
-3071.778086_3545.402956,0.322856758,0.38152738,0,0,0.148555309,0.147060554
-3071.778086_3645.402956,0.632222743,0.275625262,0,0,0,0.092151995
-3071.778086_3745.402956,0.695252868,0,0,0,0.188407111,0.116340021
-3071.778086_3845.402956,0.8658802,0,0,0,0,0.1341198
-3071.778086_3945.402956,0.510650831,0,0,0.22505041,0,0.264298759
-3071.778086_4045.402956,0.351096297,0.249009365,0,0.055997117,0.202145496,0.141751725
-3071.778086_4145.402956,0,0.406639384,0,0,0.593360616,0
-3071.778086_4245.402956,0,0.133760285,0,0,0.866239715,0
-3171.778086_2745.402956,0.28104388,0.11560314,0,0,0.253924191,0.349428788
-3171.778086_2845.402956,0.143307447,0.116029813,0,0.153826554,0.223904868,0.362931317
-3171.778086_2945.402956,0.139293769,0.152271102,0,0.088985436,0.424004297,0.195445397
-3171.778086_3045.402956,0.181156745,0.317233947,0,0,0.277651309,0.223957999
-3171.778086_3145.402956,0.274992179,0.219348307,0,0.454289279,0,0.051370236
-3171.778086_3245.402956,0.363017418,0.315271674,0,0.080265131,0.241445777,0
-3171.778086_3345.402956,0.421015925,0.124973053,0,0.059320456,0,0.394690566
-3171.778086_3445.402956,0.289649378,0.372751562,0.107567327,0.230031733,0,0
-3171.778086_3545.402956,0.429804431,0.381676297,0.076777689,0.058246143,0,0.05349544
-3171.778086_3645.402956,0.684061389,0,0,0.122900699,0.065146765,0.127891146
-3171.778086_3745.402956,0.598067262,0.065945914,0,0.092432516,0,0.243554309
-3171.778086_3845.402956,0.644322511,0.166180056,0,0,0,0.189497433
-3171.778086_3945.402956,0.721476387,0.106443187,0,0.079160978,0,0.092919449
-3171.778086_4045.402956,0.337888452,0.283843787,0,0.24287135,0,0.135396411
-3171.778086_4145.402956,0,0.302359754,0.254518128,0,0.298777172,0.144344946
-3171.778086_4245.402956,0,0.175771246,0.229903016,0.10173651,0.439389679,0.05319955
-3271.778086_2745.402956,0.144560918,0.370555703,0,0,0.121688241,0.363195138
-3271.778086_2845.402956,0.178193193,0.375181767,0,0,0,0.446625039
-3271.778086_2945.402956,0.211226454,0.299343273,0,0,0.053638852,0.43579142
-3271.778086_3045.402956,0.089599658,0.155514442,0.077119304,0.107748318,0.457848576,0.112169703
-3271.778086_3145.402956,0.159451216,0,0,0.139051231,0.253114702,0.448382851
-3271.778086_3245.402956,0.27305401,0.358254164,0,0,0.262018485,0.106673341
-3271.778086_3345.402956,0.305465973,0.186658843,0,0,0.329828122,0.178047062
-3271.778086_3445.402956,0.338471724,0.297730925,0,0,0.264896452,0.098900899
-3271.778086_3545.402956,0.553993539,0.218490766,0,0.149240477,0,0.078275217
-3271.778086_3645.402956,0.597660682,0.08805042,0.202065909,0,0,0.11222299
-3271.778086_3745.402956,0.760931791,0,0,0.162791641,0,0.076276568
-3271.778086_3845.402956,0.357013749,0.163502537,0.107855643,0,0.137796357,0.233831715
-3271.778086_3945.402956,0.406225651,0,0,0.289685604,0,0.304088745
-3271.778086_4045.402956,0,0.216236299,0.08260512,0.106805709,0,0.594352872
-3271.778086_4145.402956,0.136036533,0,0.196363813,0.099399026,0.376983786,0.191216842
-3271.778086_4245.402956,0,0.152092217,0.393896139,0,0.344639052,0.109372592
-3371.778086_2745.402956,0.136410808,0.148678848,0,0,0.540766805,0.174143539
-3371.778086_2845.402956,0.12766546,0.404158467,0,0,0.306813147,0.161362926
-3371.778086_2945.402956,0.087043018,0.206853107,0,0.140461275,0.5656426,0
-3371.778086_3045.402956,0.109942827,0.538492766,0.197898619,0,0,0.153665788
-3371.778086_3145.402956,0.06919582,0.43417767,0,0,0.49662651,0
-3371.778086_3245.402956,0.428256874,0.169218945,0.264610595,0,0,0.137913585
-3371.778086_3345.402956,0.243893534,0.228429172,0.187168724,0.074511917,0.080808729,0.185187924
-3371.778086_3445.402956,0.616556965,0,0.191842829,0,0.191600205,0
-3371.778086_3545.402956,0.348507735,0,0.25273577,0,0.29343324,0.105323254
-3371.778086_3645.402956,0.312311486,0.177664353,0,0.244338076,0.117099772,0.148586313
-3371.778086_3745.402956,0.660050995,0,0,0,0.205966009,0.133982996
-3371.778086_3845.402956,0.503048934,0.054379968,0.096006267,0,0,0.34656483
-3371.778086_3945.402956,0.170024351,0.361513323,0,0,0.143038417,0.32542391
-3371.778086_4045.402956,0.064581937,0.568191448,0.112547397,0.056340693,0,0.198338526
-3371.778086_4145.402956,0.218055173,0,0,0.415754804,0,0.366190023
-3371.778086_4245.402956,0.278181225,0,0.168985456,0.128833304,0.318618371,0.105381643
-3471.778086_2745.402956,0.12109572,0.543258955,0,0.171757152,0,0.163888173
-3471.778086_2845.402956,0,0.397666857,0,0,0.602333143,0
-3471.778086_2945.402956,0,0.42024336,0.107070466,0,0.472686174,0
-3471.778086_3045.402956,0.063739108,0.124252858,0.400760545,0.072393318,0.338854171,0
-3471.778086_3145.402956,0.177024563,0,0,0.053880252,0.247146341,0.521948844
-3471.778086_3245.402956,0.054376742,0.094096762,0,0.090089808,0.537455244,0.223981444
-3471.778086_3345.402956,0.109597591,0.143709498,0,0.114904138,0.557569284,0.074219488
-3471.778086_3445.402956,0.220606203,0.330696224,0,0,0.387096921,0.061600652
-3471.778086_3545.402956,0.557343999,0.336644193,0,0,0.106011807,0
-3471.778086_3645.402956,0.523618658,0,0,0.261813082,0.123781428,0.090786831
-3471.778086_3745.402956,0.452307068,0.251706373,0,0,0.067280925,0.228705634
-3471.778086_3845.402956,0.288210728,0.071905449,0,0.150739191,0.319738886,0.169405747
-3471.778086_3945.402956,0.218751648,0,0,0.254989627,0.069007662,0.457251064
-3471.778086_4045.402956,0.316382981,0.221414717,0,0,0.173256028,0.288946274
-3471.778086_4145.402956,0.299991247,0,0,0.164333447,0.287391181,0.248284124
-3471.778086_4245.402956,0.698346046,0.075550463,0.138018519,0,0,0.088084972
1179.730793_2730.950073,0.072927436,0.507446972,0,0,0.279383853,0.14024174
1179.730793_2830.950073,0,0.100428419,0,0.318416496,0.286118864,0.295036221
1179.730793_2930.950073,0,0.148508025,0,0,0.608656753,0.242835222
1179.730793_3030.950073,0.061370726,0.426644564,0,0.095752146,0.111571325,0.304661239
1179.730793_3130.950073,0.111237557,0.286701759,0.160529733,0,0,0.441530951
1179.730793_3230.950073,0,0,0,0.268550002,0.474336347,0.257113652
1179.730793_3330.950073,0.339979642,0.240246027,0,0.264653978,0.104158703,0.05096165
1179.730793_3430.950073,0.348824131,0,0,0.291148186,0.269043669,0.090984014
1179.730793_3530.950073,0.79924578,0,0,0,0,0.20075422
1179.730793_3630.950073,0.646519852,0.115808571,0,0.237671577,0,0
1179.730793_3730.950073,0.66248395,0.114031051,0,0,0,0.223484999
1179.730793_3830.950073,0.442774726,0,0.051855395,0.218589231,0.22082646,0.065954189
1179.730793_3930.950073,0.433948794,0.369644427,0,0,0,0.196406778
1179.730793_4030.950073,0.608026486,0.157278206,0,0,0.09650618,0.138189128
1179.730793_4130.950073,0.730928817,0,0,0,0,0.269071183
1179.730793_4230.950073,0.637439952,0.362560048,0,0,0,0
1279.730793_2730.950073,0,0.151115428,0,0,0.711468022,0.137416551
1279.730793_2830.950073,0.144892425,0.306810746,0.094199042,0.28961249,0,0.164485297
1279.730793_2930.950073,0.079042155,0.084507966,0,0.098922539,0.484899405,0.252627935
1279.730793_3030.950073,0.215813065,0.419171176,0,0,0,0.365015759
1279.730793_3130.950073,0,0.301940822,0.05188872,0.198278564,0.167281679,0.280610214
1279.730793_3230.950073,0.310461517,0,0.097647415,0,0.462441532,0.129449536
1279.730793_3330.950073,0.211834097,0.439914209,0,0,0.348251694,0
1279.730793_3430.950073,0.60950523,0.085998111,0,0,0,0.304496659
1279.730793_3530.950073,0.708209953,0.291790047,0,0,0,0
1279.730793_3630.950073,0.386022021,0.285392291,0.20195159,0.126634097,0,0
1279.730793_3730.950073,0.528255732,0,0.11874677,0,0.2122274,0.140770097
1279.730793_3830.950073,0.643912296,0,0.215827218,0,0,0.140260485
1279.730793_3930.950073,0.607812678,0,0.147575866,0.182315485,0,0.062295971
1279.730793_4030.950073,0.71099787,0.154419004,0,0,0,0.134583125
1279.730793_4130.950073,0.323752003,0.309858386,0.17981928,0.186570332,0,0
1279.730793_4230.950073,0.842726772,0,0,0.057187917,0,0.100085311
1379.730793_2730.950073,0,0.908753283,0,0,0,0.091246717
1379.730793_2830.950073,0.08629864,0.133790225,0.050658248,0.058731757,0.101018927,0.569502203
1379.730793_2930.950073,0.22649904,0.135077167,0,0,0.369887032,0.268536762
1379.730793_3030.950073,0.303249818,0.148965029,0,0.111449472,0.20080364,0.235532042
1379.730793_3130.950073,0.143812377,0.080103566,0.151599221,0,0.555456332,0.069028503
1379.730793_3230.950073,0.125074122,0.153903399,0,0.147413057,0.480733331,0.092876091
1379.730793_3330.950073,0.507411521,0.06817992,0,0.208618714,0.089768373,0.126021473
1379.730793_3430.950073,0.633540594,0,0,0.258766102,0,0.107693304
1379.730793_3530.950073,0.410152981,0.26507214,0.105326728,0.083552249,0,0.135895902
1379.730793_3630.950073,0.78126764,0,0,0,0,0.21873236
1379.730793_3730.950073,0.592697378,0,0,0.186336765,0.220965857,0
1379.730793_3830.950073,0.695669991,0,0,0.102719854,0,0.201610155
1379.730793_3930.950073,0.251518461,0.576572579,0,0,0,0.17190896
1379.730793_4030.950073,0.463789207,0.220665576,0,0,0,0.315545217
1379.730793_4130.950073,0.296772757,0,0,0.179901057,0.190952313,0.332373873
1379.730793_4230.950073,0.133263404,0.214116283,0.117366403,0,0.450223841,0.085030069
1479.730793_2730.950073,0.593322227,0.251552992,0.15512478,0,0,0
1479.730793_2830.950073,0.362036888,0.112282391,0,0,0.056281977,0.469398744
1479.730793_2930.950073,0.373240096,0.139301111,0.180650659,0,0,0.306808134
1479.730793_3030.950073,0.447312141,0.07218631,0.106542777,0.092607104,0.085864573,0.195487095
1479.730793_3130.950073,0.357808109,0.174084438,0.170299565,0.063463776,0.110066482,0.12427763
1479.730793_3230.950073,0.674004161,0,0,0.059828777,0,0.266167062
1479.730793_3330.950073,0.698116829,0,0.11792624,0,0,0.183956931
1479.730793_3430.950073,0.547407322,0.287735772,0.077972745,0,0,0.086884161
1479.730793_3530.950073,0.520349561,0.124559209,0,0.083657382,0.271433848,0
1479.730793_3630.950073,0.834182446,0,0,0.165817554,0,0
1479.730793_3730.950073,0.701420467,0.105357626,0.098303659,0.094918248,0,0
1479.730793_3830.950073,0.764014983,0.235985017,0,0,0,0
1479.730793_3930.950073,0.472990749,0.195977357,0,0,0.165455173,0.165576721
1479.730793_4030.950073,0.433060855,0,0.172313082,0.193570972,0,0.201055091
1479.730793_4130.950073,0.110647442,0.147110693,0,0,0.448833974,0.293407891
1479.730793_4230.950073,0,0.06548699,0.060422348,0,0.874090662,0
1579.730793_2730.950073,0.783878256,0,0.112849322,0,0,0.103272422
1579.730793_2830.950073,0.533892311,0.210794924,0,0,0,0.255312765
1579.730793_2930.950073,0.680911543,0.107449741,0,0,0,0.211638717
1579.730793_3030.950073,0.696591989,0.052967389,0.146196196,0,0,0.104244426
1579.730793_3130.950073,0.485421099,0.292409914,0,0.148458867,0,0.07371012
1579.730793_3230.950073,0.706059667,0,0.06931335,0,0,0.224626983
1579.730793_3330.950073,0.49635872,0.276528799,0,0.173421597,0.053690884,0
1579.730793_3430.950073,0.710510248,0,0.164770431,0,0,0.124719321
1579.730793_3530.950073,0.945392235,0.054607765,0,0,0,0
1579.730793_3630.950073,0.465389303,0.343575128,0,0.081097585,0,0.109937984
1579.730793_3730.950073,0.484901681,0,0.201021883,0,0.126592623,0.187483813
1579.730793_3830.950073,0.887967267,0,0,0,0,0.112032733
1579.730793_3930.950073,0.625053188,0.235626056,0.139320756,0,0,0
1579.730793_4030.950073,0.385957669,0,0.10334017,0.217208559,0.222766768,0.070726834
1579.730793_4130.950073,0.224970369,0,0.100677746,0,0.242399392,0.431952492
1579.730793_4230.950073,0,0.204633936,0.153520446,0,0.486351869,0.155493748
1679.730793_2730.950073,0.789697476,0,0,0.113311817,0,0.096990708
1679.730793_2830.950073,0.603388947,0.145257212,0.080390572,0,0.113758349,0.05720492
1679.730793_2930.950073,0.642920492,0.251459134,0,0,0,0.105620374
1679.730793_3030.950073,0.623010272,0.272774247,0,0,0,0.104215481
1679.730793_3130.950073,0.713641736,0.216257871,0.070100393,0,0,0
1679.730793_3230.950073,0.589682699,0.171350771,0,0.105685553,0.133280976,0
1679.730793_3330.950073,0.676911669,0.221069691,0,0,0,0.102018641
1679.730793_3430.950073,0.735896736,0.146144619,0,0.117958645,0,0
1679.730793_3530.950073,0.664487485,0.191797415,0.057438084,0,0.086277015,0
1679.730793_3630.950073,0.554915159,0.28335228,0,0,0,0.161732561
1679.730793_3730.950073,0.798138592,0,0,0,0,0.201861408
1679.730793_3830.950073,0.580521283,0,0,0.274287644,0.145191073,0
1679.730793_3930.950073,0.340473378,0,0.203914612,0,0.197870186,0.257741824
1679.730793_4030.950073,0.263777381,0.267506821,0,0.185686026,0.283029771,0
1679.730793_4130.950073,0.096385322,0.516815117,0.073809219,0.055584059,0.129796197,0.127610087
1679.730793_4230.950073,0.071985013,0.152182119,0,0,0.623679953,0.152152915
1779.730793_2730.950073,0.704745386,0.295254614,0,0,0,0
1779.730793_2830.950073,0.894733402,0.105266598,0,0,0,0
