,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD
-2071.778086_3545.402956,0.13616012,2.300498e-06,0.21988058,0.3818601,4.973017e-07,0.2620964
-2071.778086_3645.402956,0.2878093,0.49964565,1.4524323e-06,0.15203226,0.060510896,5.0182246e-07
-2071.778086_3745.402956,0.2850167,0.54269993,0.09110959,0.08117229,6.527446e-07,8.0871826e-07
-2071.778086_3845.402956,0.265624,0.025361719,0.056241777,0.33859363,0.3141781,7.7171063e-07
-2071.778086_3945.402956,0.29556838,0.24559242,4.678927e-06,0.45882604,8.060822e-06,3.5164467e-07
-2071.778086_4045.402956,0.31937563,3.1420936e-07,0.34011418,0.14083132,0.19967829,1.6941068e-07
-2071.778086_4145.402956,4.7027297e-07,2.2957832e-07,0.56042266,0.37100115,0.068574384,1.0350517e-06
-2071.778086_4245.402956,0.38231868,6.966714e-08,0.37169516,0.24598588,1.1630983e-07,1.9400368e-07
-2171.778086_2745.402956,0.35176536,0.08305571,0.14504614,0.07900737,0.06872083,0.27240452
-2171.778086_2845.402956,0.16972244,0.29867718,0.44784456,0.08375553,2.2771779e-07,9.288878e-08
-2171.778086_2945.402956,0.07998173,2.8269606e-06,0.47002205,0.15925801,0.19395222,0.09678319
-2171.778086_3045.402956,0.27638292,7.072743e-07,0.22467273,0.11415768,0.38478583,4.426505e-08
-2171.778086_3145.402956,0.14397481,0.05599075,0.30968946,0.07449873,0.29661474,0.11923149
-2171.778086_3245.402956,0.34518135,0.19104196,0.16077064,0.030428119,0.17434141,0.09823656
-2171.778086_3345.402956,0.28228134,0.2161344,0.15304637,0.23392937,0.051049944,0.06355867
-2171.778086_3445.402956,0.32352,0.10708013,0.56939656,2.745076e-06,3.441934e-07,1.9644015e-07
-2171.778086_3545.402956,0.4484874,0.34204534,0.017661974,0.16810597,1.0037302e-06,0.023698429
-2171.778086_3645.402956,0.46369183,3.1235885e-07,8.675511e-07,0.50875247,4.628096e-07,0.027554154
-2171.778086_3745.402956,0.51266277,0.21144496,1.3534941e-06,0.0633367,2.1185083e-06,0.21255209
-2171.778086_3845.402956,0.4145438,0.17661394,0.25798476,0.114365175,2.8856437e-07,0.036492128
-2171.778086_3945.402956,0.28999874,0.30454242,0.049387332,0.19166754,3.6282614e-07,0.16440359
-2171.778086_4045.402956,0.36788428,3.3875335e-07,0.15742095,0.1516936,0.016802404,0.30619845
-2171.778086_4145.402956,0.24409072,0.23026617,0.15607181,0.16871804,0.108113416,0.09273976
-2171.778086_4245.402956,0.0331833,6.435476e-08,0.5267327,0.16498476,0.012569678,0.2625295
-2271.778086_2745.402956,0.49046123,1.9532033e-07,0.00014613033,0.07972071,0.24417251,0.18549912
-2271.778086_2845.402956,0.30599123,0.15209356,0.24437283,0.057833984,0.20527096,0.034437466
-2271.778086_2945.402956,0.2761109,0.24745014,0.43332452,1.6260277e-05,2.0524391e-07,0.04309792
-2271.778086_3045.402956,0.022730852,1.91124e-07,0.6531208,0.21433873,2.8112174e-07,0.10980912
-2271.778086_3145.402956,0.4508432,0.055718374,0.110889554,0.16738215,0.17391555,0.04125121
-2271.778086_3245.402956,0.23165281,3.934175e-05,0.30828834,0.057193987,0.23884729,0.16397825
-2271.778086_3345.402956,0.31276628,0.2999154,7.47075e-06,0.38730973,5.3844457e-07,5.968403e-07
-2271.778086_3445.402956,0.222603,0.17699462,0.23150535,0.062063657,1.5865005e-07,0.30683318
-2271.778086_3545.402956,0.06603718,6.249443e-07,0.40543967,0.52403295,1.980942e-06,0.0044876034
-2271.778086_3645.402956,0.25200418,6.692942e-06,0.17442273,0.04045102,0.17882326,0.35429218
-2271.778086_3745.402956,0.28219065,0.4668001,3.7699138e-07,0.090995096,4.953894e-07,0.1600133
-2271.778086_3845.402956,0.1341522,0.3519346,0.1080494,0.3423381,2.450745e-07,0.06352549
-2271.778086_3945.402956,0.24836676,5.906558e-07,0.12984842,0.25484043,0.08044731,0.28649646
-2271.778086_4045.402956,0.48532715,0.15230422,0.1301965,0.23215973,1.1557435e-05,8.97632e-07
-2271.778086_4145.402956,0.211461,1.1069571e-07,0.41341916,1.943246e-06,0.20409104,0.17102674
-2271.778086_4245.402956,0.0721799,0.025218142,0.14770257,0.0595275,0.2230222,0.47234967
-2371.778086_2745.402956,0.5701152,0.1749222,1.009656e-06,0.23108628,0.023873892,1.5077254e-06
-2371.778086_2845.402956,0.2807893,0.6726297,0.046572577,7.081933e-06,9.9566e-07,3.566359e-07
-2371.778086_2945.402956,0.44736537,3.0266444e-06,0.55263007,6.9910794e-07,2.869231e-07,4.3497064e-07
-2371.778086_3045.402956,0.20310628,0.08208782,2.4354045e-05,0.6381246,0.024761757,0.051895216
-2371.778086_3145.402956,0.29954997,1.8571619e-07,0.5073508,0.18367413,0.009424653,2.2870769e-07
-2371.778086_3245.402956,0.40592495,2.3322545e-07,0.5940739,6.7944933e-07,1.7674412e-07,7.153694e-08
-2371.778086_3345.402956,0.2702125,0.2746992,0.41945034,1.0529329e-06,3.4930918e-07,0.035636593
-2371.778086_3445.402956,0.5119972,1.9707804e-06,6.381195e-05,0.11718049,0.17051902,0.20023744
-2371.778086_3545.402956,0.3496604,0.15079212,0.34319773,0.15634926,2.4849322e-07,2.979801e-07
-2371.778086_3645.402956,0.32184792,0.038705576,0.20292188,0.25502095,5.2915647e-07,0.18150319
-2371.778086_3745.402956,0.22307688,2.1827486e-07,0.2419039,0.21242811,0.13273217,0.18985875
-2371.778086_3845.402956,0.18772468,0.030972442,0.5378985,0.18596964,1.5366388e-07,0.057434652
-2371.778086_3945.402956,0.09493231,0.104543686,0.5252942,0.2752295,1.3438981e-07,1.7723094e-07
-2371.778086_4045.402956,0.3577068,0.01567475,0.15630622,0.22343874,0.08856535,0.15830807
-2371.778086_4145.402956,0.16298589,0.045360688,0.26643056,0.07623636,0.06532446,0.383662
-2371.778086_4245.402956,1.2835794e-07,1.3394462e-06,0.16320668,0.06210026,0.20561355,0.5690781
-2471.778086_2745.402956,0.09642885,0.18327516,0.00082399766,0.4322189,0.28725186,1.2568779e-06
-2471.778086_2845.402956,0.24472283,0.26689196,0.4883805,4.2976e-06,3.3489368e-07,1.670454e-07
-2471.778086_2945.402956,0.4827711,6.548509e-07,0.111304425,0.14747491,2.1025068e-07,0.25844875
-2471.778086_3045.402956,0.1649984,0.3891378,0.3001724,0.0021405967,2.240297e-07,0.14355062
-2471.778086_3145.402956,0.5237838,6.6244365e-07,0.3956988,0.022192717,2.0565694e-06,0.058321882
-2471.778086_3245.402956,0.27031344,6.401886e-08,0.7296841,2.1229182e-06,7.775205e-08,8.898527e-08
-2471.778086_3345.402956,0.43166974,2.809199e-07,0.19375432,0.34038082,1.7807137e-07,0.03419472
-2471.778086_3445.402956,0.13324137,0.25035968,0.40220824,0.21419048,1.0188584e-07,1.8719416e-07
-2471.778086_3545.402956,0.3111599,0.094528735,0.42133844,0.17297268,9.418476e-08,1.096729e-07
-2471.778086_3645.402956,0.23735288,0.106231995,0.33424267,0.18172817,0.14043978,4.5213123e-06
-2471.778086_3745.402956,0.22639675,4.0540075e-07,0.48563915,0.28140736,1.2895696e-07,0.006556283
-2471.778086_3845.402956,0.31966534,0.13472858,0.3113216,0.23428416,1.7616235e-07,1.2718787e-07
-2471.778086_3945.402956,0.4973274,0.079189666,0.13694718,0.15221973,0.04995758,0.084358454
-2471.778086_4045.402956,0.37270224,0.13730006,0.25029013,0.10031782,0.13934559,4.4216493e-05
-2471.778086_4145.402956,0.3274506,0.3577831,0.054856375,3.6851463e-05,0.0423909,0.21748222
-2471.778086_4245.402956,0.18525307,0.07879922,0.06809754,0.018062552,0.14910063,0.500687
-2571.778086_2745.402956,0.03627871,2.7745343e-06,3.271785e-06,0.611137,1.6856882e-06,0.35257664
-2571.778086_2845.402956,0.29574388,0.21447194,0.012263764,0.15876764,0.0316774,0.28707537
-2571.778086_2945.402956,0.119191386,0.40852982,0.3416177,0.11464999,3.4868546e-07,0.016010776
-2571.778086_3045.402956,0.13917722,0.12587126,0.7349315,1.964308e-05,1.4917744e-07,1.1938637e-07
-2571.778086_3145.402956,2.9129793e-05,0.38577113,0.44587043,0.13053209,2.5094107e-07,0.037796967
-2571.778086_3245.402956,0.13315013,1.0962735e-07,0.71335036,0.15349877,1.1476849e-07,4.879105e-07
-2571.778086_3345.402956,0.36333022,0.51690334,0.04936953,0.07037457,9.1098985e-07,2.140094e-05
-2571.778086_3445.402956,0.24998014,0.3296762,0.2268776,0.16081479,5.406118e-07,0.032650694
-2571.778086_3545.402956,0.33493096,0.39975882,0.17145087,0.09385751,5.354619e-07,1.2553087e-06
-2571.778086_3645.402956,0.29414058,0.085987546,0.37386435,0.2460073,2.422132e-07,6.64337e-08
-2571.778086_3745.402956,0.2270768,0.048203308,0.43515974,0.2886712,1.9372422e-07,0.00088879146
-2571.778086_3845.402956,0.39071226,0.030911075,0.27503237,0.30334377,4.2851937e-07,1.6996871e-07
-2571.778086_3945.402956,0.35486367,0.17919976,0.29075152,0.17517942,5.4519005e-06,2.455417e-07
-2571.778086_4045.402956,0.117417514,7.4704175e-08,0.046023443,0.0211744,0.059775885,0.7556086
-2571.778086_4145.402956,0.24055678,0.18699715,4.1783187e-07,0.13712911,0.06369845,0.37161812
-2571.778086_4245.402956,0.04462194,3.9314412e-07,0.263175,0.071275055,3.0188082e-06,0.6209246
-2671.778086_2745.402956,0.28114945,1.4868594e-06,2.0029456e-06,0.05264336,0.41167507,0.2545286
-2671.778086_2845.402956,0.2277629,4.6381632e-07,0.48407578,2.896349e-07,0.07947661,0.20868388
-2671.778086_2945.402956,0.16530749,0.36813247,0.11115512,9.330149e-07,1.1820244e-06,0.35540283
-2671.778086_3045.402956,0.39952815,0.43516538,0.16085193,0.0044537243,3.465588e-07,5.1358376e-07
-2671.778086_3145.402956,0.70333904,0.16825382,6.239787e-07,1.6429289e-06,0.12840456,2.9147532e-07
-2671.778086_3245.402956,0.91104156,2.3042303e-07,0.037192136,0.0517654,4.4121623e-07,2.1819103e-07
-2671.778086_3345.402956,0.15695001,2.533097e-06,0.5678514,0.22780946,3.3764316e-06,0.047383223
-2671.778086_3445.402956,0.21560365,0.273867,0.21839195,0.0941542,4.526027e-07,0.19798273
-2671.778086_3545.402956,0.36037594,1.1910427e-06,0.510181,0.09714641,2.2905655e-07,0.032295227
-2671.778086_3645.402956,0.5482235,0.2677689,0.094080344,0.08992692,3.0111045e-07,1.08032694e-07
-2671.778086_3745.402956,0.2541162,0.20618038,0.20598826,0.3337132,1.2456852e-06,6.052991e-07
-2671.778086_3845.402956,0.46000412,0.3197768,0.04744669,0.17277172,5.158841e-07,2.4369564e-07
-2671.778086_3945.402956,0.3346806,0.09232053,0.07547649,0.04358529,0.19260469,0.2613324
-2671.778086_4045.402956,0.12087763,1.2987392e-07,3.120802e-07,3.6670766e-08,0.032155935,0.8469659
-2671.778086_4145.402956,0.022561656,3.449371e-07,5.232882e-07,3.7647897e-08,0.07379238,0.90364504
-2671.778086_4245.402956,0.44343582,1.640356e-06,0.5013863,0.008377804,0.046795826,2.631671e-06
-2771.778086_2745.402956,0.5937889,0.10315085,0.17228273,2.4262754e-06,0.036731448,0.094043605
-2771.778086_2845.402956,1.2754005e-06,5.079662e-06,0.41416615,6.451424e-06,0.49570575,0.0901153
-2771.778086_2945.402956,0.2961448,0.296516,8.041893e-07,1.918937e-07,0.4073381,1.211873e-07
-2771.778086_3045.402956,0.67004466,0.27573952,0.024332104,3.3109404e-06,0.029879006,1.4339665e-06
-2771.778086_3145.402956,0.52676785,0.06391412,0.23791377,8.488675e-07,0.17140241,1.028567e-06
-2771.778086_3245.402956,0.27467158,2.4555852e-06,4.0888976e-06,0.028887019,0.5585482,0.13788663
-2771.778086_3345.402956,0.63739556,0.19162712,0.0710673,0.09990952,2.4425123e-07,2.9743055e-07
-2771.778086_3445.402956,0.7336212,0.13013476,2.8972763e-06,0.13624044,5.413099e-07,2.235239e-07
-2771.778086_3545.402956,0.7509492,1.4428687e-05,0.19428577,0.05474755,1.5825767e-06,1.3390041e-06
-2771.778086_3645.402956,0.68459046,0.21289213,2.5312718e-06,0.1025121,2.365561e-06,4.628439e-07
-2771.778086_3745.402956,0.76820713,3.2324937e-07,8.1502293e-07,0.2317912,2.4375572e-07,3.0626265e-07
-2771.778086_3845.402956,0.28202996,0.7179655,1.2606158e-06,1.2822603e-06,5.520085e-07,1.3894042e-06
-2771.778086_3945.402956,0.027237834,0.057384532,0.0005735144,0.09097907,0.06637766,0.75744736
-2771.778086_4045.402956,0.031967085,0.11600306,8.7286146e-08,2.4893177e-08,0.07468673,0.777343
-2771.778086_4145.402956,0.0014297212,0.0713868,1.2118605e-07,3.059473e-08,0.052514315,0.874669
-2771.778086_4245.402956,0.06407885,3.7708924e-06,1.3360885e-05,3.4979525e-06,0.8843821,0.05151831
-2871.778086_2745.402956,0.0779207,0.4045183,1.2188726e-06,0.46554345,3.0576965e-07,0.05201599
-2871.778086_2845.402956,0.33201227,0.063204855,0.028552752,0.11206356,0.06737926,0.3967873
-2871.778086_2945.402956,0.31789693,0.07407589,0.44041428,0.11455472,2.796059e-07,0.053057905
-2871.778086_3045.402956,0.20711844,0.2589196,0.49309155,1.5184854e-06,2.884783e-07,0.040868495
-2871.778086_3145.402956,0.013875579,1.575229e-07,0.96986777,6.6200806e-07,2.5633267e-07,0.01625559
-2871.778086_3245.402956,0.21564683,0.15445131,0.4748312,0.014015299,0.14105472,6.780072e-07
-2871.778086_3345.402956,0.17650962,2.4780354e-07,0.71229166,0.11119738,1.6166187e-07,9.3138226e-07
-2871.778086_3445.402956,0.09964306,5.867432e-07,0.32059544,0.37295038,7.4165956e-07,0.20680977
-2871.778086_3545.402956,0.38225952,6.87506e-08,0.23042968,0.13037322,0.12961124,0.12732631
-2871.778086_3645.402956,0.3051743,0.05979018,0.3315204,0.17495045,8.51169e-06,0.12855625
-2871.778086_3745.402956,0.43357763,1.2913911e-06,0.321566,0.24485494,1.3452147e-07,5.3319752e-08
-2871.778086_3845.402956,0.6945446,0.20561074,5.149841e-06,0.09983931,1.5425331e-07,7.402451e-08
-2871.778086_3945.402956,0.3604083,0.11846836,0.114473246,0.15162253,0.044341117,0.21068648
-2871.778086_4045.402956,0.04018701,1.6103009e-07,0.0012540722,4.8203717e-08,0.21893479,0.73962396
-2871.778086_4145.402956,6.321289e-08,5.788326e-07,3.464236e-05,4.73715e-08,0.08101548,0.9189492
-2871.778086_4245.402956,0.30781525,0.6051686,0.017030183,5.6246e-08,0.06998583,7.2501e-08
-2971.778086_2745.402956,0.37306073,0.16653946,4.6585856e-06,0.4339149,4.2672477e-07,0.026479723
-2971.778086_2845.402956,0.37630135,0.17525764,0.26526213,0.1831784,2.4312146e-07,2.969415e-07
-2971.778086_2945.402956,0.41628674,0.1723537,0.3283599,0.04702367,3.877436e-07,0.03597564
-2971.778086_3045.402956,0.53774923,0.21482776,0.24740967,1.31880515e-05,1.160569e-07,7.4457375e-08
-2971.778086_3145.402956,0.12729856,0.17322321,0.5723998,0.12707795,2.5108062e-07,1.9701024e-07
-2971.778086_3245.402956,0.3028096,0.12770607,0.48545343,0.08403043,1.8343496e-07,2.95187e-07
-2971.778086_3345.402956,0.34121042,0.06782145,0.34813184,0.05358126,0.0421365,0.14711855
-2971.778086_3445.402956,0.13437869,0.12981343,0.4129917,0.3060969,1.073255e-06,0.016718155
-2971.778086_3545.402956,0.08164655,0.04716494,0.51232916,0.35885885,2.1267728e-07,2.3909774e-07
-2971.778086_3645.402956,0.23514785,0.07571836,0.3999166,0.28921703,1.1721387e-07,1.10125534e-07
-2971.778086_3745.402956,0.19016261,0.21501951,0.40701598,0.18779947,4.410611e-07,2.0392642e-06
-2971.778086_3845.402956,0.33372635,0.08614788,0.3543254,0.22580026,7.058414e-08,4.7101274e-08
-2971.778086_3945.402956,0.30425897,2.7211387e-05,0.36177665,0.19223756,3.275361e-07,0.14169927
-2971.778086_4045.402956,0.34798464,0.28701252,0.24958351,0.0347857,3.559028e-06,0.08063017
-2971.778086_4145.402956,0.38101172,0.07168881,0.105469555,0.14293331,0.08722306,0.21167356
-2971.778086_4245.402956,0.40681756,3.604192e-07,0.30682114,0.051915098,0.023947623,0.21049824
-3071.778086_2745.402956,0.23281185,0.16884103,0.42803898,0.09186245,3.7291304e-07,0.07844529
-3071.778086_2845.402956,0.21851651,0.2176004,0.5062906,0.0575921,2.812404e-07,1.890279e-07
-3071.778086_2945.402956,0.16829233,0.49747854,0.27478215,0.0594467,1.4995695e-07,1.3054857e-07
-3071.778086_3045.402956,0.16875292,0.18837492,0.36439037,0.08601698,0.08177732,0.11068747
-3071.778086_3145.402956,0.27289894,0.35698348,0.29907218,0.025059657,1.2410453e-07,0.045985546
-3071.778086_3245.402956,0.38654733,0.045538522,0.3524658,0.086238965,0.12920915,1.5756743e-07
-3071.778086_3345.402956,0.3523521,0.17605957,0.21702258,0.02609919,0.09998857,0.12847796
-3071.778086_3445.402956,0.1645523,9.2104614e-07,6.703637e-06,0.7332572,1.4234078e-06,0.102181494
-3071.778086_3545.402956,0.32224765,0.33004296,0.172697,0.106730446,0.033154596,0.035127345
-3071.778086_3645.402956,0.5092247,0.3599732,1.1455537e-06,0.13080063,2.1843704e-07,1.114687e-07
-3071.778086_3745.402956,0.29916734,0.00013781474,0.3841766,0.20685786,2.884523e-07,0.10966011
-3071.778086_3845.402956,0.27815348,3.88745e-07,0.3431021,0.3787438,1.5849342e-07,1.03298134e-07
-3071.778086_3945.402956,0.91883236,0.043239597,2.831499e-07,0.037926953,6.878683e-07,6.527816e-08
-3071.778086_4045.402956,0.46244472,0.23668948,0.12469659,0.13821211,3.3291224e-07,0.037956793
-3071.778086_4145.402956,0.19488372,0.3670823,0.020888014,2.473728e-05,0.118240856,0.29888034
-3071.778086_4245.402956,0.057341244,0.094704755,3.3105073e-07,1.1039143e-06,0.017208284,0.8307443
-3171.778086_2745.402956,0.21762732,0.25907397,0.37631255,0.00026886715,0.0040983534,0.1426189
-3171.778086_2845.402956,0.12148611,0.076382615,0.6706909,0.0041048117,6.549397e-07,0.12733483
-3171.778086_2945.402956,0.28072223,0.14782955,0.30842808,0.058690395,7.891018e-07,0.20432895
-3171.778086_3045.402956,0.07158285,0.17832771,0.3705232,0.15623856,0.09500149,0.12832618
-3171.778086_3145.402956,0.22195752,0.09224893,0.4761357,0.13889678,0.070760526,6.3793726e-07
-3171.778086_3245.402956,0.16703698,0.32019407,5.7852014e-07,0.22134969,0.06330196,0.2281168
-3171.778086_3345.402956,0.36434376,0.13931975,0.438541,0.057793986,3.88348e-07,1.1263442e-06
-3171.778086_3445.402956,0.5788744,0.18337342,0.076196834,0.020314429,0.14124067,1.1707375e-07
-3171.778086_3545.402956,0.22992224,0.37377688,0.22769016,0.16860904,1.5450823e-06,8.3788464e-08
-3171.778086_3645.402956,0.4759836,9.544378e-07,0.36089936,0.13828874,1.6248975e-07,0.024827115
-3171.778086_3745.402956,0.3687824,0.09501301,0.26687828,0.2693256,3.473453e-07,4.0252814e-07
-3171.778086_3845.402956,0.17682222,0.24372998,0.27815485,0.30129266,2.7665493e-07,1.16597384e-07
-3171.778086_3945.402956,0.204181,0.059844688,0.29253462,0.42928022,2.6218405e-07,0.014159131
-3171.778086_4045.402956,0.4256134,0.24052267,0.07054959,0.2538051,4.0561505e-07,0.009508839
-3171.778086_4145.402956,0.28365844,0.048198577,0.32039,0.0519669,0.027666999,0.26811913
-3171.778086_4245.402956,0.07219699,0.14536045,0.14818577,0.11549511,0.2106243,0.30813733
-3271.778086_2745.402956,0.2706397,0.079705074,0.3726022,0.19413102,0.0040657693,0.07885624
-3271.778086_2845.402956,0.15389013,0.13302161,0.61236614,0.100721985,1.5657515e-07,4.8375473e-08
-3271.778086_2945.402956,0.18498367,0.056255125,0.5371006,0.21285757,0.008803008,5.1573736e-08
-3271.778086_3045.402956,0.08716443,0.023968475,0.3060689,0.17929019,0.25543237,0.14807561
-3271.778086_3145.402956,0.10480498,1.4212739e-07,0.37966964,0.28834024,0.17700592,0.05017905
-3271.778086_3245.402956,0.31609488,0.17273417,0.17604962,0.18430097,1.2937703e-06,0.15081905
-3271.778086_3345.402956,0.13933603,0.27824497,0.17242917,0.12919864,0.016372291,0.26441887
-3271.778086_3445.402956,0.30998254,0.21733715,0.13122556,0.1508185,0.023845134,0.16679117
-3271.778086_3545.402956,0.0008533548,0.059843916,0.42440838,0.4571062,8.223603e-07,0.05778733
-3271.778086_3645.402956,0.21187882,0.04636314,8.052507e-06,0.3890653,0.3356492,0.017035453
-3271.778086_3745.402956,0.5379342,5.3758816e-07,4.193569e-06,0.32491413,4.3297587e-07,0.1371465
-3271.778086_3845.402956,9.765116e-05,0.21688111,0.1500838,0.29145917,0.21153262,0.12994568
-3271.778086_3945.402956,0.32704547,1.8221894e-07,0.35530365,0.26929843,4.8589806e-07,0.048351735
-3271.778086_4045.402956,0.35687718,0.078128174,0.46973327,0.06890626,0.02635505,6.713425e-08
-3271.778086_4145.402956,0.1545843,8.4490125e-08,0.4895439,0.10793457,0.032003466,0.21593367
-3271.778086_4245.402956,0.15804747,2.493546e-06,0.51163393,0.06164178,0.1444598,0.124214545
-3371.778086_2745.402956,0.24827296,0.113863476,0.21924704,0.104809746,0.029648133,0.28415868
-3371.778086_2845.402956,0.21457289,0.2434867,0.31698227,0.026863474,0.12567323,0.07242136
-3371.778086_2945.402956,0.088400625,4.6469464e-07,0.2934281,0.21000114,0.18091479,0.2272549
-3371.778086_3045.402956,0.14535326,0.04761222,0.3543253,0.23797229,0.21473692,2.748332e-08
-3371.778086_3145.402956,0.12715322,0.30611542,0.17040588,0.10029917,0.09660635,0.1994199
-3371.778086_3245.402956,0.28384474,0.068584666,0.20783393,0.24343033,0.19630624,1.3877693e-07
-3371.778086_3345.402956,0.00014778283,0.034995396,0.5255487,0.22751851,0.2117894,2.2794364e-07
-3371.778086_3445.402956,0.30903816,1.4257296e-07,1.4155177e-06,0.25929368,0.33246472,0.09920197
-3371.778086_3545.402956,0.40038997,8.542969e-07,5.2495225e-06,0.04161213,0.29350194,0.26448983
-3371.778086_3645.402956,0.22310759,0.21842028,0.24385676,0.09909897,0.065825924,0.1496905
-3371.778086_3745.402956,0.25339893,1.4376599e-07,0.35642353,0.23445395,2.1833523e-07,0.15572317
-3371.778086_3845.402956,0.33784902,2.7960849e-07,0.16251868,0.18128456,0.3183473,6.978421e-08
-3371.778086_3945.402956,0.31866175,0.38889986,0.19553089,0.09690594,2.2228727e-07,1.4128763e-06
-3371.778086_4045.402956,0.22240281,0.39733407,0.2123003,0.09555106,0.07241162,9.5983786e-08
-3371.778086_4145.402956,0.06304222,1.4472396e-07,0.69262546,0.24433176,1.5540586e-07,1.9024027e-07
-3371.778086_4245.402956,0.51036245,1.5674263e-07,0.28220955,0.06413146,0.019757487,0.12353887
-3471.778086_2745.402956,0.1924779,0.17268485,0.28049365,0.35434148,2.2102863e-06,5.165335e-08
-3471.778086_2845.402956,0.19427328,0.23924689,0.048817918,0.104747854,0.03490228,0.37801182
-3471.778086_2945.402956,0.07197146,0.18056206,0.1310495,0.07506854,0.30864346,0.23270495
-3471.778086_3045.402956,0.12197082,6.6976874e-08,0.21678562,0.24608588,0.38199326,0.033164356
-3471.778086_3145.402956,0.21974304,1.6110201e-07,0.455516,0.20129363,0.07221208,0.051235013
-3471.778086_3245.402956,0.43334082,0.055100206,0.15281059,0.068656534,0.107870914,0.18222097
-3471.778086_3345.402956,0.16337529,0.15216306,0.20336813,0.09315762,0.023120547,0.36481535
-3471.778086_3445.402956,0.14921394,0.34592584,0.122916974,0.16524276,0.033949044,0.18275137
-3471.778086_3545.402956,0.25492993,0.12601495,0.199149,0.3716824,4.904131e-07,0.048223183
-3471.778086_3645.402956,0.26577923,2.463206e-07,0.23288998,0.36092594,0.025902186,0.11450243
-3471.778086_3745.402956,0.36338273,0.1872416,0.10476131,0.30829903,2.9945195e-07,0.036315106
-3471.778086_3845.402956,0.34031492,0.024868343,0.19686161,0.16065985,0.04886973,0.22842549
-3471.778086_3945.402956,0.25350943,0.0006402129,0.25877598,0.40290862,0.026399605,0.057766147
-3471.778086_4045.402956,0.34509784,0.13788033,0.23835914,0.21265751,6.245415e-07,0.06600455
-3471.778086_4145.402956,0.41908577,1.6787227e-06,0.2612067,0.16162759,2.7684473e-07,0.15807801
-3471.778086_4245.402956,0.23270783,0.04300116,5.8598034e-06,0.7154548,6.9922754e-07,0.008829585
1179.730793_2730.950073,0.29904795,0.289867,0.098903276,0.20344305,0.0073700314,0.101368695
1179.730793_2830.950073,0.18665206,0.031388115,0.25651577,0.38334158,0.017047675,0.1250548
1179.730793_2930.950073,0.2466508,1.3017933e-06,0.21323521,8.242184e-08,0.04472058,0.49539208
1179.730793_3030.950073,0.042175714,0.094154365,0.3220021,0.16694608,0.3747215,2.3725357e-07
1179.730793_3130.950073,0.20707013,2.6687016e-07,0.32331485,0.17432342,0.2952913,4.607764e-08
1179.730793_3230.950073,0.2208069,1.2759627e-07,0.26588163,0.037822224,0.23940012,0.23608902
1179.730793_3330.950073,0.5369763,0.24877743,5.746238e-07,0.13606606,3.625357e-06,0.07817605
