,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD,res_ss
-2371.778086_4045.402956,0.266737753,0.112025098,0.128295879,0.139031867,0.196338329,0.157571075,0
-2371.778086_4145.402956,0.204454205,0.134779548,0.108052705,0.090506061,0.168103568,0.294103914,0
-2371.778086_4245.402956,0.098158263,0.055642241,0.087578324,0.095266229,0.175544393,0.48781055,0
-2471.778086_2745.402956,0.117056191,0.350109164,0.187625389,0.197132515,0.048157413,0.099919329,0
-2471.778086_2845.402956,0.257245996,0.159339585,0.186970521,0.205525011,0.063666572,0.127252315,0
-2471.778086_2945.402956,0.247440797,0.106252415,0.161767865,0.237617044,0.12351854,0.12340334,0
-2471.778086_3045.402956,0.168436886,0.168981663,0.149319448,0.246618651,0.156357239,0.110286113,0
-2471.778086_3145.402956,0.232569747,0.121846228,0.221330975,0.224450772,0.122074441,0.077727837,0
-2471.778086_3245.402956,0.25786878,0.134904051,0.224110703,0.219335505,0.119292887,0.044488075,0
-2471.778086_3345.402956,0.226042346,0.104237554,0.173000731,0.268177196,0.156361097,0.072181076,0
-2471.778086_3445.402956,0.200884863,0.247531112,0.187652335,0.228435293,0.086517209,0.048979187,0
-2471.778086_3545.402956,0.2523756,0.143417611,0.174557875,0.213086998,0.155248193,0.061313723,0
-2471.778086_3645.402956,0.27151037,0.197661799,0.133577592,0.179553815,0.117899763,0.099796661,0
-2471.778086_3745.402956,0.201103639,0.165326497,0.198890445,0.224083114,0.124149625,0.08644668,0
-2471.778086_3845.402956,0.237185641,0.328183986,0.103577731,0.212226208,0.030663836,0.088162598,0
-2471.778086_3945.402956,0.284271768,0.150046308,0.08944256,0.161785772,0.203375699,0.111077893,0
-2471.778086_4045.402956,0.332440026,0.217142335,0.059298895,0.123560406,0.207934953,0.059623385,0
-2471.778086_4145.402956,0.326935086,0.320195753,0.048344255,0.040609964,0.086428315,0.177486627,0
-2471.778086_4245.402956,0.215480877,0.101345271,0.057123865,0.113520174,0.131742701,0.380787111,0
-2571.778086_2745.402956,0.141578401,0.244755683,0.121431989,0.232105274,0.086341282,0.173787372,0
-2571.778086_2845.402956,0.178211679,0.161745687,0.085440506,0.126022686,0.284977478,0.163601965,0
-2571.778086_2945.402956,0.137183925,0.283294076,0.121691705,0.219716409,0.162046998,0.076066888,0
-2571.778086_3045.402956,0.195189488,0.140947309,0.200259639,0.259803066,0.163985333,0.039815165,0
-2571.778086_3145.402956,0.141402397,0.217386899,0.158353023,0.2755927,0.146207811,0.061057169,0
-2571.778086_3245.402956,0.217526859,0.159164984,0.217598625,0.232959291,0.081425216,0.091325026,0
-2571.778086_3345.402956,0.158094339,0.192276773,0.23736614,0.225713708,0.14640229,0.040146749,0
-2571.778086_3445.402956,0.240615431,0.179038938,0.14582407,0.194457869,0.185147857,0.054915834,0
-2571.778086_3545.402956,0.228961559,0.169224755,0.158976693,0.183275603,0.204956556,0.054604833,0
-2571.778086_3645.402956,0.240246523,0.165392622,0.149850837,0.192550219,0.176423877,0.075535922,0
-2571.778086_3745.402956,0.211724325,0.238905055,0.115620529,0.218793157,0.14169713,0.073259804,0
-2571.778086_3845.402956,0.256222804,0.182730591,0.136396282,0.195829317,0.139124199,0.089696806,0
-2571.778086_3945.402956,0.243996754,0.24641902,0.125266638,0.188192835,0.120700519,0.075424234,0
-2571.778086_4045.402956,0.154428606,0.044098933,0.027340191,0.039161265,0.164904526,0.570066479,0
-2571.778086_4145.402956,0.169284257,0.16650444,0.053744927,0.124283159,0.264630784,0.221552433,0
-2571.778086_4245.402956,0.166575617,0.043392762,0.125179303,0.185337342,0.188153386,0.291361591,0
-2671.778086_2745.402956,0.269463728,0.165413696,0.147124062,0.14736364,0.117119266,0.153515609,0
-2671.778086_2845.402956,0.218430875,0.106044633,0.115920875,0.13298437,0.287623265,0.138995983,0
-2671.778086_2945.402956,0.174389126,0.159576743,0.074637336,0.111886634,0.224505732,0.25500443,0
-2671.778086_3045.402956,0.301655557,0.21481807,0.122443755,0.166696155,0.142013799,0.052372663,0
-2671.778086_3145.402956,0.38543858,0.132047698,0.087898926,0.081174257,0.275103689,0.038336849,0
-2671.778086_3245.402956,0.404987735,0.133751724,0.05638943,0.199103058,0.124101504,0.081666549,0
-2671.778086_3345.402956,0.202796462,0.115389278,0.177720186,0.237608407,0.161625827,0.10485984,0
-2671.778086_3445.402956,0.218470646,0.197209052,0.15368075,0.19222052,0.117359485,0.121059546,0
-2671.778086_3545.402956,0.271635983,0.122893342,0.195303472,0.25751412,0.129722706,0.022930378,0
-2671.778086_3645.402956,0.328833452,0.154129746,0.111778588,0.155199923,0.210567367,0.039490923,0
-2671.778086_3745.402956,0.18171608,0.167108516,0.114954774,0.194181211,0.308567274,0.033472145,0
-2671.778086_3845.402956,0.224963666,0.130426549,0.051458345,0.188119719,0.329242322,0.0757894,0
-2671.778086_3945.402956,0.260796557,0.121222536,0.059507333,0.075248544,0.332442657,0.150782373,0
-2671.778086_4045.402956,0.203605797,0,0.013924898,0.053039346,0.152352954,0.577077005,4.50E-209
-2671.778086_4145.402956,0.069042404,0.03785119,0.002300256,0.042584647,0.243121574,0.605099929,0
-2671.778086_4245.402956,0.258537535,0.062735561,0.111192306,0.053165866,0.348400413,0.165968319,0
-2771.778086_2745.402956,0.222538509,0.115303519,0.083095754,0.138703599,0.320930757,0.119427863,0
-2771.778086_2845.402956,0.119037938,0.007990596,0.054182908,0.09420589,0.648272299,0.076310369,0
-2771.778086_2945.402956,0.258517976,0.164416536,0.044445885,0.105954336,0.30913879,0.117526478,0
-2771.778086_3045.402956,0.262811407,0.152064694,0.100516135,0.178876467,0.252045177,0.053686121,0
-2771.778086_3145.402956,0.284835405,0.190905737,0.138918907,0.178302184,0.123077989,0.083959778,0
-2771.778086_3245.402956,0.232009686,0.131607057,0.174323514,0.253185637,0.140137442,0.068736664,0
-2771.778086_3345.402956,0.318199953,0.243713382,0.119181054,0.191050446,0.08965662,0.038198546,0
-2771.778086_3445.402956,0.295649496,0.156755706,0.166661316,0.178193258,0.187089717,0.015650507,0
-2771.778086_3545.402956,0.328339213,0.137883195,0.145264016,0.171491835,0.158257487,0.058764253,0
-2771.778086_3645.402956,0.291771753,0.1847839,0.086803782,0.150357511,0.224456065,0.06182699,0
-2771.778086_3745.402956,0.328175527,0.139587656,0.088753521,0.174107451,0.226573194,0.042802651,0
-2771.778086_3845.402956,0.197396363,0.24090522,0.096303765,0.18585949,0.196729548,0.082805614,0
-2771.778086_3945.402956,0.120027947,0.056893877,0.006737319,0.129507097,0.290844721,0.395989039,0
-2771.778086_4045.402956,0.089227285,0.044169849,0.01822563,0.036267706,0.220873653,0.591235877,0
-2771.778086_4145.402956,0.095676015,0.049676971,0.015593626,0.038945742,0.140246039,0.659861605,0
-2771.778086_4245.402956,0.003514366,0.082996699,0,0.066349759,0.496051422,0.351087754,7.65E-37
-2871.778086_2745.402956,0.143943213,0.174138836,0.140784274,0.21134689,0.210350184,0.119436602,0
-2871.778086_2845.402956,0.199529679,0.152518838,0.097626382,0.228950136,0.179869679,0.141505286,0
-2871.778086_2945.402956,0.212481118,0.168301298,0.169358874,0.272478499,0.111961291,0.065418919,0
-2871.778086_3045.402956,0.177426674,0.186902773,0.20665037,0.227235711,0.153321464,0.048463008,0
-2871.778086_3145.402956,0.167844972,0.112744067,0.246554835,0.305942216,0.083686957,0.083226954,0
-2871.778086_3245.402956,0.218194432,0.148208912,0.264528995,0.207490778,0.084819112,0.076757771,0
-2871.778086_3345.402956,0.19253962,0.150954212,0.239765569,0.245260894,0.093613511,0.077866195,0
-2871.778086_3445.402956,0.192163212,0.111172913,0.21226286,0.240153824,0.106970908,0.137276282,0
-2871.778086_3545.402956,0.247517922,0.080329476,0.124384382,0.192957392,0.219834849,0.134975979,0
-2871.778086_3645.402956,0.28714974,0.123898442,0.122577074,0.171148859,0.130842034,0.164383851,0
-2871.778086_3745.402956,0.304892163,0.174642905,0.146455214,0.169382861,0.16213257,0.042494288,0
-2871.778086_3845.402956,0.369481485,0.195792801,0.1137706,0.108077309,0.149291668,0.063586137,0
-2871.778086_3945.402956,0.272038042,0.140564621,0.080254018,0.141349188,0.195649811,0.17014432,0
-2871.778086_4045.402956,0.104198821,0.019506253,0.030174152,0.036644288,0.29702128,0.512455206,0
-2871.778086_4145.402956,0.039351641,0,0.014340362,0.043742438,0.228554753,0.674010806,0
-2871.778086_4245.402956,0.216268494,0.430633282,0.071937722,0.059850911,0.193698922,0.02761067,0
-2971.778086_2745.402956,0.174207925,0.232344729,0.128145217,0.234436127,0.151849662,0.07901634,0
-2971.778086_2845.402956,0.230760771,0.186910827,0.18922916,0.224232589,0.131809416,0.037057236,0
-2971.778086_2945.402956,0.198093415,0.170591125,0.157385802,0.22429181,0.198001064,0.051636784,0
-2971.778086_3045.402956,0.285698148,0.149655027,0.145385652,0.162323759,0.223734687,0.033202727,0
-2971.778086_3145.402956,0.196332771,0.162310511,0.194401287,0.277937171,0.125122861,0.043895399,0
-2971.778086_3245.402956,0.238238116,0.166765659,0.202873585,0.163073475,0.137419166,0.091629999,0
-2971.778086_3345.402956,0.273836857,0.130368122,0.132079512,0.130885628,0.197777639,0.135052242,0
-2971.778086_3445.402956,0.175652752,0.120537867,0.193183317,0.248238755,0.180862412,0.081524897,0
-2971.778086_3545.402956,0.202768115,0.144420395,0.166584779,0.275278736,0.122684878,0.088263096,0
-2971.778086_3645.402956,0.215404007,0.154237792,0.185420605,0.20958048,0.131633338,0.103723777,0
-2971.778086_3745.402956,0.194326014,0.19968563,0.126502156,0.171331478,0.233353022,0.074801701,0
-2971.778086_3845.402956,0.276534269,0.194585213,0.128974518,0.212872025,0.137515284,0.049518689,0
-2971.778086_3945.402956,0.256558981,0.171017764,0.139651874,0.183733293,0.127261312,0.121776776,0
-2971.778086_4045.402956,0.256729204,0.21576039,0.109914877,0.146934155,0.139052134,0.131609239,0
-2971.778086_4145.402956,0.274056648,0.091265691,0.134199126,0.133398537,0.247914189,0.119165808,0
-2971.778086_4245.402956,0.299402891,0.037145418,0.084397209,0.10365842,0.378589339,0.096806723,0
-3071.778086_2745.402956,0.211358956,0.121858902,0.180753261,0.197293595,0.159756885,0.128978401,0
-3071.778086_2845.402956,0.205714246,0.154669199,0.194043873,0.219160768,0.177236094,0.049175819,0
-3071.778086_2945.402956,0.208415884,0.245497103,0.148209295,0.153554125,0.186763338,0.057560254,0
-3071.778086_3045.402956,0.214829545,0.159276221,0.128687159,0.133058991,0.256843882,0.107304201,0
-3071.778086_3145.402956,0.203941279,0.196332757,0.142548681,0.151147378,0.241327485,0.06470242,0
-3071.778086_3245.402956,0.258308747,0.170954183,0.208753617,0.163312798,0.081946207,0.116724446,0
-3071.778086_3345.402956,0.23497327,0.116488623,0.165847018,0.169597147,0.210140079,0.102953864,0
-3071.778086_3445.402956,0.222687428,0.138422922,0.188906033,0.281385563,0.087774879,0.080823175,0
-3071.778086_3545.402956,0.214574587,0.179832595,0.137137569,0.11752984,0.280454047,0.070471363,0
-3071.778086_3645.402956,0.305012197,0.224270418,0.172298491,0.171360217,0.127058677,0,8.88E-253
-3071.778086_3745.402956,0.244705442,0.11650333,0.155632434,0.197235557,0.176502631,0.109420605,0
-3071.778086_3845.402956,0.202597553,0.136278462,0.209858074,0.262986339,0.08640127,0.101878301,0
-3071.778086_3945.402956,0.395022225,0.109673053,0.090405478,0.120565801,0.276890565,0.007442877,0
-3071.778086_4045.402956,0.261485082,0.147998819,0.116358943,0.137241076,0.287761521,0.049154558,0
-3071.778086_4145.402956,0.200674382,0.191189174,0.103276651,0.083030813,0.186739079,0.235089902,0
-3071.778086_4245.402956,0.145579204,0.090591225,0.008357464,0.038705274,0.13465406,0.582112773,0
-3171.778086_2745.402956,0.238806531,0.111912273,0.122131869,0.156177115,0.195152126,0.175820087,0
-3171.778086_2845.402956,0.241340096,0.156111787,0.155346596,0.160361139,0.112321272,0.17451911,0
-3171.778086_2945.402956,0.213853651,0.13365507,0.102463192,0.112009179,0.273464878,0.16455403,0
-3171.778086_3045.402956,0.142975388,0.193596773,0.139943977,0.179804207,0.09375519,0.249924464,0
-3171.778086_3145.402956,0.253388957,0.165389213,0.17724184,0.118934855,0.17684999,0.108195146,0
-3171.778086_3245.402956,0.199435305,0.255925632,0.099883431,0.216439695,0.079477364,0.148838573,0
-3171.778086_3345.402956,0.242960845,0.194565006,0.210757852,0.183960213,0.076909695,0.090846389,0
-3171.778086_3445.402956,0.293231686,0.242661385,0.099209117,0.112511013,0.227540355,0.024846444,0
-3171.778086_3545.402956,0.183411751,0.239312708,0.137259331,0.158730494,0.229796101,0.051489616,0
-3171.778086_3645.402956,0.240605171,0.113828118,0.170997246,0.174855502,0.244001575,0.055712388,0
-3171.778086_3745.402956,0.225729886,0.157926848,0.209259896,0.204403467,0.141650026,0.061029878,0
-3171.778086_3845.402956,0.203834066,0.158488854,0.293849145,0.233817745,0.049347514,0.060662677,0
-3171.778086_3945.402956,0.176799169,0.139646884,0.216435709,0.24724045,0.129739232,0.090138555,0
-3171.778086_4045.402956,0.25097293,0.213978576,0.103395595,0.160297581,0.238736176,0.032619142,0
-3171.778086_4145.402956,0.272483435,0.191131473,0.200721887,0.096747149,0.024691156,0.214224898,0
-3171.778086_4245.402956,0.194293577,0.146284104,0.091817408,0.127811518,0.181687114,0.258106279,0
-3271.778086_2745.402956,0.250859853,0.136989891,0.12752798,0.170638749,0.213848253,0.100135274,0
-3271.778086_2845.402956,0.245315329,0.222985721,0.159380762,0.16292593,0.126893813,0.082498445,0
-3271.778086_2945.402956,0.288525037,0.201813473,0.170222734,0.173956003,0.094944639,0.070538115,0
-3271.778086_3045.402956,0.193026934,0.1169932,0.160632986,0.164488593,0.108820181,0.256038106,0
-3271.778086_3145.402956,0.185545881,0.066341912,0.173804344,0.198799545,0.223870942,0.151637377,0
-3271.778086_3245.402956,0.245721656,0.218803079,0.138298242,0.180380159,0.032958773,0.183838091,0
-3271.778086_3345.402956,0.163714291,0.160533976,0.149680026,0.176761737,0.118572405,0.230737565,0
-3271.778086_3445.402956,0.206239267,0.221740658,0.107041381,0.137613501,0.212441336,0.114923856,0
-3271.778086_3545.402956,0.131458734,0.185183787,0.24306944,0.250594428,0.154197811,0.0354958,0
-3271.778086_3645.402956,0.160348737,0.15464585,0.212152502,0.189073478,0.230406474,0.05337296,0
-3271.778086_3745.402956,0.246170703,0.194138725,0.173765375,0.218330048,0.094291302,0.073303847,0
-3271.778086_3845.402956,0.168880268,0.200561451,0.16347638,0.165833873,0.198535625,0.102712403,0
-3271.778086_3945.402956,0.241701965,0.116564797,0.145707278,0.229082058,0.213278081,0.053665822,0
-3271.778086_4045.402956,0.252829029,0.16392351,0.178030634,0.240697205,0.127260839,0.037258782,0
-3271.778086_4145.402956,0.211472919,0.12311194,0.150665197,0.182721405,0.14862845,0.183400089,0
-3271.778086_4245.402956,0.340233882,0.155753662,0.147560301,0.115964342,0.018315721,0.222172093,0
-3371.778086_2745.402956,0.187933614,0.084300242,0.115369122,0.121971917,0.311150553,0.179274553,0
-3371.778086_2845.402956,0.251835163,0.220988272,0.102763084,0.122861116,0.157016081,0.144536282,0
-3371.778086_2945.402956,0.219412128,0.116762324,0.123491787,0.176519673,0.080636665,0.283177422,0
-3371.778086_3045.402956,0.22506396,0.214018367,0.164751534,0.157225005,0.19084144,0.048099693,0
-3371.778086_3145.402956,0.211100454,0.193442754,0.08750519,0.109700321,0.138850468,0.259400812,0
-3371.778086_3245.402956,0.2212739,0.134729941,0.204585992,0.177101554,0.155017732,0.107290881,0
-3371.778086_3345.402956,0.153260718,0.153207173,0.18989895,0.219321543,0.159157948,0.125153668,0
-3371.778086_3445.402956,0.178509727,0.1398541,0.161890632,0.22340952,0.193500267,0.102835753,0
-3371.778086_3545.402956,0.261403577,0.101473301,0.161731407,0.176658661,0.136770445,0.161962609,0
-3371.778086_3645.402956,0.251415948,0.176388271,0.166364224,0.181207287,0.126090723,0.098533546,0
-3371.778086_3745.402956,0.24062014,0.094864456,0.223546905,0.211924962,0.135392321,0.093651216,0
-3371.778086_3845.402956,0.233638253,0.113414888,0.178432037,0.213784721,0.221605746,0.039124354,0
-3371.778086_3945.402956,0.263723584,0.196034319,0.109998459,0.193739066,0.184341886,0.052162686,0
-3371.778086_4045.402956,0.197595759,0.209243877,0.102574545,0.127041647,0.316003047,0.047541124,0
-3371.778086_4145.402956,0.218731654,0.140079685,0.250656292,0.264690538,0.112738491,0.013103339,0
-3371.778086_4245.402956,0.376339127,0.119451067,0.134522743,0.14405841,0.136282869,0.089345783,0
-3471.778086_2745.402956,0.145972455,0.369378237,0.113996268,0.244341588,0.126311451,0,2.82E-253
-3471.778086_2845.402956,0.183160284,0.147945471,0.064700509,0.094912513,0.204927596,0.304353626,0
-3471.778086_2945.402956,0.144055806,0.225186867,0.127557433,0.097657641,0.142198402,0.26334385,0
-3471.778086_3045.402956,0.210084602,0.129812475,0.180757567,0.156951278,0.132809505,0.189584573,0
-3471.778086_3145.402956,0.267160841,0.098410814,0.170401641,0.213303203,0.023193232,0.227530269,0
-3471.778086_3245.402956,0.370825179,0.153902921,0.132186002,0.120205287,0.082551891,0.14032872,0
-3471.778086_3345.402956,0.168941191,0.104272583,0.084589066,0.112706085,0.257464592,0.272026484,0
-3471.778086_3445.402956,0.183762107,0.197637116,0.097824899,0.16155867,0.192984585,0.166232623,0
-3471.778086_3545.402956,0.243876953,0.238571393,0.124860607,0.229235774,0.012134799,0.151320474,0
-3471.778086_3645.402956,0.242016614,0.076269954,0.146741336,0.252639647,0.158600729,0.12373172,0
-3471.778086_3745.402956,0.202320197,0.196697313,0.138060017,0.187754551,0.230740702,0.04442722,0
-3471.778086_3845.402956,0.222600631,0.07000954,0.153180728,0.196938526,0.141388931,0.215881643,0
-3471.778086_3945.402956,0.180576799,0.133687497,0.14090089,0.275157754,0.260483514,0.009193546,0
-3471.778086_4045.402956,0.242196567,0.153259427,0.225290551,0.215130833,0.082040367,0.082082256,0
-3471.778086_4145.402956,0.322322202,0.138363807,0.129753717,0.165472889,0.106088135,0.137999249,0
-3471.778086_4245.402956,0.19307317,0.110636549,0.159359159,0.262613339,0.229693147,0.044624636,0
1179.730793_2730.950073,0.23213604,0.274644653,0.061282235,0.1458747,0.199742118,0.086320255,0
1179.730793_2830.950073,0.228414923,0.111349049,0.122449908,0.259151756,0.200463856,0.078170508,0
1179.730793_2930.950073,0.235080203,0.055691858,0.094053134,0.058853069,0.237770069,0.318551668,0
1179.730793_3030.950073,0.172170449,0.204651457,0.184293896,0.177274232,0.128259225,0.133350741,0
1179.730793_3130.950073,0.259447582,0.137174686,0.150036944,0.154973806,0.199850089,0.098516893,0
1179.730793_3230.950073,0.260470045,0.088510507,0.110321935,0.128950832,0.155938418,0.255808263,0
1179.730793_3330.950073,0.252647601,0.162173257,0.132620864,0.17809488,0.175004204,0.099459194,0
1179.730793_3430.950073,0.256493618,0.06955794,0.126505008,0.200364153,0.165586721,0.181492559,0
1179.730793_3530.950073,0.211470871,0.104390524,0.236391823,0.2564429,0.101364624,0.089939258,0
1179.730793_3630.950073,0.146415668,0.249747629,0.211240291,0.245492694,0.106446979,0.040656739,0
1179.730793_3730.950073,0.224750585,0.141656483,0.230708676,0.240777205,0.10828271,0.053824342,0
1179.730793_3830.950073,0.25612661,0.082259886,0.150937127,0.162849702,0.238779311,0.109047364,0
1179.730793_3930.950073,0.189548381,0.190251511,0.243658939,0.222480952,0.096872892,0.057187326,0
1179.730793_4030.950073,0.210262577,0.168976613,0.260921227,0.229727003,0.070767144,0.059345436,0
1179.730793_4130.950073,0.19427085,0.116047994,0.259212002,0.314155993,0.091934533,0.024378629,0
1179.730793_4230.950073,0.167129607,0.214616297,0.158673776,0.24467178,0.196580748,0.018327793,0
1279.730793_2730.950073,0.271339459,0.063135951,0.094378462,0.088871093,0.276950284,0.205324751,0
