,Astrocyte,Endothelial,Inhibitory,Microglia,OD,Excitatory,Others_cellf
-2171.778086_2745.402956,0.005926093,0.01517646,2.75E-05,0.009902796,0.19544668,0.41762105,0.35589936
-2171.778086_2845.402956,0.009059013,0.061365847,2.27E-05,0.011962115,0.16972166,0.3421984,0.40567023
-2171.778086_2945.402956,0.000898844,0.006284054,1.99E-05,0.005543408,0.17558083,0.42906058,0.38261226
-2171.778086_3045.402956,0.022711594,0.042742006,2.48E-05,0.037817225,0.12783825,0.45614055,0.3127256
-2171.778086_3145.402956,0.004047146,0.013173514,1.69E-05,0.004307355,0.17130445,0.46389034,0.34326032
-2171.778086_3245.402956,0.003241648,0.03122945,8.14E-06,0.006974948,0.20507957,0.37762132,0.3758449
-2171.778086_3345.402956,0.003820765,0.020881021,1.30E-05,0.006107132,0.17450304,0.39710316,0.3975719
-2171.778086_3445.402956,0.002092724,0.010226069,1.26E-05,0.004384134,0.06404424,0.58046645,0.33877382
-2171.778086_3545.402956,0.005370262,0.019778354,1.28E-05,0.00421694,0.08512472,0.51501465,0.37048218
-2171.778086_3645.402956,0.001777072,0.003251156,3.19E-05,0.004122064,0.08660815,0.48244745,0.4217622
-2171.778086_3745.402956,0.00424315,0.019257277,8.85E-06,0.004966004,0.18297753,0.41838732,0.37015983
-2171.778086_3845.402956,0.00251916,0.015830789,1.23E-05,0.002686472,0.12076769,0.49924433,0.35893926
-2171.778086_3945.402956,0.001589602,0.016590258,1.26E-05,0.004939332,0.20433722,0.38565254,0.3868784
-2171.778086_4045.402956,0.004023003,0.003672989,2.58E-05,0.002905561,0.14075954,0.4854432,0.3631699
-2171.778086_4145.402956,0.003741495,0.032956127,3.13E-05,0.006784532,0.2169859,0.32309788,0.4164028
-2171.778086_4245.402956,0.008306286,0.005008637,9.84E-05,0.004246184,0.16201273,0.43084556,0.38948226
-2271.778086_2745.402956,0.04038331,0.00367598,3.77E-05,0.014668799,0.23572929,0.34786943,0.3576356
-2271.778086_2845.402956,0.001165576,0.013186067,9.78E-06,0.006624031,0.15186635,0.4303568,0.3967914
-2271.778086_2945.402956,0.002493662,0.021373492,1.52E-05,0.004704416,0.1403819,0.47024217,0.36078912
-2271.778086_3045.402956,0.000527511,0.003587758,5.70E-05,0.003078486,0.115568876,0.4702211,0.40695924
-2271.778086_3145.402956,0.003026624,0.019090401,9.81E-06,0.008862753,0.12812883,0.4461571,0.39472443
-2271.778086_3245.402956,0.000993442,0.007188971,8.80E-06,0.007452441,0.15408473,0.4545544,0.37571728
-2271.778086_3345.402956,0.001720213,0.009236543,2.52E-05,0.001253921,0.05844633,0.55018014,0.3791377
-2271.778086_3445.402956,0.000774079,0.01155191,1.28E-05,0.003299826,0.20728083,0.37487608,0.4022045
-2271.778086_3545.402956,0.001283474,0.001952534,3.37E-05,0.001250553,0.06429025,0.60449743,0.3266921
-2271.778086_3645.402956,0.000688206,0.007170259,8.23E-06,0.005376871,0.23356073,0.34862864,0.40456712
-2271.778086_3745.402956,0.003726365,0.029117461,1.72E-05,0.008426576,0.21543613,0.3078875,0.43538874
-2271.778086_3845.402956,0.00766187,0.048557233,8.45E-05,0.010542769,0.17413017,0.37374863,0.3852747
-2271.778086_3945.402956,0.011150805,0.005924384,6.06E-05,0.004819843,0.15617189,0.42891628,0.39295632
-2271.778086_4045.402956,0.005187834,0.029594991,2.31E-05,0.013468584,0.13187326,0.41834584,0.4015064
-2271.778086_4145.402956,0.036715914,0.00632869,5.88E-05,0.015817955,0.21215954,0.45381933,0.27509978
-2271.778086_4245.402956,0.13285315,0.07545795,0.000387802,0.018050464,0.28815836,0.21604241,0.26904988
-2371.778086_2745.402956,0.014958018,0.052369457,3.18E-05,0.015377464,0.099209145,0.45210117,0.36595297
-2371.778086_2845.402956,0.002797821,0.038186397,1.16E-05,0.007823397,0.19387364,0.36518478,0.39212242
-2371.778086_2945.402956,0.001139471,0.00605941,1.32E-05,0.004850776,0.09627897,0.54817355,0.3434846
-2371.778086_3045.402956,0.001124665,0.004914745,1.80E-05,0.004027036,0.08533484,0.502683,0.40189776
-2371.778086_3145.402956,0.001484409,0.002934691,7.81E-06,0.003233736,0.05537749,0.5689481,0.36801377
-2371.778086_3245.402956,0.002383752,0.006903929,7.48E-06,0.003311409,0.041251417,0.6038377,0.3423043
-2371.778086_3345.402956,0.018917982,0.038353484,5.23E-05,0.00727016,0.101263605,0.4545083,0.37963414
-2371.778086_3445.402956,0.015080275,0.004990222,3.14E-05,0.003200907,0.12069966,0.52802086,0.32797664
-2371.778086_3545.402956,0.002063958,0.012977222,1.96E-05,0.005287333,0.07483469,0.54827404,0.35654312
-2371.778086_3645.402956,0.003531743,0.005271719,2.03E-05,0.001245349,0.1503015,0.47150773,0.3681217
-2371.778086_3745.402956,0.003130128,0.008576633,2.07E-05,0.009923567,0.19789362,0.39409676,0.3863586
-2371.778086_3845.402956,0.003149077,0.009062101,5.84E-05,0.001437348,0.12261686,0.5076593,0.35601696
-2371.778086_3945.402956,0.003241773,0.028209014,3.08E-05,0.008070199,0.11031718,0.40487242,0.44525862
-2371.778086_4045.402956,0.002797012,0.013070329,1.92E-05,0.009516576,0.18206364,0.3489984,0.44353497
-2371.778086_4145.402956,0.020521736,0.02555694,3.24E-05,0.003509016,0.2160185,0.43829706,0.29606435
-2371.778086_4245.402956,0.01966463,0.051903214,0.000248592,0.007014431,0.33956242,0.29923275,0.28237393
-2471.778086_2745.402956,0.019859778,0.023583181,2.41E-05,0.003170232,0.027902365,0.70614564,0.21931462
-2471.778086_2845.402956,0.054341793,0.05024601,6.18E-05,0.002373406,0.048550006,0.509051,0.33537605
-2471.778086_2945.402956,0.001489926,0.006087848,1.42E-05,0.004410378,0.14343624,0.4380998,0.40646157
-2471.778086_3045.402956,0.000993367,0.013799892,1.33E-05,0.004705142,0.18973562,0.37541485,0.41533783
-2471.778086_3145.402956,0.001999198,0.0047236,7.44E-06,0.005009971,0.088814,0.524574,0.37487182
-2471.778086_3245.402956,0.00443931,0.002074466,2.24E-05,0.00214149,0.054299742,0.64478433,0.29223824
-2471.778086_3345.402956,0.013283733,0.002048588,0.000111783,0.001068963,0.063267484,0.5752878,0.3449316
-2471.778086_3445.402956,0.026647802,0.044685867,0.000111692,0.002125382,0.067867965,0.5636632,0.2948981
-2471.778086_3545.402956,0.010789187,0.022365257,7.05E-05,0.004562484,0.06746297,0.5130759,0.3816736
-2471.778086_3645.402956,0.00281471,0.017042467,1.69E-05,0.012288127,0.16702735,0.39755976,0.40325078
-2471.778086_3745.402956,0.001965293,0.006650962,4.63E-05,0.00432806,0.10105567,0.52005345,0.36590025
-2471.778086_3845.402956,0.015986647,0.05619856,4.91E-05,0.004463681,0.13715109,0.42498708,0.3611638
-2471.778086_3945.402956,0.002347297,0.009525412,1.61E-05,0.008538229,0.16340303,0.40791652,0.40825343
-2471.778086_4045.402956,0.13444561,0.11745815,0.000134361,0.03334004,0.21092786,0.2029192,0.30077475
-2471.778086_4145.402956,0.0568093,0.11300806,0.000108629,0.019363293,0.27603722,0.27538878,0.2592847
-2471.778086_4245.402956,0.017250173,0.04333655,0.000246411,0.005312363,0.31310138,0.32000992,0.30074325
-2571.778086_2745.402956,0.010810238,0.010503426,4.35E-05,0.001955683,0.17105412,0.36347613,0.44215682
-2571.778086_2845.402956,0.01378182,0.03426803,3.52E-05,0.007596133,0.17786485,0.38563898,0.38081497
-2571.778086_2945.402956,0.001718598,0.027408412,2.50E-05,0.008054006,0.15649866,0.3273679,0.47892746
-2571.778086_3045.402956,0.008735737,0.021871116,5.95E-05,0.00376733,0.0628599,0.5024421,0.4002643
-2571.778086_3145.402956,0.001430249,0.0216269,2.65E-05,0.007783331,0.15081893,0.40161377,0.4167003
-2571.778086_3245.402956,0.001151815,0.003615208,1.50E-05,0.003107343,0.08797455,0.5660525,0.33808354
-2571.778086_3345.402956,0.0220908,0.057488978,0.000127629,0.00490276,0.059030034,0.46423534,0.39212453
-2571.778086_3445.402956,0.002206317,0.022354633,1.71E-05,0.006341154,0.15084279,0.39555952,0.42267853
-2571.778086_3545.402956,0.006020714,0.034477778,2.19E-05,0.011808368,0.08925339,0.43546352,0.4229543
-2571.778086_3645.402956,0.025719287,0.028602032,0.00010642,0.007447631,0.07908259,0.45517734,0.40386477
-2571.778086_3745.402956,0.004023213,0.02166821,4.12E-05,0.013529093,0.108718194,0.37517807,0.47684205
-2571.778086_3845.402956,0.003929462,0.014457439,1.87E-05,0.010298553,0.09335818,0.5086674,0.36927018
-2571.778086_3945.402956,0.009425777,0.038418904,1.45E-05,0.006521114,0.12718382,0.53951645,0.2789195
-2571.778086_4045.402956,0.05016366,0.00432986,0.000117237,0.00159864,0.42512244,0.19201079,0.32665738
-2571.778086_4145.402956,0.020094315,0.049588054,0.000176876,0.020071488,0.3213281,0.19923136,0.38950986
-2571.778086_4245.402956,0.006043328,0.002465644,9.66E-05,0.002779498,0.19612397,0.55790573,0.23458517
-2671.778086_2745.402956,0.004187924,0.003073553,3.57E-06,0.006044423,0.13320741,0.62316924,0.23031388
-2671.778086_2845.402956,0.00301162,0.00187711,3.11E-06,0.001623295,0.13058631,0.62462115,0.23827735
-2671.778086_2945.402956,0.003723913,0.015559631,2.73E-05,0.001546415,0.25316837,0.41054526,0.3154292
-2671.778086_3045.402956,0.01621896,0.04554283,1.71E-05,0.010864128,0.13539639,0.37909293,0.41286767
-2671.778086_3145.402956,0.11370889,0.052258078,2.16E-05,0.020272443,0.14706755,0.34948388,0.31718758
-2671.778086_3245.402956,0.06618094,0.029515954,6.17E-05,0.014637901,0.07809108,0.3999233,0.41158915
-2671.778086_3345.402956,0.005169164,0.001204465,4.64E-06,0.001465423,0.03665393,0.7205378,0.2349647
-2671.778086_3445.402956,0.001843018,0.013221266,7.44E-06,0.002744887,0.15650281,0.50946933,0.31621125
-2671.778086_3545.402956,0.003554519,0.003450126,2.00E-05,0.003918476,0.06962273,0.5963902,0.32304394
-2671.778086_3645.402956,0.022708308,0.06119549,2.24E-05,0.009330862,0.10061998,0.47850463,0.3276184
-2671.778086_3745.402956,0.004644114,0.029747901,5.18E-05,0.016637169,0.13721834,0.30032635,0.5113744
-2671.778086_3845.402956,0.017247247,0.07048685,2.17E-05,0.011418807,0.112208314,0.48830664,0.30031043
-2671.778086_3945.402956,0.04597676,0.050291903,0.000103668,0.025572112,0.24938674,0.30295473,0.32571405
-2671.778086_4045.402956,0.33415315,0.007909415,3.77E-05,0.003459806,0.26716757,0.17112151,0.21615076
-2671.778086_4145.402956,0.074992724,0.005564684,0.00011334,0.004396514,0.4095369,0.1795601,0.3258357
-2671.778086_4245.402956,0.84009373,0.004952142,0.000197306,0.000982958,0.014803349,0.057468157,0.08150238
-2771.778086_2745.402956,0.006463001,0.022529973,5.06E-06,0.007607502,0.12974606,0.498813,0.33483538
-2771.778086_2845.402956,0.012230776,0.009726654,1.88E-05,0.005411863,0.16082783,0.38081855,0.43096554
-2771.778086_2945.402956,0.19942535,0.13543855,2.34E-05,0.11079601,0.10828995,0.1623459,0.28368083
-2771.778086_3045.402956,0.12607145,0.037401885,4.45E-05,0.010687852,0.1035278,0.38521284,0.33705378
-2771.778086_3145.402956,0.005994967,0.020620426,2.08E-06,0.007544561,0.07469445,0.60336435,0.28777915
-2771.778086_3245.402956,0.003033318,0.004534716,1.32E-05,0.009527433,0.10465187,0.5019521,0.3762873
-2771.778086_3345.402956,0.005536643,0.027666245,1.48E-05,0.004307803,0.097296186,0.48753068,0.37764767
-2771.778086_3445.402956,0.003447811,0.010601008,1.33E-05,0.002753986,0.07717259,0.5569901,0.3490212
-2771.778086_3545.402956,0.006691565,0.005133128,1.22E-05,0.006224576,0.08287565,0.59452385,0.30453897
-2771.778086_3645.402956,0.003745021,0.013523702,2.40E-05,0.006037415,0.12163059,0.40805042,0.44698882
-2771.778086_3745.402956,0.0364767,0.01924093,2.24E-05,0.00559506,0.055191644,0.5237054,0.35976776
-2771.778086_3845.402956,0.00746024,0.03920629,1.93E-05,0.01048294,0.2131233,0.32065108,0.40905693
-2771.778086_3945.402956,0.026993405,0.030171186,0.000149251,0.01612311,0.4420242,0.14194435,0.34259447
-2771.778086_4045.402956,0.27142817,0.07722041,0.000247221,0.015172476,0.36520678,0.05660204,0.2141229
-2771.778086_4145.402956,0.24922347,0.090646,0.000330802,0.012787181,0.34126377,0.04495933,0.26078945
-2771.778086_4245.402956,0.15575649,0.018742796,0.000572611,0.052205507,0.15449797,0.04877102,0.56945366
-2871.778086_2745.402956,0.028254641,0.018810777,0.000378207,0.003460745,0.084983125,0.38993752,0.474175
-2871.778086_2845.402956,0.001969007,0.011099041,1.20E-05,0.009614572,0.16585402,0.405177,0.4062743
-2871.778086_2945.402956,0.001970731,0.010744011,2.00E-05,0.005540835,0.117553964,0.39925128,0.4649192
-2871.778086_3045.402956,0.011319825,0.032688376,3.83E-05,0.004043332,0.069994636,0.5817641,0.30015135
-2871.778086_3145.402956,0.005417072,0.002151932,2.69E-05,0.001497156,0.05434652,0.6437906,0.29276985
-2871.778086_3245.402956,0.001984949,0.010490647,9.27E-06,0.010860418,0.08026399,0.487827,0.4085638
-2871.778086_3345.402956,0.001998164,0.006997333,2.02E-05,0.003149318,0.10722477,0.4858256,0.3947845
-2871.778086_3445.402956,0.012028591,0.002300063,0.000239489,0.001143866,0.10382156,0.5220627,0.3584037
-2871.778086_3545.402956,0.001079988,0.001593671,2.69E-05,0.001579086,0.11665855,0.56071633,0.31834552
-2871.778086_3645.402956,0.002269955,0.011161592,2.18E-05,0.005625248,0.21650577,0.33698776,0.42742792
-2871.778086_3745.402956,0.005265994,0.016026054,1.53E-05,0.008362506,0.0817209,0.525119,0.36349022
-2871.778086_3845.402956,0.005850792,0.026940329,1.96E-05,0.009658159,0.12534752,0.41881892,0.41336465
-2871.778086_3945.402956,0.012468272,0.029489044,0.000107828,0.005636408,0.20120203,0.41920134,0.3318951
-2871.778086_4045.402956,0.33240062,0.010563731,8.53E-05,0.007802326,0.27175346,0.15688668,0.22050792
-2871.778086_4145.402956,0.04828199,0.003439795,4.67E-05,0.008894046,0.40771046,0.19835274,0.33327433
-2871.778086_4245.402956,0.3095992,0.26256266,3.44E-05,0.022681594,0.07345357,0.121204846,0.21046379
-2971.778086_2745.402956,0.003315876,0.0145438,1.80E-05,0.003952654,0.09890571,0.49201593,0.38724804
-2971.778086_2845.402956,0.002214314,0.016946835,1.11E-05,0.006917009,0.11118843,0.45666608,0.40605637
-2971.778086_2945.402956,0.008651801,0.020177076,2.33E-05,0.007766863,0.07754139,0.5541257,0.33171389
-2971.778086_3045.402956,0.07466242,0.04693172,7.73E-05,0.004440106,0.04534443,0.52527547,0.30326858
-2971.778086_3145.402956,0.001951327,0.014819708,4.01E-05,0.00484049,0.0659718,0.50441235,0.4079642
-2971.778086_3245.402956,0.002661265,0.016940683,2.17E-05,0.007373762,0.085183926,0.46359608,0.42422247
-2971.778086_3345.402956,0.015636753,0.017347557,4.88E-05,0.003714033,0.18013532,0.39070234,0.3924152
-2971.778086_3445.402956,0.001788608,0.015379991,2.71E-05,0.008295071,0.09494777,0.46167928,0.41788217
-2971.778086_3545.402956,0.002194495,0.017985765,4.58E-05,0.006938295,0.13786292,0.3992331,0.4357396
-2971.778086_3645.402956,0.02015165,0.02847421,0.000120527,0.005880478,0.060394496,0.5102589,0.37471968
-2971.778086_3745.402956,0.002496148,0.019986035,2.83E-05,0.011840567,0.16119799,0.35020307,0.4542478
-2971.778086_3845.402956,0.010356694,0.022576755,5.35E-05,0.006489518,0.094870925,0.44838455,0.41726804
-2971.778086_3945.402956,0.001577745,0.008108581,1.45E-05,0.005062941,0.16349323,0.44407958,0.3776634
-2971.778086_4045.402956,0.003485126,0.033753324,1.97E-05,0.009814218,0.24379848,0.3266801,0.38244915
-2971.778086_4145.402956,0.014466303,0.042378332,5.53E-05,0.009533413,0.19616568,0.43663386,0.30076715
-2971.778086_4245.402956,0.02194343,0.007845503,0.00029941,0.004382267,0.186572,0.4141718,0.3647856
-3071.778086_2745.402956,0.001476957,0.015312124,1.47E-05,0.004928634,0.13522245,0.4134438,0.42960134
-3071.778086_2845.402956,0.001355204,0.015010828,8.60E-06,0.006510567,0.09815053,0.51027274,0.36869153
-3071.778086_2945.402956,0.002420455,0.029566359,2.03E-05,0.007671398,0.16936333,0.42101613,0.36994198
-3071.778086_3045.402956,0.010644862,0.027530476,3.30E-05,0.006387874,0.16869834,0.37749436,0.40921104
-3071.778086_3145.402956,0.020782933,0.052312586,5.50E-05,0.003384649,0.14108133,0.37767246,0.40471098
-3071.778086_3245.402956,0.002077844,0.010780902,1.17E-05,0.004026962,0.09374623,0.49976444,0.3895919
-3071.778086_3345.402956,0.001958781,0.013945897,9.29E-06,0.007644868,0.1514538,0.4604364,0.36455098
-3071.778086_3445.402956,0.000754284,0.003426677,2.50E-05,0.00419989,0.08644181,0.5297438,0.3754086
-3071.778086_3545.402956,0.003078243,0.026199955,1.13E-05,0.010780225,0.14483048,0.4164877,0.398612
-3071.778086_3645.402956,0.010232758,0.03476549,5.62E-05,0.006081556,0.05860599,0.41862363,0.47163445
-3071.778086_3745.402956,0.002321658,0.007557957,1.61E-05,0.003126903,0.1444963,0.440725,0.40175605
-3071.778086_3845.402956,0.002161902,0.007985584,2.83E-05,0.005607306,0.069439605,0.570405,0.34437227
-3071.778086_3945.402956,0.02085415,0.028178968,2.25E-05,0.005107927,0.039350357,0.57581854,0.33066747
-3071.778086_4045.402956,0.003522614,0.021934533,1.59E-05,0.004882792,0.18020427,0.34800345,0.4414364
-3071.778086_4145.402956,0.01940732,0.09068482,0.000107221,0.011440774,0.28087503,0.26886928,0.3286155
-3071.778086_4245.402956,0.29434985,0.09498343,0.000759841,0.002326453,0.28711018,0.09859687,0.22187327
-3171.778086_2745.402956,0.016284656,0.023542397,3.57E-05,0.003948546,0.15518479,0.47235742,0.3286465
-3171.778086_2845.402956,0.001001168,0.009881837,1.08E-05,0.004905331,0.19155806,0.37787467,0.41476813
-3171.778086_2945.402956,0.004440467,0.027407626,2.71E-05,0.014353783,0.225503,0.35050297,0.37776506
-3171.778086_3045.402956,0.001852573,0.026092745,3.57E-05,0.006914774,0.20480718,0.396861,0.36343607
-3171.778086_3145.402956,0.003360613,0.022604493,1.78E-05,0.003018548,0.12276836,0.4879857,0.3602445
-3171.778086_3245.402956,0.002357651,0.025196921,2.90E-05,0.010579014,0.19106767,0.32159626,0.4491735
-3171.778086_3345.402956,0.001654859,0.011207172,2.44E-05,0.008362289,0.11963613,0.42115578,0.4379593
-3171.778086_3445.402956,0.11279536,0.09400459,5.27E-05,0.009771498,0.08191295,0.39003107,0.31143183
-3171.778086_3545.402956,0.002238948,0.026940487,1.04E-05,0.010288854,0.10355595,0.5215908,0.33537453
-3171.778086_3645.402956,0.017676262,0.004342566,7.11E-05,0.00097613,0.073532276,0.5431175,0.3602842
-3171.778086_3745.402956,0.002103704,0.011191622,1.18E-05,0.007606142,0.076345384,0.5407007,0.36204064
-3171.778086_3845.402956,0.001163733,0.013243368,1.83E-05,0.005187945,0.06616492,0.5659291,0.3482926
-3171.778086_3945.402956,0.010952979,0.006853515,0.000125972,0.001964178,0.05721094,0.581289,0.3416034
-3171.778086_4045.402956,0.004783575,0.028704658,2.24E-05,0.007646004,0.13132162,0.4771765,0.35034516
-3171.778086_4145.402956,0.029215321,0.05343502,8.27E-05,0.011665333,0.259933,0.3273746,0.31829405
-3171.778086_4245.402956,0.002895473,0.009279929,1.31E-05,0.001139558,0.21522811,0.40636644,0.3650774
-3271.778086_2745.402956,0.004147563,0.017206399,2.00E-05,0.012126291,0.16458854,0.44310024,0.35881102
-3271.778086_2845.402956,0.006361625,0.034604598,1.82E-05,0.006147562,0.09305055,0.52272695,0.3370905
-3271.778086_2945.402956,0.00650716,0.021758461,2.46E-05,0.010119225,0.11108371,0.4699186,0.38058823
-3271.778086_3045.402956,0.00680451,0.018010419,4.02E-05,0.010384806,0.20714131,0.39051995,0.36709884
-3271.778086_3145.402956,0.004317561,0.004610509,5.01E-05,0.002665302,0.12492319,0.5006176,0.36281574
-3271.778086_3245.402956,0.003077705,0.015163831,4.79E-05,0.004221629,0.21150938,0.36738566,0.3985938
-3271.778086_3345.402956,0.001061826,0.015240287,1.97E-05,0.003866977,0.21632352,0.34467202,0.41881573
-3271.778086_3445.402956,0.013163667,0.03546205,4.87E-05,0.005238108,0.17278671,0.35810018,0.4152006
-3271.778086_3545.402956,0.000772256,0.004274518,1.54E-05,0.001495049,0.06902796,0.62185925,0.30255565
-3271.778086_3645.402956,0.014734605,0.009376148,0.000177512,0.006647068,0.055661786,0.53897995,0.3744229
-3271.778086_3745.402956,0.002082993,0.005476027,1.44E-05,0.003486996,0.092735186,0.5102523,0.38595212
-3271.778086_3845.402956,0.000786563,0.009931016,1.83E-05,0.013015528,0.12426672,0.4255628,0.426419
-3271.778086_3945.402956,0.002130303,0.001245923,3.39E-05,0.003298304,0.060658634,0.58519316,0.34743983
-3271.778086_4045.402956,0.003766994,0.012869189,2.22E-05,0.007649405,0.10051248,0.54715407,0.32802564
-3271.778086_4145.402956,0.002110877,0.005023792,2.36E-05,0.005141517,0.15000498,0.4781925,0.3595027
-3271.778086_4245.402956,0.02506986,0.021909025,0.000139055,0.009198322,0.20909593,0.4237702,0.3108177
-3371.778086_2745.402956,0.021867676,0.027168391,0.000140225,0.004241696,0.23617008,0.402852,0.3075599
-3371.778086_2845.402956,0.007451283,0.039028108,1.59E-05,0.013908079,0.19695358,0.31737822,0.42526478
-3371.778086_2945.402956,0.005803843,0.014378723,9.07E-05,0.004184244,0.19541821,0.38551742,0.39460695
-3371.778086_3045.402956,0.015213815,0.04085264,6.29E-05,0.023105638,0.10693198,0.50366634,0.3101667
-3371.778086_3145.402956,0.009434525,0.04283744,3.02E-05,0.008370908,0.2686797,0.28206092,0.38858628
-3371.778086_3245.402956,0.004382349,0.02054516,2.59E-05,0.012846718,0.12020992,0.41750574,0.42448422
-3371.778086_3345.402956,0.000826575,0.014645352,3.05E-05,0.013976892,0.12886119,0.41729233,0.42436728
-3371.778086_3445.402956,0.004380895,0.001203505,7.06E-05,0.004788161,0.11997389,0.43846175,0.43112117
-3371.778086_3545.402956,0.001322177,0.000874419,3.28E-06,0.001535515,0.10322494,0.6225997,0.27043998
-3371.778086_3645.402956,0.001508698,0.011309528,1.02E-05,0.005224165,0.19710065,0.34708503,0.4377618
-3371.778086_3745.402956,0.010870284,0.000666545,0.000154556,0.001295645,0.099673696,0.5323317,0.35500753
-3371.778086_3845.402956,0.003207564,0.013961815,2.80E-05,0.00887851,0.05493603,0.5189036,0.40008444
-3371.778086_3945.402956,0.001948511,0.024536192,1.35E-05,0.00732913,0.13477792,0.4703977,0.36099705
-3371.778086_4045.402956,0.008763784,0.041012127,2.82E-05,0.02313521,0.08380925,0.50256515,0.34068623
-3371.778086_4145.402956,0.002423478,0.002922863,3.30E-05,0.001431194,0.061115205,0.6620214,0.27005294
-3371.778086_4245.402956,0.004855135,0.003162092,1.06E-05,0.00542672,0.11341465,0.5475639,0.32556686
-3471.778086_2745.402956,0.008361201,0.03467777,2.07E-05,0.012063955,0.06913754,0.55863184,0.31710702
-3471.778086_2845.402956,0.030715195,0.08911282,0.00031315,0.013073395,0.29269958,0.2658277,0.30825812
-3471.778086_2945.402956,0.009084272,0.05037202,9.83E-05,0.029858816,0.2710609,0.241026,0.39849973
-3471.778086_3045.402956,0.005017038,0.014897342,4.79E-05,0.020136708,0.1797305,0.40695894,0.37321153
-3471.778086_3145.402956,0.003141343,0.002307948,8.47E-05,0.00209402,0.1593152,0.42266017,0.4103967
-3471.778086_3245.402956,0.018914139,0.02184229,9.82E-05,0.011242759,0.22489457,0.26947895,0.45352912
-3471.778086_3345.402956,0.002577186,0.014512048,7.73E-05,0.0104413,0.25976115,0.28876546,0.42386547
-3471.778086_3445.402956,0.011086081,0.039044242,8.27E-05,0.007252241,0.2510341,0.3028838,0.38861677
-3471.778086_3545.402956,0.004741841,0.03051467,4.51E-05,0.013833056,0.2012695,0.30941096,0.4401849
