,Inhibitory,Excitatory,OD,Microglia,Endothelial,Astrocyte
-2171.778086_3345.402956,0.04435985,0.19780163,0.4702266,0.045161728,0.12021778,0.12223247
-2171.778086_3445.402956,0.03824931,0.31143308,0.41539788,0.030115653,0.12063605,0.08416804
-2171.778086_3545.402956,0.04009486,0.22919154,0.46379924,0.029801302,0.15128675,0.085826315
-2171.778086_3645.402956,0.04547224,0.20980528,0.52655727,0.021849474,0.10638292,0.0899328
-2171.778086_3745.402956,0.03730906,0.20156494,0.52542174,0.024882922,0.108207434,0.10261388
-2171.778086_3845.402956,0.038118225,0.20981522,0.5114082,0.04651163,0.098414086,0.095732726
-2171.778086_3945.402956,0.044990912,0.14413814,0.48693898,0.05114822,0.10598193,0.16680178
-2171.778086_4045.402956,0.047675744,0.18254519,0.47977063,0.04691463,0.11316571,0.12992808
-2171.778086_4145.402956,0.046585895,0.20300776,0.43122998,0.058875903,0.14339972,0.11690079
-2171.778086_4245.402956,0.03945611,0.20036449,0.5604838,0.06044837,0.07517284,0.06407446
-2271.778086_2745.402956,0.03133235,0.112515435,0.5486069,0.04753367,0.072040714,0.187971
-2271.778086_2845.402956,0.040054005,0.14448774,0.516225,0.051447112,0.08940797,0.15837818
-2271.778086_2945.402956,0.04636301,0.24848124,0.45967832,0.032887492,0.13620514,0.07638482
-2271.778086_3045.402956,0.056378167,0.2505283,0.4836724,0.030092172,0.115106754,0.064222164
-2271.778086_3145.402956,0.035521597,0.22738707,0.49154916,0.035485677,0.100252256,0.10980427
-2271.778086_3245.402956,0.034779087,0.24331528,0.4865033,0.03536415,0.10062102,0.099417135
-2271.778086_3345.402956,0.04388082,0.23506515,0.49503082,0.02503189,0.13004129,0.07095004
-2271.778086_3445.402956,0.04174922,0.23306793,0.51961684,0.023319423,0.113821335,0.06842526
-2271.778086_3545.402956,0.04882362,0.20667921,0.5413162,0.03860182,0.096249476,0.06832968
-2271.778086_3645.402956,0.034305092,0.16791433,0.5409135,0.04086158,0.10556119,0.11044427
-2271.778086_3745.402956,0.0354432,0.16744629,0.52409005,0.03756884,0.1171338,0.1183178
-2271.778086_3845.402956,0.06673251,0.18157019,0.47326517,0.045587033,0.13011497,0.10273021
-2271.778086_3945.402956,0.056971017,0.16456349,0.5249422,0.047409333,0.09516607,0.11094782
-2271.778086_4045.402956,0.043035302,0.19617312,0.4894633,0.0527746,0.106155686,0.11239796
-2271.778086_4145.402956,0.02661036,0.16133772,0.59183246,0.07707152,0.06468322,0.078464784
-2271.778086_4245.402956,0.03258139,0.15751255,0.60195553,0.076840065,0.06634643,0.06476404
-2371.778086_2745.402956,0.052365422,0.1910518,0.47534883,0.035121344,0.12709533,0.1190173
-2371.778086_2845.402956,0.042472553,0.1802155,0.45496488,0.042278893,0.18017244,0.099895686
-2371.778086_2945.402956,0.04243665,0.2830287,0.46117646,0.030330077,0.102073,0.0809551
-2371.778086_3045.402956,0.037524953,0.2915678,0.4838108,0.022705408,0.0924096,0.071981475
-2371.778086_3145.402956,0.03710013,0.26599964,0.51016366,0.022095617,0.079425454,0.08521548
-2371.778086_3245.402956,0.04208936,0.2929755,0.45372477,0.02522321,0.09249346,0.09349367
-2371.778086_3345.402956,0.044278312,0.32889062,0.40584663,0.031820804,0.107703336,0.08146028
-2371.778086_3445.402956,0.04947811,0.23659755,0.48704308,0.036072265,0.08522209,0.105586916
-2371.778086_3545.402956,0.050343167,0.3314152,0.41128033,0.026063958,0.094909176,0.08598817
-2371.778086_3645.402956,0.05363571,0.20571809,0.47979778,0.03643241,0.10616281,0.11825324
-2371.778086_3745.402956,0.05707771,0.2466351,0.4592582,0.04366062,0.08380432,0.109564066
-2371.778086_3845.402956,0.053450968,0.2297366,0.4991614,0.03191047,0.10462651,0.08111403
-2371.778086_3945.402956,0.058195073,0.25904623,0.44852075,0.03029144,0.111733206,0.09221336
-2371.778086_4045.402956,0.047548056,0.2128003,0.47760475,0.038463328,0.110237785,0.11334572
-2371.778086_4145.402956,0.029886663,0.1376729,0.60836744,0.053105198,0.07492037,0.09604746
-2371.778086_4245.402956,0.024177777,0.1140934,0.66310334,0.09786543,0.06015276,0.04060726
-2471.778086_2745.402956,0.06698719,0.1712997,0.49019444,0.049140647,0.15226895,0.07010908
-2471.778086_2845.402956,0.045907617,0.26636514,0.45238516,0.041282926,0.124097824,0.0699614
-2471.778086_2945.402956,0.056056667,0.20708176,0.5379495,0.02573996,0.08421979,0.0889523
-2471.778086_3045.402956,0.041353397,0.2928521,0.42132083,0.033220656,0.13206157,0.07919142
-2471.778086_3145.402956,0.041230835,0.28903404,0.4918628,0.028746715,0.066105455,0.08302022
-2471.778086_3245.402956,0.035064053,0.39681238,0.4042244,0.02431999,0.058027234,0.08155187
-2471.778086_3345.402956,0.059427615,0.31178227,0.4336895,0.027680209,0.077350594,0.09006992
-2471.778086_3445.402956,0.065614045,0.2569561,0.4260735,0.036635567,0.12874682,0.08597408
-2471.778086_3545.402956,0.055619523,0.25647536,0.4496588,0.029654821,0.12085527,0.087736346
-2471.778086_3645.402956,0.054523762,0.21520768,0.46698153,0.039185815,0.10129384,0.12280731
-2471.778086_3745.402956,0.062783964,0.25484318,0.48427972,0.023282949,0.09544636,0.07936388
-2471.778086_3845.402956,0.063868746,0.20234129,0.4384598,0.036736358,0.13508527,0.12350845
-2471.778086_3945.402956,0.044942107,0.15756558,0.4939809,0.04410546,0.0916931,0.16771281
-2471.778086_4045.402956,0.037134033,0.12061784,0.38458014,0.06398845,0.12031186,0.27336764
-2471.778086_4145.402956,0.018583382,0.091226615,0.41821525,0.056884237,0.18765374,0.22743681
-2471.778086_4245.402956,0.024230085,0.14339358,0.56268555,0.07240522,0.0894019,0.10788363
-2571.778086_2745.402956,0.055046365,0.14813542,0.5910997,0.01909573,0.12951452,0.057108313
-2571.778086_2845.402956,0.04681108,0.17814773,0.5337089,0.039004896,0.10305039,0.09927705
-2571.778086_2945.402956,0.042158198,0.2531589,0.4723896,0.026598928,0.12966202,0.07603233
-2571.778086_3045.402956,0.043795917,0.31193554,0.4552622,0.025072793,0.08545972,0.07847383
-2571.778086_3145.402956,0.04499968,0.32411176,0.4278418,0.035856456,0.10819308,0.058997195
-2571.778086_3245.402956,0.045552846,0.3085942,0.47444978,0.028598059,0.07044772,0.07235736
-2571.778086_3345.402956,0.043631103,0.29021484,0.44925848,0.03477685,0.104886666,0.0772322
-2571.778086_3445.402956,0.05156002,0.23142701,0.46699512,0.03153088,0.11449178,0.103995234
-2571.778086_3545.402956,0.04787974,0.21990861,0.48558915,0.031064592,0.12427575,0.09128222
-2571.778086_3645.402956,0.06378647,0.19277671,0.4764313,0.03714848,0.10449379,0.1253632
-2571.778086_3745.402956,0.06602731,0.1929718,0.50387627,0.033324584,0.11005688,0.09374319
-2571.778086_3845.402956,0.06717932,0.19280905,0.47891828,0.039782546,0.097478,0.12383282
-2571.778086_3945.402956,0.05578808,0.1679282,0.4495995,0.041505948,0.1399837,0.14519455
-2571.778086_4045.402956,0.01737247,0.07854074,0.7004586,0.06885308,0.056086294,0.07868885
-2571.778086_4145.402956,0.044179723,0.12601715,0.53753644,0.05244786,0.12408865,0.11573018
-2571.778086_4245.402956,0.04347808,0.255523,0.5190716,0.048198555,0.06516852,0.06856026
-2671.778086_2745.402956,0.030570688,0.09200961,0.5933578,0.06415125,0.06333802,0.1565726
-2671.778086_2845.402956,0.033725772,0.26831982,0.46876407,0.045837417,0.08739396,0.09595893
-2671.778086_2945.402956,0.025559507,0.19000795,0.4981858,0.049613155,0.1535475,0.08308606
-2671.778086_3045.402956,0.04058452,0.19443157,0.4503179,0.041506577,0.10793119,0.16522817
-2671.778086_3145.402956,0.02691925,0.09756376,0.4288145,0.05939967,0.045691445,0.34161136
-2671.778086_3245.402956,0.037553538,0.22870803,0.3883403,0.041621976,0.049109988,0.25466612
-2671.778086_3345.402956,0.05751944,0.29351845,0.46793008,0.03787559,0.0583069,0.08484947
-2671.778086_3445.402956,0.050839685,0.22030805,0.50230616,0.04008899,0.10676321,0.0796939
-2671.778086_3545.402956,0.052173506,0.273866,0.46716276,0.030302018,0.07245227,0.104043536
-2671.778086_3645.402956,0.053483855,0.18981987,0.4248135,0.042808246,0.09107761,0.19799693
-2671.778086_3745.402956,0.07018768,0.23552573,0.43595982,0.04384565,0.09965486,0.11482629
-2671.778086_3845.402956,0.048277803,0.19988453,0.42178935,0.050097536,0.14039434,0.13955636
-2671.778086_3945.402956,0.028879331,0.12834086,0.4686434,0.05515237,0.08154843,0.2374356
-2671.778086_4045.402956,0.013468761,0.07175524,0.70548654,0.055098373,0.049519565,0.104671575
-2671.778086_4145.402956,0.012590741,0.07291064,0.7441024,0.058581542,0.05678103,0.05503363
-2671.778086_4245.402956,0.013784308,0.44981253,0.3091573,0.101973906,0.045745477,0.07952644
-2771.778086_2745.402956,0.03656109,0.21468472,0.5017963,0.035241477,0.097691104,0.11402533
-2771.778086_2845.402956,0.033974502,0.16687079,0.5746098,0.05164609,0.085847564,0.08705131
-2771.778086_2945.402956,0.025284387,0.18921095,0.4282252,0.05986871,0.10257612,0.19483462
-2771.778086_3045.402956,0.041588176,0.21583924,0.43955106,0.039813083,0.07725235,0.18595605
-2771.778086_3145.402956,0.0325593,0.27069604,0.44904932,0.037025563,0.0722521,0.13841757
-2771.778086_3245.402956,0.045547083,0.25075576,0.51066023,0.035401642,0.04009819,0.11753717
-2771.778086_3345.402956,0.054482926,0.17805244,0.47081703,0.034489106,0.0759652,0.18619329
-2771.778086_3445.402956,0.05009791,0.25008833,0.45025223,0.034497716,0.0703371,0.14472665
-2771.778086_3545.402956,0.04416432,0.26218474,0.42062017,0.033874843,0.07176883,0.16738717
-2771.778086_3645.402956,0.038200982,0.14129232,0.5142929,0.0378407,0.06750341,0.20086971
-2771.778086_3745.402956,0.06853564,0.1396268,0.4386625,0.045419857,0.08848356,0.21927162
-2771.778086_3845.402956,0.037426397,0.15535551,0.41194993,0.054454546,0.23115891,0.109654754
-2771.778086_3945.402956,0.030990075,0.102211796,0.62482697,0.061286442,0.10421696,0.07646786
-2771.778086_4045.402956,0.01250501,0.075257055,0.7176786,0.06264317,0.0698649,0.062051147
-2771.778086_4145.402956,0.01249752,0.07315753,0.7292573,0.06287663,0.068142615,0.054068405
-2771.778086_4245.402956,0.00938396,0.005417877,0.26828903,0.41064176,0.01218816,0.2940793
-2871.778086_2745.402956,0.07136761,0.15812793,0.53629863,0.0262467,0.14527892,0.062680334
-2871.778086_2845.402956,0.04759037,0.2104684,0.54089576,0.02611309,0.08889443,0.08603799
-2871.778086_2945.402956,0.046616714,0.2761248,0.49416953,0.02331695,0.072360724,0.08741126
-2871.778086_3045.402956,0.04208085,0.30357382,0.45398164,0.030500134,0.08287246,0.086991124
-2871.778086_3145.402956,0.03721804,0.39853543,0.4156602,0.026030509,0.06113064,0.061425224
-2871.778086_3245.402956,0.03616477,0.28654528,0.48062518,0.03353984,0.07822609,0.08489884
-2871.778086_3345.402956,0.049280614,0.3403592,0.4574056,0.02339365,0.06570592,0.06385505
-2871.778086_3445.402956,0.06921457,0.2340518,0.5193312,0.028681787,0.07081389,0.077906705
-2871.778086_3545.402956,0.049532276,0.18342242,0.52894354,0.046794474,0.06588453,0.1254228
-2871.778086_3645.402956,0.044288717,0.17467916,0.53220713,0.04230781,0.09305692,0.11346034
-2871.778086_3745.402956,0.05626407,0.1829873,0.49083462,0.02744511,0.096772686,0.14569627
-2871.778086_3845.402956,0.039413024,0.15227666,0.4651611,0.029788526,0.10673456,0.20662613
-2871.778086_3945.402956,0.038616262,0.29048315,0.40526447,0.053355332,0.11201648,0.10026434
-2871.778086_4045.402956,0.013321974,0.073779695,0.6762188,0.09695264,0.060939822,0.07878697
-2871.778086_4145.402956,0.01166069,0.05961838,0.7379675,0.08366265,0.055566516,0.051524304
-2871.778086_4245.402956,0.016134784,0.08711597,0.2342748,0.07304877,0.48144025,0.10798548
-2971.778086_2745.402956,0.06018534,0.20460506,0.52950186,0.026440235,0.101814665,0.077452764
-2971.778086_2845.402956,0.057806753,0.20651816,0.49184814,0.027592653,0.1128966,0.103337735
-2971.778086_2945.402956,0.050364625,0.27518374,0.45045108,0.029876018,0.09997416,0.094150364
-2971.778086_3045.402956,0.039980996,0.2153986,0.47637022,0.028004212,0.11398393,0.12626207
-2971.778086_3145.402956,0.05300854,0.32530972,0.42460352,0.024328697,0.110070474,0.06267907
-2971.778086_3245.402956,0.042459995,0.29388228,0.44889364,0.02661674,0.109082066,0.07906522
-2971.778086_3345.402956,0.034293413,0.24083263,0.471772,0.044057444,0.086324066,0.122720465
-2971.778086_3445.402956,0.0522661,0.24498577,0.49031797,0.031477652,0.1031752,0.07777719
-2971.778086_3545.402956,0.08995451,0.22550936,0.4645149,0.031621024,0.11575055,0.07264957
-2971.778086_3645.402956,0.06620814,0.20137323,0.5018981,0.029793441,0.11761748,0.083109595
-2971.778086_3745.402956,0.051680874,0.19918375,0.48708448,0.034023065,0.13645642,0.091571495
-2971.778086_3845.402956,0.059533235,0.19105713,0.49936327,0.031111114,0.109714165,0.10922101
-2971.778086_3945.402956,0.053728823,0.18502848,0.51989776,0.03248128,0.092835516,0.11602808
-2971.778086_4045.402956,0.03815633,0.21278527,0.39127156,0.041671,0.16845222,0.1476636
-2971.778086_4145.402956,0.04272893,0.1974692,0.43322375,0.061330643,0.10336222,0.16188522
-2971.778086_4245.402956,0.027872857,0.16325925,0.46604994,0.039556604,0.07818972,0.22507158
-3071.778086_2745.402956,0.04768566,0.21917984,0.5049784,0.033145364,0.113360524,0.08165015
-3071.778086_2845.402956,0.043227974,0.3008079,0.43720123,0.033602927,0.117768295,0.067391604
-3071.778086_2945.402956,0.038726736,0.18613313,0.4403045,0.03756536,0.20661438,0.09065592
-3071.778086_3045.402956,0.038351092,0.22767577,0.47839147,0.035576116,0.13471784,0.08528768
-3071.778086_3145.402956,0.039867036,0.20723881,0.45412785,0.03288094,0.16023748,0.10564793
-3071.778086_3245.402956,0.051658303,0.24295995,0.4595173,0.03202392,0.121902876,0.09193766
-3071.778086_3345.402956,0.036895,0.20544301,0.48945794,0.040853262,0.09959792,0.12775286
-3071.778086_3445.402956,0.06301317,0.24815188,0.49384785,0.02697012,0.09276786,0.07524915
-3071.778086_3545.402956,0.044936597,0.20680228,0.42114785,0.03822716,0.17004159,0.118844554
-3071.778086_3645.402956,0.049120888,0.19039743,0.45406199,0.027822176,0.14214465,0.13645293
-3071.778086_3745.402956,0.055120442,0.20519899,0.52518904,0.025007693,0.09618656,0.09329729
-3071.778086_3845.402956,0.0823328,0.19125608,0.48928532,0.02805053,0.10035685,0.108718425
-3071.778086_3945.402956,0.032827493,0.15649791,0.39531,0.031555288,0.0781731,0.3056362
-3071.778086_4045.402956,0.041831605,0.21063258,0.43138352,0.04149267,0.1286451,0.14601453
-3071.778086_4145.402956,0.024971042,0.11927101,0.476562,0.0732677,0.1878088,0.118119545
-3071.778086_4245.402956,0.015177362,0.07438702,0.6869035,0.069635354,0.0849165,0.06898031
-3171.778086_2745.402956,0.0311834,0.20079754,0.53069735,0.03149072,0.1100444,0.095786564
-3171.778086_2845.402956,0.03282198,0.23156877,0.49919614,0.036259808,0.13569501,0.06445832
-3171.778086_2945.402956,0.035383713,0.16385095,0.5102866,0.045412697,0.13895078,0.10611529
-3171.778086_3045.402956,0.05758996,0.2478251,0.43907112,0.041310027,0.15001881,0.06418497
-3171.778086_3145.402956,0.039072018,0.26583767,0.4307716,0.0460487,0.11758191,0.10068803
-3171.778086_3245.402956,0.048335817,0.18598361,0.46811825,0.04714135,0.15010822,0.10031263
-3171.778086_3345.402956,0.040616613,0.22260137,0.4986421,0.025799282,0.11843717,0.093903475
-3171.778086_3445.402956,0.030464593,0.18120115,0.403532,0.05072614,0.120592244,0.21348386
-3171.778086_3545.402956,0.053530604,0.22605972,0.4094109,0.041983847,0.18017335,0.08884171
-3171.778086_3645.402956,0.04958995,0.22788346,0.46701294,0.028303402,0.1184973,0.10871297
-3171.778086_3745.402956,0.05388779,0.2487696,0.47358593,0.03125255,0.10662535,0.08587873
-3171.778086_3845.402956,0.057232477,0.25882038,0.427782,0.030039951,0.14098218,0.085143015
-3171.778086_3945.402956,0.06579538,0.2519649,0.46630144,0.028589245,0.10539064,0.08195836
-3171.778086_4045.402956,0.056945637,0.2131476,0.40869847,0.045192808,0.1638897,0.112125814
-3171.778086_4145.402956,0.025031177,0.1308162,0.58348477,0.07786536,0.09443891,0.08836358
-3171.778086_4245.402956,0.034295786,0.14878845,0.56704307,0.0901556,0.0940829,0.065634206
-3271.778086_2745.402956,0.060101405,0.20450063,0.41687644,0.03685494,0.1581509,0.123515725
-3271.778086_2845.402956,0.04025235,0.25720963,0.44145638,0.03803159,0.15263735,0.07041274
-3271.778086_2945.402956,0.06785036,0.24979167,0.42331585,0.038681794,0.13244304,0.0879174
-3271.778086_3045.402956,0.056340244,0.22761981,0.4840503,0.04959598,0.111932136,0.070461534
-3271.778086_3145.402956,0.08333698,0.22101232,0.5052831,0.027464798,0.09582181,0.067080975
-3271.778086_3245.402956,0.05079164,0.15048476,0.47281685,0.033029523,0.16477264,0.12810461
-3271.778086_3345.402956,0.045195024,0.20597616,0.49325064,0.03521565,0.14977814,0.07058437
-3271.778086_3445.402956,0.039232653,0.1565139,0.5272307,0.03398969,0.12528415,0.11774887
-3271.778086_3545.402956,0.054026615,0.2987806,0.41351297,0.028240142,0.14578448,0.059655268
-3271.778086_3645.402956,0.058641005,0.22152373,0.47700608,0.03698311,0.11231055,0.09353558
-3271.778086_3745.402956,0.04450601,0.21553156,0.51870143,0.025739636,0.08997428,0.105547085
-3271.778086_3845.402956,0.046346996,0.21629693,0.5004034,0.042387042,0.12036485,0.07420077
-3271.778086_3945.402956,0.061243698,0.25504085,0.45584682,0.03392166,0.08933795,0.10460903
-3271.778086_4045.402956,0.060419474,0.27230102,0.37966302,0.04432435,0.12058979,0.1227024
-3271.778086_4145.402956,0.043735746,0.20937896,0.53283334,0.054579824,0.089189015,0.070283175
-3271.778086_4245.402956,0.028472302,0.20432203,0.5681889,0.083087556,0.063729666,0.05219956
-3371.778086_2745.402956,0.03937813,0.16384086,0.52417356,0.044006243,0.09986598,0.12873524
-3371.778086_2845.402956,0.036072027,0.1935066,0.4453396,0.04970853,0.17036135,0.1050119
-3371.778086_2945.402956,0.06450973,0.19890851,0.47325027,0.0507331,0.12955935,0.08303906
-3371.778086_3045.402956,0.07048248,0.25118008,0.372932,0.048150934,0.16286293,0.09439166
-3371.778086_3145.402956,0.035451062,0.16592659,0.47038934,0.04574462,0.1801964,0.10229201
-3371.778086_3245.402956,0.07045882,0.17309453,0.4665332,0.04471232,0.108249955,0.13695118
-3371.778086_3345.402956,0.06431794,0.21193412,0.4724017,0.04559582,0.14262763,0.063122764
-3371.778086_3445.402956,0.045621186,0.15729025,0.5577219,0.027488606,0.104523756,0.10735435
-3371.778086_3545.402956,0.03670728,0.12219301,0.5702739,0.04691891,0.06135341,0.16255349
-3371.778086_3645.402956,0.032350384,0.22599243,0.4995168,0.040248536,0.10819695,0.09369487
-3371.778086_3745.402956,0.05029489,0.22663668,0.4968349,0.025821771,0.10953037,0.090881474
-3371.778086_3845.402956,0.04852732,0.2693182,0.4549291,0.034859974,0.09992323,0.0924422
-3371.778086_3945.402956,0.04878396,0.24378884,0.38759315,0.037263162,0.1756786,0.106892295
-3371.778086_4045.402956,0.03788816,0.2243061,0.3741309,0.06285919,0.19618993,0.10462569
-3371.778086_4145.402956,0.06549112,0.3995911,0.33675322,0.035621658,0.1063019,0.056240983
-3371.778086_4245.402956,0.040257875,0.17615186,0.43582934,0.042986143,0.07432505,0.23044975
-3471.778086_2745.402956,0.09887598,0.21465345,0.37785837,0.050531387,0.17491521,0.08316564
-3471.778086_2845.402956,0.035900187,0.08951911,0.51433927,0.06263527,0.15551707,0.14208905
-3471.778086_2945.402956,0.035104766,0.13497373,0.47576082,0.08537272,0.19175021,0.077037685
-3471.778086_3045.402956,0.079004705,0.21419337,0.4495062,0.04617498,0.117515355,0.09360543
-3471.778086_3145.402956,0.058200024,0.22859761,0.5190647,0.028823504,0.08574735,0.07956684
-3471.778086_3245.402956,0.03450498,0.17527832,0.45269048,0.036454957,0.10011444,0.20095679
-3471.778086_3345.402956,0.032053962,0.13934767,0.5880897,0.04762089,0.116921484,0.07596633
-3471.778086_3445.402956,0.048053674,0.15226248,0.5085635,0.04785476,0.14999111,0.09327446
-3471.778086_3545.402956,0.06090412,0.12425794,0.49525008,0.031526245,0.18472767,0.103334025
-3471.778086_3645.402956,0.059158668,0.22352715,0.50227654,0.033217847,0.0934559,0.0883639
-3471.778086_3745.402956,0.06032369,0.22859786,0.44906712,0.029812977,0.12632476,0.10587358
-3471.778086_3845.402956,0.060540188,0.23587224,0.45599768,0.036538254,0.10867146,0.10238014
-3471.778086_3945.402956,0.09348975,0.30487338,0.3560255,0.037918095,0.11027213,0.097421095
-3471.778086_4045.402956,0.06921616,0.2780042,0.37663895,0.0337273,0.15245613,0.0899573
-3471.778086_4145.402956,0.05728393,0.21216066,0.46764007,0.03596627,0.09241555,0.13453344
-3471.778086_4245.402956,0.10670494,0.24394833,0.418655,0.033275895,0.11102574,0.086390056
1179.730793_2730.950073,0.05824717,0.1355667,0.44381937,0.04818574,0.18205021,0.13213085
1179.730793_2830.950073,0.09343179,0.24683522,0.43629614,0.03730603,0.09431144,0.0918194
1179.730793_2930.950073,0.016246593,0.14294977,0.62058055,0.033504143,0.08020821,0.10651073
1179.730793_3030.950073,0.045604058,0.23704745,0.47610894,0.03671281,0.15380515,0.050721545
1179.730793_3130.950073,0.056731563,0.19607492,0.45381117,0.03609025,0.1377457,0.119546406
1179.730793_3230.950073,0.030975966,0.21115954,0.53306705,0.03772605,0.096785896,0.09028549
1179.730793_3330.950073,0.053281758,0.1507554,0.5137082,0.038557883,0.12323798,0.120458774
1179.730793_3430.950073,0.05281088,0.21951188,0.50411075,0.03263546,0.094491646,0.09643942
1179.730793_3530.950073,0.06176123,0.21973264,0.5080505,0.021470593,0.104914285,0.08407072
1179.730793_3630.950073,0.063621946,0.28687927,0.44019616,0.028312163,0.13233842,0.04865201
1179.730793_3730.950073,0.0628616,0.25339666,0.44818884,0.026471868,0.12796004,0.08112095
1179.730793_3830.950073,0.0468749,0.26517814,0.45071197,0.03489696,0.10703474,0.09530325
1179.730793_3930.950073,0.06276095,0.29467848,0.37586483,0.03381845,0.17140779,0.06146935
1179.730793_4030.950073,0.07412407,0.27275684,0.40913066,0.02966225,0.12346907,0.09085714
1179.730793_4130.950073,0.09226987,0.3003902,0.39824837,0.02577544,0.11778511,0.065531075
1179.730793_4230.950073,0.0839058,0.2427245,0.3861456,0.029979397,0.16412362,0.09312121
1279.730793_2730.950073,0.02588621,0.13202363,0.5265396,0.043341488,0.080737874,0.19147119
1279.730793_2830.950073,0.042111706,0.16878931,0.4660302,0.056538574,0.13508607,0.13144408
1279.730793_2930.950073,0.025130864,0.16796046,0.577274,0.041498844,0.10598536,0.08215041
1279.730793_3030.950073,0.06448255,0.29397485,0.37441608,0.029514018,0.18537009,0.052242473
1279.730793_3130.950073,0.038316704,0.18720916,0.4798389,0.04765139,0.1390143,0.107969575
1279.730793_3230.950073,0.0464434,0.113897145,0.6432618,0.045801297,0.081030995,0.06956529
1279.730793_3330.950073,0.03409361,0.13027282,0.5192782,0.041504476,0.18636888,0.08848207
1279.730793_3430.950073,0.0492363,0.25487027,0.47639203,0.021652121,0.12626317,0.0715861
1279.730793_3530.950073,0.041084908,0.13360329,0.49844706,0.024923796,0.1375635,0.16437745
1279.730793_3630.950073,0.036210895,0.17933637,0.41409904,0.048922647,0.13830747,0.18312354
1279.730793_3730.950073,0.053509045,0.21592128,0.5146003,0.03400898,0.10896948,0.07299085
1279.730793_3830.950073,0.10496358,0.20608057,0.48224175,0.036715385,0.09183854,0.07816017
1279.730793_3930.950073,0.062261615,0.21933071,0.4941868,0.041529182,0.09842575,0.084265955
