,OD,Excitatory,Endothelial,Inhibitory,Astrocyte,Microglia
-2271.778086_4245.402956,0.208828245,0.122017135,0.12236625,0.125906618,0.152946228,0.267935524
-2371.778086_2745.402956,0.143746126,0.148067214,0.202954547,0.131872054,0.157215023,0.216145036
-2371.778086_2845.402956,0.16046235,0.17247886,0.232314985,0.148766057,0.159775847,0.126201901
-2371.778086_2945.402956,0.152260874,0.198801237,0.174605899,0.159466502,0.169832146,0.145033343
-2371.778086_3045.402956,0.145229845,0.186668167,0.121303354,0.177442458,0.17272574,0.196630435
-2371.778086_3145.402956,0.133724358,0.181737657,0.120116154,0.159084471,0.199265978,0.206071382
-2371.778086_3245.402956,0.128574101,0.182646267,0.142023102,0.16720173,0.193863076,0.185691724
-2371.778086_3345.402956,0.138815905,0.167820709,0.155619773,0.16355611,0.174192335,0.199995167
-2371.778086_3445.402956,0.14265518,0.172648042,0.138303502,0.154157639,0.181054321,0.211181316
-2371.778086_3545.402956,0.136445701,0.163352511,0.164141633,0.185881927,0.187214527,0.162963701
-2371.778086_3645.402956,0.178665149,0.194831869,0.139508009,0.184860311,0.237706041,0.064428621
-2371.778086_3745.402956,0.163712418,0.156895161,0.166908324,0.164451985,0.189422082,0.158610029
-2371.778086_3845.402956,0.1603157,0.178193961,0.175165259,0.172993083,0.164134111,0.149197886
-2371.778086_3945.402956,0.155059647,0.185912671,0.20711068,0.16693884,0.166649992,0.11832817
-2371.778086_4045.402956,0.166699295,0.150471062,0.125634837,0.175072851,0.17577085,0.206351105
-2371.778086_4145.402956,0.225820372,0.180410403,0.191957776,0.151525488,0.160647952,0.089638009
-2371.778086_4245.402956,0.225008206,0.169316237,0.165574633,0.130081784,0.130317238,0.179701902
-2471.778086_2745.402956,0.12216041,0.192961903,0.078409162,0.13738204,0.189918234,0.279168251
-2471.778086_2845.402956,0.13709343,0.164071236,0.158915979,0.155312381,0.167678025,0.216928949
-2471.778086_2945.402956,0.149579823,0.145501715,0.139408542,0.16353502,0.179508525,0.222466376
-2471.778086_3045.402956,0.156287437,0.17290789,0.186368271,0.164181079,0.160057674,0.16019765
-2471.778086_3145.402956,0.144373872,0.172929183,0.120980984,0.156154197,0.190092606,0.215469157
-2471.778086_3245.402956,0.147893144,0.188884417,0.124371428,0.168424576,0.175845427,0.194581007
-2471.778086_3345.402956,0.156348265,0.18131915,0.126942202,0.192086769,0.193447978,0.149855636
-2471.778086_3445.402956,0.15271428,0.196296482,0.188644911,0.159824602,0.162624629,0.139895097
-2471.778086_3545.402956,0.146031399,0.190202456,0.189015487,0.169725946,0.147225509,0.157799204
-2471.778086_3645.402956,0.147952052,0.165442709,0.183346424,0.158863296,0.14621259,0.198182929
-2471.778086_3745.402956,0.148358053,0.177543112,0.175381377,0.201593805,0.186189504,0.110934149
-2471.778086_3845.402956,0.156804538,0.168622771,0.225301738,0.16552319,0.147762495,0.135985267
-2471.778086_3945.402956,0.16394585,0.163947003,0.140088007,0.168392909,0.155852497,0.207773734
-2471.778086_4045.402956,0.161550276,0.123199914,0.213048625,0.156602716,0.109286497,0.236311972
-2471.778086_4145.402956,0.18689908,0.152065943,0.240010385,0.152803195,0.123087685,0.145133713
-2471.778086_4245.402956,0.238369978,0.165845034,0.260137294,0.211696116,0.060651111,0.063300467
-2571.778086_2745.402956,0.156286223,0.187677184,0.153054656,0.172662399,0.207264646,0.123054891
-2571.778086_2845.402956,0.162406324,0.161684445,0.182671383,0.159628359,0.178117475,0.155492014
-2571.778086_2945.402956,0.143196719,0.166334851,0.20358939,0.173295922,0.144591017,0.168992101
-2571.778086_3045.402956,0.139642797,0.181826518,0.174952179,0.162728033,0.16113795,0.179712522
-2571.778086_3145.402956,0.154353498,0.192312641,0.208967589,0.192501722,0.132034988,0.119829563
-2571.778086_3245.402956,0.14284436,0.179211658,0.13598548,0.179505446,0.171970016,0.19048304
-2571.778086_3345.402956,0.13517361,0.172763848,0.184666503,0.155498561,0.150416517,0.20148096
-2571.778086_3445.402956,0.147884941,0.172646674,0.18803036,0.169286711,0.142437862,0.179713451
-2571.778086_3545.402956,0.13183153,0.159041042,0.17572798,0.152520788,0.161018946,0.219859713
-2571.778086_3645.402956,0.139291214,0.169106422,0.153895131,0.164468035,0.168955492,0.204283706
-2571.778086_3745.402956,0.140424238,0.1633629,0.177028884,0.140837235,0.18241748,0.195929263
-2571.778086_3845.402956,0.14222826,0.164127777,0.163614129,0.160465887,0.153788535,0.215775411
-2571.778086_3945.402956,0.167480362,0.164830421,0.212411001,0.138819113,0.131342677,0.185116426
-2571.778086_4045.402956,0.270655939,0.176790832,0.086774913,0.164039444,0.173634188,0.128104683
-2571.778086_4145.402956,0.20128431,0.13626539,0.114048803,0.148489344,0.202420745,0.197491407
-2571.778086_4245.402956,0.194505945,0.150995749,0.102020381,0.159052419,0.172466552,0.220958953
-2671.778086_2745.402956,0.188395068,0.170683766,0.112527818,0.173105361,0.117508763,0.237779223
-2671.778086_2845.402956,0.16276728,0.166724832,0.133407346,0.178375767,0.157014868,0.201709908
-2671.778086_2945.402956,0.218070561,0.193833751,0.134765555,0.185735778,0.267506338,8.80E-05
-2671.778086_3045.402956,0.148298627,0.162568967,0.183022004,0.151064656,0.162107208,0.192938538
-2671.778086_3145.402956,0.117094996,0.141885403,0.186821161,0.116920901,0.122645253,0.314632287
-2671.778086_3245.402956,0.112455804,0.130400555,0.164874003,0.167447046,0.151260912,0.273561679
-2671.778086_3345.402956,0.144100809,0.209205044,0.10332473,0.153436529,0.175954476,0.213978412
-2671.778086_3445.402956,0.145204748,0.185543686,0.175472058,0.155889764,0.158237284,0.17965246
-2671.778086_3545.402956,0.14201723,0.207849361,0.185622361,0.19054254,0.13172249,0.142246018
-2671.778086_3645.402956,0.129958092,0.163924489,0.214670507,0.138672274,0.210812081,0.141962557
-2671.778086_3745.402956,0.158842523,0.190167975,0.177490429,0.164828063,0.160453433,0.148217577
-2671.778086_3845.402956,0.158747666,0.165959018,0.197946116,0.202496807,0.160413574,0.114436819
-2671.778086_3945.402956,0.201088418,0.151905773,0.134960157,0.176958938,0.150216797,0.184869917
-2671.778086_4045.402956,0.277265542,0.173072419,0.119940186,0.130381951,0.188351873,0.110988029
-2671.778086_4145.402956,0.312418744,0.183586873,0.029208787,0.157969782,0.135268764,0.18154705
-2671.778086_4245.402956,0.213549086,0.251476723,0.059448098,0.09558733,0.356262046,0.023676715
-2771.778086_2745.402956,0.138645517,0.158882118,0.173622933,0.134243044,0.168120594,0.226485794
-2771.778086_2845.402956,0.171137067,0.228461889,0.200282612,0.224546909,0.031153817,0.144417705
-2771.778086_2945.402956,0.117836314,0.139686944,0.193501594,0.115994519,0.135633558,0.29734707
-2771.778086_3045.402956,0.141595735,0.179781819,0.159571734,0.16904686,0.175260682,0.17474317
-2771.778086_3145.402956,0.128047649,0.178649223,0.166881035,0.141399914,0.172902034,0.212120145
-2771.778086_3245.402956,0.141261571,0.185024193,0.150095274,0.165875219,0.112457697,0.245286046
-2771.778086_3345.402956,0.14206695,0.167086609,0.173268207,0.159968592,0.176495147,0.181114494
-2771.778086_3445.402956,0.15351307,0.199077295,0.177508889,0.141723381,0.185184359,0.142993005
-2771.778086_3545.402956,0.150531852,0.196496203,0.144828284,0.145502719,0.177224994,0.185415948
-2771.778086_3645.402956,0.134987592,0.155683599,0.162081927,0.152359094,0.160741733,0.234146054
-2771.778086_3745.402956,0.166207327,0.176181739,0.142741678,0.185495547,0.26393929,0.065434418
-2771.778086_3845.402956,0.162964881,0.171950499,0.207202489,0.194027746,0.161667049,0.102187335
-2771.778086_3945.402956,0.221511767,0.149489472,0.196914249,0.172615628,0.078114024,0.181354861
-2771.778086_4045.402956,0.255254441,0.152291762,0.203580872,0.102993397,0.151438022,0.134441505
-2771.778086_4145.402956,0.241930148,0.098056425,0.208882443,0.157799291,0.100541518,0.192790176
-2771.778086_4245.402956,0.305037296,0.082182376,0.056914189,0.078764614,0.041385341,0.435716185
-2871.778086_2745.402956,0.150226003,0.183179201,0.187222647,0.152749976,0.159454211,0.167167961
-2871.778086_2845.402956,0.156609009,0.156010329,0.158143906,0.164010745,0.157337635,0.207888376
-2871.778086_2945.402956,0.147703457,0.169794235,0.160853164,0.169310195,0.178196614,0.174142335
-2871.778086_3045.402956,0.14294638,0.186254163,0.198975946,0.166832357,0.153189448,0.151801705
-2871.778086_3145.402956,0.154115233,0.204346246,0.126732074,0.184981713,0.162263172,0.167561563
-2871.778086_3245.402956,0.12972675,0.176751997,0.118521069,0.161763623,0.154461728,0.258774832
-2871.778086_3345.402956,0.153686039,0.194546754,0.141987213,0.180957888,0.175323153,0.153498954
-2871.778086_3445.402956,0.171230428,0.195017613,0.150243753,0.175823449,0.155967871,0.151716886
-2871.778086_3545.402956,0.152958743,0.180182114,0.105927412,0.164080394,0.17514645,0.221704887
-2871.778086_3645.402956,0.154955021,0.145074583,0.17416214,0.175023297,0.189215662,0.161569296
-2871.778086_3745.402956,0.145316634,0.178055427,0.199391967,0.157691274,0.168144399,0.151400299
-2871.778086_3845.402956,0.149325584,0.159647339,0.195680754,0.158283363,0.148979389,0.18808357
-2871.778086_3945.402956,0.219155082,0.20925174,0.155480388,0.193645096,0.14605493,0.076412764
-2871.778086_4045.402956,0.205900375,0.153791595,0.105227073,0.090558107,0.135214184,0.309308665
-2871.778086_4145.402956,0.310690958,0.151519607,0.08398547,0.162783847,0.033741216,0.257278903
-2871.778086_4245.402956,0.158563383,0.123021153,0.269881666,0.112851884,0.211314701,0.124367213
-2971.778086_2745.402956,0.15451115,0.178712369,0.222614299,0.168837982,0.17201598,0.10330822
-2971.778086_2845.402956,0.138529638,0.167283246,0.173197178,0.158397849,0.168231935,0.194360154
-2971.778086_2945.402956,0.140685041,0.173651018,0.173035119,0.154869134,0.154088152,0.203671536
-2971.778086_3045.402956,0.140056337,0.175032892,0.186381181,0.147145371,0.178946603,0.172437616
-2971.778086_3145.402956,0.150610536,0.184319088,0.193120034,0.184957402,0.178539201,0.108453739
-2971.778086_3245.402956,0.139181815,0.181113248,0.157171442,0.157177121,0.167374752,0.197981623
-2971.778086_3345.402956,0.158965128,0.168636824,0.150446795,0.161933411,0.165286285,0.194731557
-2971.778086_3445.402956,0.144628349,0.171423288,0.166877408,0.173088772,0.150391718,0.193590465
-2971.778086_3545.402956,0.152281827,0.164643882,0.200503736,0.190163442,0.119096311,0.173310802
-2971.778086_3645.402956,0.134805252,0.180640779,0.182459878,0.158916047,0.15811179,0.185066254
-2971.778086_3745.402956,0.152356809,0.158645763,0.180710473,0.173581402,0.150332131,0.184373422
-2971.778086_3845.402956,0.148354203,0.166187785,0.173377354,0.164962476,0.168409803,0.178708378
-2971.778086_3945.402956,0.159687818,0.169452345,0.169049147,0.164559255,0.167435829,0.169815606
-2971.778086_4045.402956,0.158501946,0.14867684,0.236354778,0.149373722,0.143984933,0.16310778
-2971.778086_4145.402956,0.188875507,0.174496106,0.188161233,0.161599217,0.137176652,0.149691285
-2971.778086_4245.402956,0.24555557,0.19497421,0.134085275,0.203350458,0.131631882,0.090402605
-3071.778086_2745.402956,0.157207711,0.170674668,0.180645128,0.156522713,0.162579681,0.1723701
-3071.778086_2845.402956,0.136866554,0.162407743,0.181661895,0.165169568,0.180863916,0.173030324
-3071.778086_2945.402956,0.162593438,0.188516046,0.245701346,0.164237171,0.114293536,0.124658464
-3071.778086_3045.402956,0.15992723,0.178992845,0.184353173,0.153525469,0.156300767,0.166900516
-3071.778086_3145.402956,0.143969208,0.16285406,0.208898269,0.153468102,0.170726372,0.160083988
-3071.778086_3245.402956,0.146148236,0.19178893,0.148285383,0.153897082,0.202248349,0.157632019
-3071.778086_3345.402956,0.145201665,0.16418459,0.18376457,0.168436258,0.175610056,0.162802861
-3071.778086_3445.402956,0.147561372,0.193480226,0.139563059,0.139093096,0.204182192,0.176120055
-3071.778086_3545.402956,0.155756537,0.185262826,0.182866077,0.138795237,0.158606778,0.178712545
-3071.778086_3645.402956,0.119951241,0.1673679,0.179643621,0.151643418,0.193574263,0.187819557
-3071.778086_3745.402956,0.172915362,0.198917689,0.181029169,0.182748983,0.186063472,0.078325325
-3071.778086_3845.402956,0.141003106,0.174649848,0.193848766,0.190363384,0.16191178,0.138223117
-3071.778086_3945.402956,0.123399595,0.167273656,0.175731937,0.147142772,0.184713579,0.201738462
-3071.778086_4045.402956,0.163907144,0.161810692,0.19749546,0.162487815,0.206174689,0.1081242
-3071.778086_4145.402956,0.186584711,0.137321928,0.196889976,0.125689938,0.107219654,0.246293792
-3071.778086_4245.402956,0.380527822,0.151905,0.168135989,0.143534803,0.046399428,0.109496957
-3171.778086_2745.402956,0.162258345,0.175877447,0.18750716,0.16333742,0.138116254,0.172903375
-3171.778086_2845.402956,0.171780228,0.179757898,0.135563267,0.171242571,0.182290557,0.159365479
-3171.778086_2945.402956,0.182191121,0.155725405,0.194860125,0.180062465,0.151188009,0.135972875
-3171.778086_3045.402956,0.178296199,0.160691771,0.205488034,0.166128991,0.107753598,0.181641407
-3171.778086_3145.402956,0.167330672,0.181144462,0.246498575,0.158210381,0.188830654,0.057985255
-3171.778086_3245.402956,0.151649589,0.172067222,0.170915501,0.167726697,0.191154595,0.146486396
-3171.778086_3345.402956,0.13986542,0.179700913,0.157794119,0.181112569,0.177151933,0.164375047
-3171.778086_3445.402956,0.136792494,0.16291533,0.19486717,0.15199326,0.161536672,0.191895074
-3171.778086_3545.402956,0.137874546,0.172183523,0.212925891,0.164808644,0.161171189,0.151036207
-3171.778086_3645.402956,0.149331598,0.184520655,0.157765147,0.169961503,0.20701379,0.131407306
-3171.778086_3745.402956,0.142101726,0.190670571,0.180269916,0.150551412,0.198458144,0.137948231
-3171.778086_3845.402956,0.144546814,0.167551514,0.198598389,0.16889407,0.126103721,0.194305492
-3171.778086_3945.402956,0.144851242,0.180679709,0.153047437,0.156888051,0.182000705,0.182532856
-3171.778086_4045.402956,0.160422815,0.174853368,0.202494133,0.19310734,0.149089322,0.120033021
-3171.778086_4145.402956,0.175706939,0.136880497,0.133306943,0.105854817,0.169129257,0.279121547
-3171.778086_4245.402956,0.172711268,0.153323946,0.149440863,0.120862,0.14713944,0.256522484
-3271.778086_2745.402956,0.155975524,0.151902985,0.20019561,0.162611583,0.148591767,0.180722531
-3271.778086_2845.402956,0.159268094,0.203441446,0.206960308,0.174091066,0.192233577,0.064005509
-3271.778086_2945.402956,0.161403055,0.180068951,0.177159736,0.173769692,0.180534499,0.127064067
-3271.778086_3045.402956,0.193489796,0.163761096,0.147214448,0.173915863,0.18292763,0.138691167
-3271.778086_3145.402956,0.179842865,0.166181738,0.150619425,0.182362791,0.194778201,0.12621498
-3271.778086_3245.402956,0.186240726,0.16746564,0.182497645,0.181062742,0.131565223,0.151168023
-3271.778086_3345.402956,0.178792601,0.175376821,0.224111775,0.173226599,0.178380645,0.07011156
-3271.778086_3445.402956,0.159974032,0.156868636,0.194566688,0.156470118,0.178001066,0.15411946
-3271.778086_3545.402956,0.137854225,0.177131453,0.168822534,0.175581707,0.153230483,0.187379598
-3271.778086_3645.402956,0.129242321,0.17447022,0.152267687,0.149287797,0.166099148,0.228632827
-3271.778086_3745.402956,0.148476818,0.171852111,0.134881814,0.173483515,0.198967798,0.172337944
-3271.778086_3845.402956,0.153156997,0.143336924,0.136238312,0.180615101,0.134362487,0.252290179
-3271.778086_3945.402956,0.14578642,0.176873988,0.080982909,0.199551753,0.200008513,0.196796417
-3271.778086_4045.402956,0.159129354,0.170607289,0.175020175,0.178396206,0.192722521,0.124124454
-3271.778086_4145.402956,0.182882737,0.161875947,0.103281948,0.187974155,0.148537983,0.215447231
-3271.778086_4245.402956,0.167357684,0.171033308,0.04729445,0.161649891,0.165381145,0.287283522
-3371.778086_2745.402956,0.173709703,0.162036492,0.205243976,0.178673144,0.148580805,0.13175588
-3371.778086_2845.402956,0.17334757,0.163153694,0.192128737,0.148452766,0.178088924,0.144828308
-3371.778086_2945.402956,0.208031319,0.194009904,0.15793229,0.181852608,0.186262875,0.071911005
-3371.778086_3045.402956,0.155170485,0.159706626,0.149056497,0.174438918,0.112859503,0.248767971
-3371.778086_3145.402956,0.184028666,0.159833721,0.233356466,0.117213648,0.166490977,0.139076522
-3371.778086_3245.402956,0.131481278,0.152379038,0.159627437,0.147071975,0.1446342,0.264806073
-3371.778086_3345.402956,0.155356266,0.177674808,0.198090525,0.179895637,0.110670581,0.178312184
-3371.778086_3445.402956,0.153277831,0.153658582,0.11315119,0.177964657,0.199723755,0.202223985
-3371.778086_3545.402956,0.132139578,0.185780235,0.111371794,0.110052637,0.211439562,0.249216194
-3371.778086_3645.402956,0.153522838,0.160306985,0.170273849,0.17564571,0.166754992,0.173495626
-3371.778086_3745.402956,0.149826014,0.187491217,0.120193843,0.163658853,0.18624284,0.192587232
-3371.778086_3845.402956,0.124403335,0.154274384,0.15574325,0.170838047,0.172738385,0.222002599
-3371.778086_3945.402956,0.152732471,0.182921644,0.212973788,0.171545666,0.09977108,0.18005535
-3371.778086_4045.402956,0.135671684,0.138922956,0.16589253,0.163480164,0.137293994,0.258738672
-3371.778086_4145.402956,0.174030036,0.187780145,0.129515799,0.19407494,0.142938975,0.171660104
-3371.778086_4245.402956,0.157052095,0.165772862,0.08619934,0.151942355,0.195947131,0.243086218
-3471.778086_2745.402956,0.140739382,0.172437549,0.144880045,0.177550657,0.192679046,0.17171332
-3471.778086_2845.402956,0.180109188,0.131351193,0.255343252,0.169103206,0.160787764,0.103305398
-3471.778086_2945.402956,0.187551967,0.129809781,0.151688048,0.168063255,0.141075153,0.221811795
-3471.778086_3045.402956,0.172047856,0.170837421,0.155005917,0.173682176,0.112775988,0.21565064
-3471.778086_3145.402956,0.184772594,0.167685882,0.158817486,0.211821085,0.150009272,0.126893681
-3471.778086_3245.402956,0.195967965,0.174865482,0.164918025,0.146929691,0.146945541,0.170373297
-3471.778086_3345.402956,0.21207398,0.193712789,0.127611168,0.199903818,0.115584642,0.151113603
-3471.778086_3445.402956,0.173208308,0.159227548,0.188056984,0.159647069,0.129725079,0.190135012
-3471.778086_3545.402956,0.147893503,0.175797791,0.222772901,0.164515707,0.153818438,0.13520166
-3471.778086_3645.402956,0.160035474,0.180087591,0.106937975,0.184823273,0.18171626,0.186399427
-3471.778086_3745.402956,0.153791797,0.147707485,0.192265502,0.183476357,0.179273902,0.143484958
-3471.778086_3845.402956,0.170944296,0.171005687,0.156837524,0.17316116,0.166986531,0.161064802
-3471.778086_3945.402956,0.171479512,0.148102127,0.139491055,0.232843324,0.126305999,0.181777983
-3471.778086_4045.402956,0.159113084,0.172746646,0.164351441,0.175893896,0.176876661,0.151018273
-3471.778086_4145.402956,0.201425645,0.19505931,0.183225373,0.170829441,0.167680426,0.081779805
-3471.778086_4245.402956,0.14288183,0.151472607,0.145505575,0.18569818,0.170248089,0.204193719
1179.730793_2730.950073,0.190693154,0.132400301,0.206464286,0.191604969,0.12553195,0.153305341
1179.730793_2830.950073,0.161125455,0.166470358,0.179081527,0.207657953,0.174828568,0.110836139
1179.730793_2930.950073,0.206911535,0.206909122,0.144492665,0.146411631,0.12294382,0.172331227
1179.730793_3030.950073,0.172364271,0.176072336,0.140458164,0.182358412,0.15398919,0.174757626
1179.730793_3130.950073,0.142530301,0.187096273,0.153867973,0.15427082,0.175866914,0.186367718
1179.730793_3230.950073,0.215830796,0.189269304,0.131662279,0.22133626,0.203554517,0.038346843
1179.730793_3330.950073,0.151130145,0.169225252,0.215126069,0.16578524,0.170105223,0.12862807
1179.730793_3430.950073,0.189235671,0.149376227,0.177949183,0.213350932,0.190086351,0.080001636
1179.730793_3530.950073,0.137484274,0.2022757,0.102939732,0.150843188,0.208220421,0.198236685
1179.730793_3630.950073,0.117201575,0.1693175,0.180102627,0.169948548,0.170284993,0.193144757
1179.730793_3730.950073,0.145518683,0.182252056,0.140868346,0.176377529,0.186622708,0.168360678
1179.730793_3830.950073,0.158670481,0.188883115,0.069408748,0.166387483,0.202126035,0.214524137
1179.730793_3930.950073,0.140597141,0.184348313,0.147760671,0.18549288,0.175527104,0.166273891
1179.730793_4030.950073,0.149723618,0.201264188,0.13623831,0.178038491,0.155043805,0.179691588
1179.730793_4130.950073,0.153594746,0.170056969,0.143996486,0.207738055,0.178836504,0.14577724
1179.730793_4230.950073,0.139784748,0.185749659,0.204398577,0.188926475,0.181680189,0.099460352
1279.730793_2730.950073,0.221768131,0.170168637,0.166544097,0.152786577,0.12406248,0.164670078
1279.730793_2830.950073,0.143340173,0.140760123,0.180033233,0.141640884,0.165539457,0.228686131
1279.730793_2930.950073,0.197227921,0.192673239,0.192095657,0.15547524,0.129778382,0.13274956
1279.730793_3030.950073,0.154892194,0.171532339,0.193450059,0.165363941,0.172719423,0.142042043
1279.730793_3130.950073,0.174496752,0.161994817,0.198150849,0.149922687,0.129047714,0.18638718
1279.730793_3230.950073,0.19816945,0.17809381,0.10569942,0.174784061,0.090771472,0.252481787
1279.730793_3330.950073,0.181945422,0.151495194,0.148560749,0.14964544,0.184874041,0.183479155
1279.730793_3430.950073,0.14420755,0.164297505,0.198080975,0.163963557,0.189825981,0.139624431
1279.730793_3530.950073,0.121161315,0.180528632,0.156268453,0.118476845,0.242663528,0.180901227
1279.730793_3630.950073,0.147110398,0.150603252,0.190903156,0.136041336,0.190520571,0.184821287
1279.730793_3730.950073,0.157612559,0.167126628,0.142103466,0.169676615,0.16160625,0.201874482
1279.730793_3830.950073,0.130914452,0.166568592,0.139041931,0.19818048,0.180311134,0.184983412
