,Inhibitory,Excitatory,OD,Microglia,Endothelial,Astrocyte
-2271.778086_2945.402956,4.73E-03,2.96E-01,1.73E-01,8.03E-02,1.53E-01,2.93E-01
-2271.778086_3045.402956,1.67E-02,1.89E-01,3.39E-01,9.90E-02,1.40E-01,2.17E-01
-2271.778086_3145.402956,2.89E-03,2.94E-01,1.43E-01,8.51E-02,1.94E-01,2.81E-01
-2271.778086_3245.402956,4.52E-03,3.19E-01,2.14E-01,8.93E-02,2.45E-01,1.27E-01
-2271.778086_3345.402956,5.32E-04,2.40E-01,9.62E-02,8.27E-02,2.82E-01,2.99E-01
-2271.778086_3445.402956,4.76E-03,3.38E-01,2.58E-01,7.43E-02,1.80E-01,1.45E-01
-2271.778086_3545.402956,5.33E-03,3.10E-01,4.33E-01,5.06E-02,1.19E-01,8.21E-02
-2271.778086_3645.402956,1.94E-02,1.71E-01,4.18E-01,8.92E-02,1.18E-01,1.85E-01
-2271.778086_3745.402956,5.04E-03,2.19E-01,4.70E-01,5.72E-02,1.08E-01,1.40E-01
-2271.778086_3845.402956,1.00E-01,1.53E-01,3.26E-01,1.36E-01,1.49E-01,1.35E-01
-2271.778086_3945.402956,7.24E-02,2.28E-01,3.66E-01,8.95E-02,9.67E-02,1.47E-01
-2271.778086_4045.402956,4.80E-02,2.14E-01,2.40E-01,1.31E-01,1.68E-01,1.98E-01
-2271.778086_4145.402956,1.18E-01,4.94E-02,3.91E-01,1.73E-01,2.28E-01,3.98E-02
-2271.778086_4245.402956,1.00E-01,3.34E-02,4.56E-01,1.60E-01,2.25E-01,2.56E-02
-2371.778086_2745.402956,1.20E-01,9.14E-02,4.59E-01,1.15E-01,1.03E-01,1.12E-01
-2371.778086_2845.402956,5.44E-03,1.70E-01,2.02E-01,1.20E-01,2.28E-01,2.75E-01
-2371.778086_2945.402956,1.43E-02,4.05E-01,2.64E-01,7.03E-02,1.46E-01,9.95E-02
-2371.778086_3045.402956,3.63E-03,1.92E-01,1.64E-01,1.01E-01,1.92E-01,3.48E-01
-2371.778086_3145.402956,3.59E-03,2.96E-01,1.95E-01,8.99E-02,2.25E-01,1.91E-01
-2371.778086_3245.402956,2.81E-03,3.32E-01,1.73E-01,8.48E-02,2.41E-01,1.67E-01
-2371.778086_3345.402956,3.15E-04,2.94E-01,7.49E-02,6.84E-02,2.66E-01,2.96E-01
-2371.778086_3445.402956,8.16E-03,3.24E-01,2.41E-01,7.24E-02,1.25E-01,2.29E-01
-2371.778086_3545.402956,1.01E-02,3.03E-01,2.24E-01,1.00E-01,2.13E-01,1.50E-01
-2371.778086_3645.402956,4.31E-02,2.08E-01,3.70E-01,1.12E-01,1.81E-01,8.68E-02
-2371.778086_3745.402956,3.11E-02,1.62E-01,3.94E-01,1.07E-01,1.38E-01,1.67E-01
-2371.778086_3845.402956,5.70E-02,2.25E-01,3.47E-01,1.11E-01,1.61E-01,9.93E-02
-2371.778086_3945.402956,3.71E-02,1.97E-01,4.05E-01,1.05E-01,1.73E-01,8.28E-02
-2371.778086_4045.402956,2.87E-02,2.04E-01,2.58E-01,1.25E-01,1.75E-01,2.09E-01
-2371.778086_4145.402956,7.09E-02,7.96E-02,4.56E-01,1.40E-01,1.64E-01,8.92E-02
-2371.778086_4245.402956,2.46E-02,6.50E-02,4.34E-01,1.45E-01,2.89E-01,4.23E-02
-2471.778086_2745.402956,1.36E-01,8.09E-02,3.86E-01,1.54E-01,1.91E-01,5.25E-02
-2471.778086_2845.402956,1.65E-02,1.67E-01,2.39E-01,1.34E-01,2.02E-01,2.41E-01
-2471.778086_2945.402956,1.84E-02,1.77E-01,3.52E-01,1.08E-01,1.61E-01,1.84E-01
-2471.778086_3045.402956,4.46E-03,1.90E-01,1.72E-01,1.06E-01,1.97E-01,3.30E-01
-2471.778086_3145.402956,4.12E-03,3.59E-01,2.42E-01,7.52E-02,2.40E-01,7.98E-02
-2471.778086_3245.402956,4.50E-04,4.88E-01,9.05E-02,4.63E-02,1.86E-01,1.88E-01
-2471.778086_3345.402956,1.26E-02,4.16E-01,2.84E-01,6.19E-02,1.29E-01,9.67E-02
-2471.778086_3445.402956,5.73E-02,2.39E-01,3.34E-01,1.12E-01,2.03E-01,5.57E-02
-2471.778086_3545.402956,1.45E-02,3.38E-01,2.08E-01,8.91E-02,1.54E-01,1.96E-01
-2471.778086_3645.402956,8.84E-02,2.03E-01,3.33E-01,1.18E-01,1.46E-01,1.11E-01
-2471.778086_3745.402956,5.60E-02,2.99E-01,3.33E-01,8.09E-02,1.02E-01,1.29E-01
-2471.778086_3845.402956,1.49E-01,1.62E-01,3.77E-01,1.13E-01,1.54E-01,4.47E-02
-2471.778086_3945.402956,2.19E-02,1.95E-01,3.11E-01,1.03E-01,1.35E-01,2.33E-01
-2471.778086_4045.402956,8.46E-02,2.06E-01,2.45E-01,1.33E-01,1.47E-01,1.84E-01
-2471.778086_4145.402956,8.58E-03,2.01E-01,2.88E-01,9.62E-02,1.57E-01,2.49E-01
-2471.778086_4245.402956,4.82E-03,2.68E-01,3.99E-01,6.81E-02,1.96E-01,6.47E-02
-2571.778086_2745.402956,6.28E-03,1.89E-01,2.50E-01,1.12E-01,2.20E-01,2.21E-01
-2571.778086_2845.402956,2.09E-02,1.15E-01,4.28E-01,1.19E-01,1.69E-01,1.49E-01
-2571.778086_2945.402956,5.38E-03,2.26E-01,2.11E-01,1.17E-01,3.40E-01,1.01E-01
-2571.778086_3045.402956,1.48E-03,2.81E-01,1.30E-01,9.41E-02,3.14E-01,1.80E-01
-2571.778086_3145.402956,3.34E-03,3.45E-01,1.64E-01,8.87E-02,3.10E-01,8.92E-02
-2571.778086_3245.402956,3.93E-03,3.26E-01,2.11E-01,8.69E-02,2.93E-01,7.92E-02
-2571.778086_3345.402956,1.24E-03,2.93E-01,1.30E-01,8.94E-02,3.19E-01,1.68E-01
-2571.778086_3445.402956,1.25E-02,3.70E-01,2.11E-01,9.15E-02,2.21E-01,9.47E-02
-2571.778086_3545.402956,1.51E-02,3.27E-01,2.55E-01,9.02E-02,1.71E-01,1.42E-01
-2571.778086_3645.402956,7.40E-02,2.11E-01,2.93E-01,1.16E-01,1.27E-01,1.79E-01
-2571.778086_3745.402956,1.45E-01,1.41E-01,3.72E-01,1.26E-01,1.55E-01,6.09E-02
-2571.778086_3845.402956,1.68E-01,1.75E-01,3.89E-01,9.48E-02,9.80E-02,7.56E-02
-2571.778086_3945.402956,1.51E-01,2.03E-01,3.06E-01,1.18E-01,1.85E-01,3.78E-02
-2571.778086_4045.402956,1.16E-02,1.08E-01,7.84E-01,2.61E-02,6.00E-02,9.83E-03
-2571.778086_4145.402956,2.59E-02,1.76E-01,4.23E-01,9.66E-02,1.35E-01,1.43E-01
-2571.778086_4245.402956,8.96E-02,1.67E-01,6.45E-01,3.42E-02,5.29E-02,1.15E-02
-2671.778086_2745.402956,4.20E-02,2.25E-01,2.15E-01,1.36E-01,1.87E-01,1.94E-01
-2671.778086_2845.402956,9.32E-03,2.97E-01,2.41E-01,9.73E-02,2.11E-01,1.45E-01
-2671.778086_2945.402956,6.48E-04,3.09E-01,1.48E-01,7.42E-02,2.89E-01,1.79E-01
-2671.778086_3045.402956,2.81E-03,3.11E-01,1.07E-01,9.67E-02,2.63E-01,2.20E-01
-2671.778086_3145.402956,1.35E-02,1.97E-01,1.66E-01,1.31E-01,2.05E-01,2.87E-01
-2671.778086_3245.402956,1.63E-01,1.54E-01,3.70E-01,9.57E-02,7.77E-02,1.40E-01
-2671.778086_3345.402956,4.99E-03,3.55E-01,2.52E-01,6.94E-02,1.58E-01,1.61E-01
-2671.778086_3445.402956,2.50E-02,3.15E-01,3.82E-01,7.19E-02,1.68E-01,3.87E-02
-2671.778086_3545.402956,2.02E-02,3.56E-01,2.85E-01,6.84E-02,1.03E-01,1.67E-01
-2671.778086_3645.402956,1.04E-01,2.14E-01,4.18E-01,8.67E-02,1.06E-01,7.14E-02
-2671.778086_3745.402956,9.06E-02,1.57E-01,3.82E-01,1.24E-01,1.55E-01,9.11E-02
-2671.778086_3845.402956,1.64E-01,1.84E-01,3.89E-01,9.12E-02,9.32E-02,7.88E-02
-2671.778086_3945.402956,4.59E-03,1.86E-01,2.30E-01,6.30E-02,8.37E-02,4.33E-01
-2671.778086_4045.402956,3.27E-04,2.81E-01,4.05E-01,2.76E-02,7.77E-02,2.08E-01
-2671.778086_4145.402956,6.06E-04,2.20E-01,6.01E-01,2.77E-02,1.03E-01,4.78E-02
-2671.778086_4245.402956,6.97E-02,1.40E-02,6.14E-01,1.02E-01,1.96E-01,4.25E-03
-2771.778086_2745.402956,2.92E-03,2.05E-01,1.22E-01,1.01E-01,2.05E-01,3.64E-01
-2771.778086_2845.402956,1.79E-02,3.30E-01,3.28E-01,6.84E-02,1.08E-01,1.47E-01
-2771.778086_2945.402956,1.21E-02,2.11E-01,1.79E-01,9.82E-02,1.32E-01,3.67E-01
-2771.778086_3045.402956,1.50E-03,2.21E-01,8.33E-02,8.28E-02,1.83E-01,4.29E-01
-2771.778086_3145.402956,5.77E-03,3.40E-01,2.18E-01,8.60E-02,2.92E-01,5.81E-02
-2771.778086_3245.402956,1.74E-03,2.93E-01,1.71E-01,8.97E-02,3.32E-01,1.13E-01
-2771.778086_3345.402956,2.54E-02,1.81E-01,3.46E-01,1.05E-01,1.35E-01,2.09E-01
-2771.778086_3445.402956,2.16E-02,4.01E-01,2.86E-01,7.12E-02,1.51E-01,6.84E-02
-2771.778086_3545.402956,2.75E-02,3.17E-01,3.12E-01,8.60E-02,1.44E-01,1.13E-01
-2771.778086_3645.402956,3.26E-02,2.18E-01,3.07E-01,1.09E-01,1.45E-01,1.89E-01
-2771.778086_3745.402956,1.61E-01,1.47E-01,3.28E-01,1.14E-01,9.48E-02,1.57E-01
-2771.778086_3845.402956,1.86E-02,1.29E-01,2.32E-01,1.69E-01,2.99E-01,1.52E-01
-2771.778086_3945.402956,2.68E-02,2.96E-01,5.83E-01,2.48E-02,5.96E-02,9.04E-03
-2771.778086_4045.402956,1.53E-04,3.18E-01,3.83E-01,3.01E-02,1.29E-01,1.40E-01
-2771.778086_4145.402956,2.11E-04,2.79E-01,5.15E-01,2.47E-02,1.07E-01,7.40E-02
-2771.778086_4245.402956,1.49E-01,1.77E-01,2.59E-01,9.08E-02,6.21E-02,2.62E-01
-2871.778086_2745.402956,3.94E-02,1.39E-01,3.34E-01,1.34E-01,1.64E-01,1.89E-01
-2871.778086_2845.402956,6.97E-03,2.06E-01,2.80E-01,1.10E-01,2.41E-01,1.57E-01
-2871.778086_2945.402956,3.74E-03,2.17E-01,2.34E-01,1.09E-01,3.25E-01,1.11E-01
-2871.778086_3045.402956,3.22E-03,3.28E-01,1.85E-01,8.72E-02,3.27E-01,6.99E-02
-2871.778086_3145.402956,5.50E-04,5.33E-01,9.32E-02,4.57E-02,2.06E-01,1.22E-01
-2871.778086_3245.402956,1.24E-03,3.86E-01,1.35E-01,7.21E-02,2.79E-01,1.27E-01
-2871.778086_3345.402956,7.74E-03,4.31E-01,2.40E-01,6.62E-02,1.88E-01,6.65E-02
-2871.778086_3445.402956,1.37E-02,2.74E-01,3.56E-01,7.57E-02,1.25E-01,1.56E-01
-2871.778086_3545.402956,1.38E-01,2.55E-01,4.59E-01,5.03E-02,6.07E-02,3.59E-02
-2871.778086_3645.402956,6.37E-02,2.14E-01,3.86E-01,1.05E-01,1.53E-01,7.86E-02
-2871.778086_3745.402956,4.06E-02,1.90E-01,2.60E-01,1.27E-01,1.54E-01,2.28E-01
-2871.778086_3845.402956,4.48E-02,2.54E-01,3.55E-01,9.68E-02,1.43E-01,1.06E-01
-2871.778086_3945.402956,1.82E-01,1.32E-01,3.89E-01,1.14E-01,1.33E-01,5.08E-02
-2871.778086_4045.402956,5.83E-04,2.37E-01,4.32E-01,4.47E-02,1.41E-01,1.45E-01
-2871.778086_4145.402956,1.91E-04,3.13E-01,4.22E-01,2.89E-02,1.23E-01,1.12E-01
-2871.778086_4245.402956,8.87E-03,9.77E-02,2.68E-01,1.61E-01,3.48E-01,1.17E-01
-2971.778086_2745.402956,3.86E-02,1.13E-01,3.45E-01,1.54E-01,2.13E-01,1.36E-01
-2971.778086_2845.402956,1.73E-02,1.46E-01,3.03E-01,1.29E-01,1.90E-01,2.14E-01
-2971.778086_2945.402956,1.16E-02,2.33E-01,2.87E-01,1.10E-01,2.35E-01,1.22E-01
-2971.778086_3045.402956,3.41E-03,2.79E-01,1.72E-01,8.72E-02,1.92E-01,2.67E-01
-2971.778086_3145.402956,2.41E-03,2.77E-01,1.64E-01,9.58E-02,2.74E-01,1.87E-01
-2971.778086_3245.402956,1.21E-02,2.74E-01,2.35E-01,1.11E-01,2.93E-01,7.44E-02
-2971.778086_3345.402956,3.54E-02,1.94E-01,3.87E-01,1.12E-01,2.11E-01,6.11E-02
-2971.778086_3445.402956,2.13E-02,2.42E-01,2.74E-01,1.18E-01,2.14E-01,1.31E-01
-2971.778086_3545.402956,1.44E-01,2.32E-01,3.24E-01,1.02E-01,1.24E-01,7.42E-02
-2971.778086_3645.402956,7.70E-02,2.35E-01,3.58E-01,9.42E-02,1.09E-01,1.27E-01
-2971.778086_3745.402956,3.20E-02,1.87E-01,3.00E-01,1.30E-01,1.90E-01,1.62E-01
-2971.778086_3845.402956,7.31E-02,1.96E-01,3.62E-01,1.13E-01,1.40E-01,1.16E-01
-2971.778086_3945.402956,3.14E-02,2.71E-01,3.00E-01,8.65E-02,1.10E-01,2.00E-01
-2971.778086_4045.402956,9.93E-03,4.33E-01,1.65E-01,7.79E-02,1.69E-01,1.45E-01
-2971.778086_4145.402956,1.76E-01,1.45E-01,3.93E-01,1.06E-01,1.50E-01,3.04E-02
-2971.778086_4245.402956,8.62E-03,4.41E-01,2.43E-01,5.09E-02,9.15E-02,1.65E-01
-3071.778086_2745.402956,1.67E-02,2.04E-01,2.71E-01,1.07E-01,1.51E-01,2.51E-01
-3071.778086_2845.402956,1.84E-02,3.86E-01,2.20E-01,8.73E-02,1.78E-01,1.10E-01
-3071.778086_2945.402956,1.31E-02,2.57E-01,2.69E-01,1.04E-01,1.92E-01,1.65E-01
-3071.778086_3045.402956,1.15E-02,2.57E-01,2.39E-01,1.13E-01,2.44E-01,1.35E-01
-3071.778086_3145.402956,3.16E-03,1.69E-01,1.62E-01,1.28E-01,3.14E-01,2.23E-01
-3071.778086_3245.402956,6.67E-03,3.57E-01,1.49E-01,7.34E-02,1.31E-01,2.82E-01
-3071.778086_3345.402956,1.65E-03,2.12E-01,1.27E-01,8.79E-02,1.98E-01,3.74E-01
-3071.778086_3445.402956,3.72E-02,1.73E-01,3.63E-01,1.27E-01,2.13E-01,8.68E-02
-3071.778086_3545.402956,1.73E-02,2.59E-01,2.19E-01,1.18E-01,2.13E-01,1.74E-01
-3071.778086_3645.402956,4.49E-03,1.81E-01,1.50E-01,1.27E-01,2.70E-01,2.68E-01
-3071.778086_3745.402956,9.95E-03,2.72E-01,2.50E-01,7.61E-02,1.13E-01,2.78E-01
-3071.778086_3845.402956,1.16E-01,2.08E-01,3.46E-01,1.04E-01,1.13E-01,1.12E-01
-3071.778086_3945.402956,1.14E-01,1.80E-01,2.93E-01,9.08E-02,6.79E-02,2.54E-01
-3071.778086_4045.402956,3.90E-02,3.04E-01,2.93E-01,9.88E-02,1.64E-01,1.01E-01
-3071.778086_4145.402956,3.60E-03,1.99E-01,2.40E-01,1.12E-01,3.19E-01,1.26E-01
-3071.778086_4245.402956,9.38E-04,2.50E-01,4.66E-01,4.58E-02,1.80E-01,5.73E-02
-3171.778086_2745.402956,1.52E-02,2.43E-01,3.36E-01,9.80E-02,1.85E-01,1.22E-01
-3171.778086_2845.402956,1.35E-02,2.20E-01,2.70E-01,1.09E-01,1.83E-01,2.04E-01
-3171.778086_2945.402956,3.34E-02,1.07E-01,4.19E-01,1.35E-01,1.94E-01,1.11E-01
-3171.778086_3045.402956,1.21E-01,1.72E-01,3.42E-01,1.26E-01,1.51E-01,8.85E-02
-3171.778086_3145.402956,1.19E-01,1.26E-01,3.56E-01,1.37E-01,2.30E-01,3.09E-02
-3171.778086_3245.402956,1.06E-02,1.82E-01,2.85E-01,1.27E-01,3.05E-01,9.05E-02
-3171.778086_3345.402956,2.87E-02,2.94E-01,3.22E-01,9.29E-02,1.63E-01,9.93E-02
-3171.778086_3445.402956,5.52E-02,2.09E-01,3.13E-01,1.24E-01,2.57E-01,4.14E-02
-3171.778086_3545.402956,2.51E-02,1.51E-01,2.46E-01,1.61E-01,2.76E-01,1.41E-01
-3171.778086_3645.402956,1.60E-02,2.76E-01,2.85E-01,1.03E-01,2.17E-01,1.03E-01
-3171.778086_3745.402956,3.49E-02,2.57E-01,3.23E-01,1.07E-01,1.85E-01,9.39E-02
-3171.778086_3845.402956,6.11E-02,2.70E-01,2.89E-01,1.13E-01,1.76E-01,9.17E-02
-3171.778086_3945.402956,4.59E-02,2.13E-01,2.61E-01,1.41E-01,2.39E-01,9.90E-02
-3171.778086_4045.402956,1.72E-01,1.48E-01,3.15E-01,1.34E-01,1.90E-01,4.04E-02
-3171.778086_4145.402956,1.09E-01,4.05E-02,4.22E-01,1.68E-01,2.29E-01,3.17E-02
-3171.778086_4245.402956,1.23E-01,5.49E-02,3.74E-01,1.76E-01,2.27E-01,4.49E-02
-3271.778086_2745.402956,8.07E-02,3.53E-01,2.95E-01,8.17E-02,1.25E-01,6.43E-02
-3271.778086_2845.402956,6.65E-02,2.76E-01,3.44E-01,9.57E-02,1.54E-01,6.46E-02
-3271.778086_2945.402956,2.05E-01,2.09E-01,2.39E-01,1.24E-01,1.37E-01,8.59E-02
-3271.778086_3045.402956,8.36E-02,2.10E-01,3.24E-01,1.16E-01,1.39E-01,1.28E-01
-3271.778086_3145.402956,1.87E-01,2.19E-01,2.35E-01,1.07E-01,9.43E-02,1.57E-01
-3271.778086_3245.402956,4.42E-02,2.94E-01,4.18E-01,7.03E-02,1.30E-01,4.37E-02
-3271.778086_3345.402956,5.93E-03,2.20E-01,2.44E-01,1.05E-01,2.15E-01,2.10E-01
-3271.778086_3445.402956,7.69E-03,2.35E-01,2.34E-01,1.01E-01,1.87E-01,2.35E-01
-3271.778086_3545.402956,7.39E-03,4.33E-01,1.79E-01,7.53E-02,1.91E-01,1.14E-01
-3271.778086_3645.402956,1.75E-02,2.08E-01,1.89E-01,1.09E-01,1.42E-01,3.35E-01
-3271.778086_3745.402956,8.29E-03,2.89E-01,2.21E-01,1.04E-01,2.48E-01,1.30E-01
-3271.778086_3845.402956,1.42E-02,1.81E-01,2.35E-01,1.28E-01,2.04E-01,2.37E-01
-3271.778086_3945.402956,1.34E-01,1.46E-01,3.63E-01,1.25E-01,1.37E-01,9.38E-02
-3271.778086_4045.402956,9.98E-02,2.62E-01,2.43E-01,1.07E-01,1.12E-01,1.77E-01
-3271.778086_4145.402956,1.34E-01,7.02E-02,3.77E-01,1.65E-01,1.90E-01,6.38E-02
-3271.778086_4245.402956,1.19E-01,5.03E-02,3.88E-01,1.74E-01,2.28E-01,4.06E-02
-3371.778086_2745.402956,1.63E-02,3.68E-01,3.35E-01,6.20E-02,1.12E-01,1.07E-01
-3371.778086_2845.402956,1.95E-02,2.61E-01,2.41E-01,1.20E-01,2.33E-01,1.26E-01
-3371.778086_2945.402956,2.56E-02,3.32E-01,2.52E-01,7.54E-02,9.93E-02,2.15E-01
-3371.778086_3045.402956,1.87E-01,1.98E-01,2.14E-01,1.33E-01,1.31E-01,1.38E-01
-3371.778086_3145.402956,1.49E-02,3.42E-01,3.42E-01,7.09E-02,1.51E-01,7.90E-02
-3371.778086_3245.402956,7.52E-02,1.50E-01,3.23E-01,1.25E-01,1.24E-01,2.02E-01
-3371.778086_3345.402956,1.36E-01,2.11E-01,2.98E-01,1.18E-01,1.34E-01,1.04E-01
-3371.778086_3445.402956,1.90E-03,2.28E-01,7.82E-02,8.47E-02,1.79E-01,4.29E-01
-3371.778086_3545.402956,1.43E-02,2.52E-01,3.02E-01,7.72E-02,1.06E-01,2.48E-01
-3371.778086_3645.402956,7.98E-03,2.91E-01,2.41E-01,9.99E-02,2.61E-01,9.87E-02
-3371.778086_3745.402956,3.85E-03,3.94E-01,1.69E-01,6.83E-02,1.58E-01,2.07E-01
-3371.778086_3845.402956,1.12E-02,2.64E-01,1.49E-01,8.24E-02,1.11E-01,3.84E-01
-3371.778086_3945.402956,7.41E-02,2.01E-01,3.85E-01,1.09E-01,1.57E-01,7.32E-02
-3371.778086_4045.402956,4.00E-02,1.78E-01,2.72E-01,1.46E-01,2.14E-01,1.50E-01
-3371.778086_4145.402956,1.99E-01,1.58E-01,3.87E-01,9.74E-02,1.21E-01,3.80E-02
-3371.778086_4245.402956,7.76E-02,1.52E-01,3.22E-01,1.23E-01,1.18E-01,2.07E-01
-3471.778086_2745.402956,2.12E-01,1.80E-01,2.86E-01,1.20E-01,1.60E-01,4.18E-02
-3471.778086_2845.402956,2.44E-02,1.85E-01,4.33E-01,9.62E-02,1.53E-01,1.08E-01
-3471.778086_2945.402956,2.09E-02,1.67E-01,2.85E-01,1.43E-01,2.73E-01,1.11E-01
-3471.778086_3045.402956,2.02E-01,2.53E-01,2.51E-01,9.01E-02,8.16E-02,1.22E-01
-3471.778086_3145.402956,2.12E-01,2.80E-01,3.79E-01,4.26E-02,4.03E-02,4.59E-02
-3471.778086_3245.402956,6.02E-02,2.63E-01,4.00E-01,7.13E-02,8.14E-02,1.24E-01
-3471.778086_3345.402956,1.62E-02,1.64E-01,4.88E-01,8.68E-02,1.50E-01,9.52E-02
-3471.778086_3445.402956,1.97E-02,1.84E-01,3.28E-01,1.20E-01,1.97E-01,1.51E-01
-3471.778086_3545.402956,8.54E-02,1.99E-01,3.68E-01,1.11E-01,2.02E-01,3.48E-02
-3471.778086_3645.402956,7.34E-02,2.61E-01,4.11E-01,8.00E-02,1.36E-01,3.92E-02
-3471.778086_3745.402956,2.81E-02,2.46E-01,2.71E-01,1.09E-01,1.57E-01,1.89E-01
-3471.778086_3845.402956,2.00E-02,2.89E-01,3.08E-01,6.70E-02,8.39E-02,2.32E-01
-3471.778086_3945.402956,9.07E-02,3.40E-01,2.53E-01,9.46E-02,1.31E-01,9.11E-02
