,cell_ID,OD,Microglia,Endothelial,Astrocyte,Inhibitory,Excitatory
-2071.778086_3945.402956,-2071.778086_3945.402956,0,0.446016067,0,0,0.553983933,0
-2071.778086_4045.402956,-2071.778086_4045.402956,0,0.361045162,0,0,0.638954838,0
-2071.778086_4145.402956,-2071.778086_4145.402956,0.85917452,0,0,0,0.14082548,0
-2071.778086_4245.402956,-2071.778086_4245.402956,0.213879083,0,0,0,0.786120917,0
-2171.778086_2745.402956,-2171.778086_2745.402956,0,0,0,0.626839511,0.373160489,0
-2171.778086_2845.402956,-2171.778086_2845.402956,0,0.111155489,0,0,0.888844511,0
-2171.778086_2945.402956,-2171.778086_2945.402956,0,0,1,0,0,0
-2171.778086_3045.402956,-2171.778086_3045.402956,0,0,0,0,1,0
-2171.778086_3145.402956,-2171.778086_3145.402956,0,0,0,0.385665924,0,0.614334076
-2171.778086_3245.402956,-2171.778086_3245.402956,0,0,0.430651625,0,0.569348375,0
-2171.778086_3345.402956,-2171.778086_3345.402956,0,0,1,0,0,0
-2171.778086_3445.402956,-2171.778086_3445.402956,0,0.526160683,0,0,0.473839317,0
-2171.778086_3545.402956,-2171.778086_3545.402956,0,0.367674914,0,0,0.632325086,0
-2171.778086_3645.402956,-2171.778086_3645.402956,0,0.39413871,0,0,0.60586129,0
-2171.778086_3745.402956,-2171.778086_3745.402956,0,0.054871937,0,0,0.945128063,0
-2171.778086_3845.402956,-2171.778086_3845.402956,0,0,0,0,1,0
-2171.778086_3945.402956,-2171.778086_3945.402956,0,0,1,0,0,0
-2171.778086_4045.402956,-2171.778086_4045.402956,0,0,0.789443223,0.210556777,0,0
-2171.778086_4145.402956,-2171.778086_4145.402956,0,0,1,0,0,0
-2171.778086_4245.402956,-2171.778086_4245.402956,0.582458259,0,0,0,0.417541741,0
-2271.778086_2745.402956,-2271.778086_2745.402956,0,0,0.72116084,0.27883916,0,0
-2271.778086_2845.402956,-2271.778086_2845.402956,0,0,1,0,0,0
-2271.778086_2945.402956,-2271.778086_2945.402956,0,0.181645801,0,0.108209598,0,0.710144601
-2271.778086_3045.402956,-2271.778086_3045.402956,0.415040446,0,0,0,0.584959554,0
-2271.778086_3145.402956,-2271.778086_3145.402956,0.210298603,0,0,0,0.789701397,0
-2271.778086_3245.402956,-2271.778086_3245.402956,0,0.414057948,0,0,0.585942052,0
-2271.778086_3345.402956,-2271.778086_3345.402956,0,0.513774746,0,0,0.486225254,0
-2271.778086_3445.402956,-2271.778086_3445.402956,0,0.451982162,0,0,0.548017838,0
-2271.778086_3545.402956,-2271.778086_3545.402956,0,0.62046832,0,0,0.37953168,0
-2271.778086_3645.402956,-2271.778086_3645.402956,0,0,0,0.697895856,0.302104144,0
-2271.778086_3745.402956,-2271.778086_3745.402956,0,0,0,0,0,1
-2271.778086_3845.402956,-2271.778086_3845.402956,0,0.348853874,0,0,0.651146126,0
-2271.778086_3945.402956,-2271.778086_3945.402956,0.294872505,0,0,0,0.705127495,0
-2271.778086_4045.402956,-2271.778086_4045.402956,0,0.026854355,0,0,0.973145645,0
-2271.778086_4145.402956,-2271.778086_4145.402956,0,0,0,0.419350278,0.580649722,0
-2271.778086_4245.402956,-2271.778086_4245.402956,0,0,0,1,0,0
-2371.778086_2745.402956,-2371.778086_2745.402956,0,0,0,0,1,0
-2371.778086_2845.402956,-2371.778086_2845.402956,0,0,0,0,1,0
-2371.778086_2945.402956,-2371.778086_2945.402956,0,0,0,0,1,0
-2371.778086_3045.402956,-2371.778086_3045.402956,0,0.491712296,0,0,0.508287704,0
-2371.778086_3145.402956,-2371.778086_3145.402956,0,0.377559571,0,0,0.622440429,0
-2371.778086_3245.402956,-2371.778086_3245.402956,0,0.332144622,0,0,0.667855378,0
-2371.778086_3345.402956,-2371.778086_3345.402956,0,0.284374503,0,0,0.715625497,0
-2371.778086_3445.402956,-2371.778086_3445.402956,0.057129319,0.163402682,0,0,0.779467999,0
-2371.778086_3545.402956,-2371.778086_3545.402956,0,0.382592137,0,0,0.617407863,0
-2371.778086_3645.402956,-2371.778086_3645.402956,0,0,0.572106935,0,0.427893065,0
-2371.778086_3745.402956,-2371.778086_3745.402956,0.288321949,0,0,0,0.711678051,0
-2371.778086_3845.402956,-2371.778086_3845.402956,0,0,0.742184551,0,0.257815449,0
-2371.778086_3945.402956,-2371.778086_3945.402956,0,0.442575774,0,0,0.557424226,0
-2371.778086_4045.402956,-2371.778086_4045.402956,0,0,0.621204746,0,0.378795254,0
-2371.778086_4145.402956,-2371.778086_4145.402956,0,0,0,0.881099195,0.118900805,0
-2371.778086_4245.402956,-2371.778086_4245.402956,0,0,0,1,0,0
-2471.778086_2745.402956,-2471.778086_2745.402956,0,0.204792252,0,0,0.795207748,0
-2471.778086_2845.402956,-2471.778086_2845.402956,0,0.0844279,0,0,0.9155721,0
-2471.778086_2945.402956,-2471.778086_2945.402956,0.391713484,0,0,0,0.608286516,0
-2471.778086_3045.402956,-2471.778086_3045.402956,0,0,0.731422555,0,0.268577445,0
-2471.778086_3145.402956,-2471.778086_3145.402956,0,0.437833994,0,0,0.562166006,0
-2471.778086_3245.402956,-2471.778086_3245.402956,0,0.292396687,0,0,0.707603313,0
-2471.778086_3345.402956,-2471.778086_3345.402956,0,0.336621336,0,0,0.663378664,0
-2471.778086_3445.402956,-2471.778086_3445.402956,0,0.431461845,0,0,0.568538155,0
-2471.778086_3545.402956,-2471.778086_3545.402956,0,0.319583368,0,0,0.680416632,0
-2471.778086_3645.402956,-2471.778086_3645.402956,0,0,1,0,0,0
-2471.778086_3745.402956,-2471.778086_3745.402956,0,0.501114371,0,0,0.498885629,0
-2471.778086_3845.402956,-2471.778086_3845.402956,0,0.215175013,0,0,0.784824987,0
-2471.778086_3945.402956,-2471.778086_3945.402956,0,0.155234532,0,0,0.844765468,0
-2471.778086_4045.402956,-2471.778086_4045.402956,0,0,0,0,1,0
-2471.778086_4145.402956,-2471.778086_4145.402956,0,0,0,0.26231394,0.73768606,0
-2471.778086_4245.402956,-2471.778086_4245.402956,0,0,0,1,0,0
-2571.778086_2745.402956,-2571.778086_2745.402956,0,0.849390359,0,0,0.150609641,0
-2571.778086_2845.402956,-2571.778086_2845.402956,0.3859506,0,0,0,0.6140494,0
-2571.778086_2945.402956,-2571.778086_2945.402956,0,0,0,0,1,0
-2571.778086_3045.402956,-2571.778086_3045.402956,0,0.499212103,0,0,0.500787897,0
-2571.778086_3145.402956,-2571.778086_3145.402956,0,0.57253301,0,0,0.42746699,0
-2571.778086_3245.402956,-2571.778086_3245.402956,0,0.56813341,0,0,0.43186659,0
-2571.778086_3345.402956,-2571.778086_3345.402956,0,0.529203953,0,0,0.470796047,0
-2571.778086_3445.402956,-2571.778086_3445.402956,0,0,0.64634393,0,0.35365607,0
-2571.778086_3545.402956,-2571.778086_3545.402956,0,0.377915554,0,0,0.622084446,0
-2571.778086_3645.402956,-2571.778086_3645.402956,0,0.288456182,0,0,0.711543818,0
-2571.778086_3745.402956,-2571.778086_3745.402956,0,0.284725599,0,0,0.715274401,0
-2571.778086_3845.402956,-2571.778086_3845.402956,0,0,0,0,1,0
-2571.778086_3945.402956,-2571.778086_3945.402956,0,0.221320985,0,0,0.778679015,0
-2571.778086_4045.402956,-2571.778086_4045.402956,0,0,0,1,0,0
-2571.778086_4145.402956,-2571.778086_4145.402956,0,0,0,0.945331391,0.054668609,0
-2571.778086_4245.402956,-2571.778086_4245.402956,0,0,0,1,0,0
-2671.778086_2745.402956,-2671.778086_2745.402956,0,0,0,0,1,0
-2671.778086_2845.402956,-2671.778086_2845.402956,0.259248919,0,0,0,0.740751081,0
-2671.778086_2945.402956,-2671.778086_2945.402956,0,0,0,0.659118257,0.340881743,0
-2671.778086_3045.402956,-2671.778086_3045.402956,0,0,0,0,1,0
-2671.778086_3145.402956,-2671.778086_3145.402956,0,0,0,0,0,1
-2671.778086_3245.402956,-2671.778086_3245.402956,0,0,0,0,1,0
-2671.778086_3345.402956,-2671.778086_3345.402956,0,0.420703966,0,0,0.579296034,0
-2671.778086_3445.402956,-2671.778086_3445.402956,0,0.230278655,0,0,0.769721345,0
-2671.778086_3545.402956,-2671.778086_3545.402956,0,0.14051656,0,0,0.85948344,0
-2671.778086_3645.402956,-2671.778086_3645.402956,0,0,0,0,1,0
-2671.778086_3745.402956,-2671.778086_3745.402956,0,0.025966218,0,0,0.974033782,0
-2671.778086_3845.402956,-2671.778086_3845.402956,0,0,0,0,1,0
-2671.778086_3945.402956,-2671.778086_3945.402956,0,0,0,0,1,0
-2671.778086_4045.402956,-2671.778086_4045.402956,0,0,0,1,0,0
-2671.778086_4145.402956,-2671.778086_4145.402956,0,0,0,1,0,0
-2671.778086_4245.402956,-2671.778086_4245.402956,0.852755633,0,0,0,0.147244367,0
-2771.778086_2745.402956,-2771.778086_2745.402956,0,0,0,0,1,0
-2771.778086_2845.402956,-2771.778086_2845.402956,0,0,0,0,1,0
-2771.778086_2945.402956,-2771.778086_2945.402956,0,0,0,0,1,0
-2771.778086_3045.402956,-2771.778086_3045.402956,0,0,0,0,1,0
-2771.778086_3145.402956,-2771.778086_3145.402956,0,0,0,0,1,0
-2771.778086_3245.402956,-2771.778086_3245.402956,0,0.356537303,0,0,0.643462697,0
-2771.778086_3345.402956,-2771.778086_3345.402956,0,0,0,0,1,0
-2771.778086_3445.402956,-2771.778086_3445.402956,0,0.123792615,0,0,0.876207385,0
-2771.778086_3545.402956,-2771.778086_3545.402956,0,0.057717914,0,0,0.942282086,0
-2771.778086_3645.402956,-2771.778086_3645.402956,0,0.096255785,0,0,0.903744215,0
-2771.778086_3745.402956,-2771.778086_3745.402956,0,0,0,0,1,0
-2771.778086_3845.402956,-2771.778086_3845.402956,0,0,0,0,1,0
-2771.778086_3945.402956,-2771.778086_3945.402956,0,0,0,1,0,0
-2771.778086_4045.402956,-2771.778086_4045.402956,0,0,0,1,0,0
-2771.778086_4145.402956,-2771.778086_4145.402956,0,0,0,1,0,0
-2771.778086_4245.402956,-2771.778086_4245.402956,0,0,0,0,1,0
-2871.778086_2745.402956,-2871.778086_2745.402956,0,0.535359149,0,0,0.464640851,0
-2871.778086_2845.402956,-2871.778086_2845.402956,0.454490868,0,0,0,0.545509132,0
-2871.778086_2945.402956,-2871.778086_2945.402956,0,0.386817488,0,0,0.613182512,0
-2871.778086_3045.402956,-2871.778086_3045.402956,0,0.438573515,0,0,0.561426485,0
-2871.778086_3145.402956,-2871.778086_3145.402956,0,0.648842192,0,0,0.351157808,0
-2871.778086_3245.402956,-2871.778086_3245.402956,0,0.605493557,0,0,0.394506443,0
-2871.778086_3345.402956,-2871.778086_3345.402956,0,0.612458836,0,0,0.387541164,0
-2871.778086_3445.402956,-2871.778086_3445.402956,0,0.524374773,0,0,0.475625227,0
-2871.778086_3545.402956,-2871.778086_3545.402956,0.257252463,0,0,0,0.742747537,0
-2871.778086_3645.402956,-2871.778086_3645.402956,0,0,0.674498412,0,0.325501588,0
-2871.778086_3745.402956,-2871.778086_3745.402956,0,0,0,0,1,0
-2871.778086_3845.402956,-2871.778086_3845.402956,0,0,0,0,1,0
-2871.778086_3945.402956,-2871.778086_3945.402956,0.227605296,0,0,0,0.772394704,0
-2871.778086_4045.402956,-2871.778086_4045.402956,0,0,0,1,0,0
-2871.778086_4145.402956,-2871.778086_4145.402956,0,0,0,1,0,0
-2871.778086_4245.402956,-2871.778086_4245.402956,0,0,0,0,1,0
-2971.778086_2745.402956,-2971.778086_2745.402956,0,0.290933032,0,0,0.709066968,0
-2971.778086_2845.402956,-2971.778086_2845.402956,0,0.196811139,0,0,0.803188861,0
-2971.778086_2945.402956,-2971.778086_2945.402956,0,0.320886548,0,0,0.679113452,0
-2971.778086_3045.402956,-2971.778086_3045.402956,0,0.183715833,0,0,0.816284167,0
-2971.778086_3145.402956,-2971.778086_3145.402956,0,0.372745089,0,0,0.627254911,0
-2971.778086_3245.402956,-2971.778086_3245.402956,0,0.41464294,0,0,0.58535706,0
-2971.778086_3345.402956,-2971.778086_3345.402956,0,0,0,0,1,0
-2971.778086_3445.402956,-2971.778086_3445.402956,0.363314808,0,0,0,0.636685192,0
-2971.778086_3545.402956,-2971.778086_3545.402956,0,0.480310041,0,0,0.519689959,0
-2971.778086_3645.402956,-2971.778086_3645.402956,0,0.40088864,0,0,0.59911136,0
-2971.778086_3745.402956,-2971.778086_3745.402956,0,0.427056917,0,0,0,0.572943083
-2971.778086_3845.402956,-2971.778086_3845.402956,0,0.261074251,0,0,0.738925749,0
-2971.778086_3945.402956,-2971.778086_3945.402956,0.128352184,0,0,0,0.871647816,0
-2971.778086_4045.402956,-2971.778086_4045.402956,0,0,0.410632406,0,0.589367594,0
-2971.778086_4145.402956,-2971.778086_4145.402956,0,0,0,0.45850738,0.54149262,0
-2971.778086_4245.402956,-2971.778086_4245.402956,0,0,0,0.403105216,0.596894784,0
-3071.778086_2745.402956,-3071.778086_2745.402956,0,0.217694703,0,0,0.782305297,0
-3071.778086_2845.402956,-3071.778086_2845.402956,0,0.323673966,0,0,0.676326034,0
-3071.778086_2945.402956,-3071.778086_2945.402956,0,0,0.577238829,0,0.422761171,0
-3071.778086_3045.402956,-3071.778086_3045.402956,0,0,1,0,0,0
-3071.778086_3145.402956,-3071.778086_3145.402956,0,0.194354832,0,0,0.805645168,0
-3071.778086_3245.402956,-3071.778086_3245.402956,0,0.337548075,0,0,0.662451925,0
-3071.778086_3345.402956,-3071.778086_3345.402956,0,0.959386277,0,0,0,0.040613723
-3071.778086_3445.402956,-3071.778086_3445.402956,0,0.532864866,0,0,0.467135134,0
-3071.778086_3545.402956,-3071.778086_3545.402956,0,0,0.514761493,0,0.485238507,0
-3071.778086_3645.402956,-3071.778086_3645.402956,0,0.108676298,0,0,0.891323702,0
-3071.778086_3745.402956,-3071.778086_3745.402956,0.326011304,0,0,0,0.673988696,0
-3071.778086_3845.402956,-3071.778086_3845.402956,0,0.451384328,0,0,0.548615672,0
-3071.778086_3945.402956,-3071.778086_3945.402956,0,0,0,0,1,0
-3071.778086_4045.402956,-3071.778086_4045.402956,0,0,1,0,0,0
-3071.778086_4145.402956,-3071.778086_4145.402956,0,0,0,1,0,0
-3071.778086_4245.402956,-3071.778086_4245.402956,0,0,0,1,0,0
-3171.778086_2745.402956,-3171.778086_2745.402956,0,0,0.203736104,0.671478524,0.124785372,0
-3171.778086_2845.402956,-3171.778086_2845.402956,0,0,0.86902858,0,0.13097142,0
-3171.778086_2945.402956,-3171.778086_2945.402956,0,0,0,0.685018058,0.314981942,0
-3171.778086_3045.402956,-3171.778086_3045.402956,0,0,0,0.233157352,0,0.766842648
-3171.778086_3145.402956,-3171.778086_3145.402956,0.264123405,0,0,0,0.735876595,0
-3171.778086_3245.402956,-3171.778086_3245.402956,0,0,0,0,0.585617468,0.414382532
-3171.778086_3345.402956,-3171.778086_3345.402956,0,0,0.63909108,0,0.36090892,0
-3171.778086_3445.402956,-3171.778086_3445.402956,0,0,0,0,1,0
-3171.778086_3545.402956,-3171.778086_3545.402956,0,0.388684249,0,0,0.611315751,0
-3171.778086_3645.402956,-3171.778086_3645.402956,0,0.268677126,0,0,0.731322874,0
-3171.778086_3745.402956,-3171.778086_3745.402956,0,0.411406527,0,0,0.588593473,0
-3171.778086_3845.402956,-3171.778086_3845.402956,0,0.442026852,0,0,0.557973148,0
-3171.778086_3945.402956,-3171.778086_3945.402956,0,0.529539295,0,0,0.470460705,0
-3171.778086_4045.402956,-3171.778086_4045.402956,0,0,0,0,1,0
-3171.778086_4145.402956,-3171.778086_4145.402956,0,0,0,0.683338535,0.316661465,0
-3171.778086_4245.402956,-3171.778086_4245.402956,0,0,0,1,0,0
-3271.778086_2745.402956,-3271.778086_2745.402956,0,0,1,0,0,0
-3271.778086_2845.402956,-3271.778086_2845.402956,0,0.216396202,0,0,0.783603798,0
-3271.778086_2945.402956,-3271.778086_2945.402956,0,0.362143635,0,0,0.637856365,0
-3271.778086_3045.402956,-3271.778086_3045.402956,0,0,0.66433986,0.33566014,0,0
-3271.778086_3145.402956,-3271.778086_3145.402956,0,0.175473622,0.824526378,0,0,0
-3271.778086_3245.402956,-3271.778086_3245.402956,0,0,0,0,1,0
-3271.778086_3345.402956,-3271.778086_3345.402956,0,0,0,1,0,0
-3271.778086_3445.402956,-3271.778086_3445.402956,0,0,1,0,0,0
-3271.778086_3545.402956,-3271.778086_3545.402956,0,0.894078861,0,0,0.105921139,0
-3271.778086_3645.402956,-3271.778086_3645.402956,0,0.558197784,0,0,0.441802216,0
-3271.778086_3745.402956,-3271.778086_3745.402956,0,0.282562862,0,0,0.717437138,0
-3271.778086_3845.402956,-3271.778086_3845.402956,0,0,1,0,0,0
-3271.778086_3945.402956,-3271.778086_3945.402956,0,0.267396635,0,0,0.732603365,0
-3271.778086_4045.402956,-3271.778086_4045.402956,0,0,0,0,1,0
-3271.778086_4145.402956,-3271.778086_4145.402956,0,0,0.71310408,0,0.28689592,0
-3271.778086_4245.402956,-3271.778086_4245.402956,0,0,0,1,0,0
-3371.778086_2745.402956,-3371.778086_2745.402956,0,0,0,0.921301394,0.078698606,0
-3371.778086_2845.402956,-3371.778086_2845.402956,0,0,0,0,1,0
-3371.778086_2945.402956,-3371.778086_2945.402956,0,0,0,1,0,0
-3371.778086_3045.402956,-3371.778086_3045.402956,0,0,0,0,1,0
-3371.778086_3145.402956,-3371.778086_3145.402956,0,0,0,1,0,0
-3371.778086_3245.402956,-3371.778086_3245.402956,0,0.169044834,0,0,0.830955166,0
-3371.778086_3345.402956,-3371.778086_3345.402956,0,0,1,0,0,0
-3371.778086_3445.402956,-3371.778086_3445.402956,0.293834357,0,0,0,0.706165643,0
-3371.778086_3545.402956,-3371.778086_3545.402956,0.110504061,0,0,0,0.889495939,0
-3371.778086_3645.402956,-3371.778086_3645.402956,0,0,0.665326597,0,0.334673403,0
-3371.778086_3745.402956,-3371.778086_3745.402956,0.170178788,0,0,0,0.829821212,0
-3371.778086_3845.402956,-3371.778086_3845.402956,0,0.286278122,0,0,0.713721878,0
-3371.778086_3945.402956,-3371.778086_3945.402956,0,0,0.542173503,0,0.457826497,0
-3371.778086_4045.402956,-3371.778086_4045.402956,0,0.187714186,0,0,0.812285814,0
-3371.778086_4145.402956,-3371.778086_4145.402956,0,0,0.827124661,0,0.172875339,0
-3371.778086_4245.402956,-3371.778086_4245.402956,0,0,0,0,1,0
-3471.778086_2745.402956,-3471.778086_2745.402956,0,0.425799799,0,0,0.574200201,0
-3471.778086_2845.402956,-3471.778086_2845.402956,0,0,0,0.884573977,0.115426023,0
-3471.778086_2945.402956,-3471.778086_2945.402956,0,0,0,1,0,0
-3471.778086_3045.402956,-3471.778086_3045.402956,0,0,0,0.727689094,0,0.272310906
-3471.778086_3145.402956,-3471.778086_3145.402956,0,0,1,0,0,0
-3471.778086_3245.402956,-3471.778086_3245.402956,0,0,0,1,0,0
-3471.778086_3345.402956,-3471.778086_3345.402956,0,0,0,1,0,0
-3471.778086_3445.402956,-3471.778086_3445.402956,0,0,0,0.981877357,0.018122643,0
-3471.778086_3545.402956,-3471.778086_3545.402956,0,0.139925859,0,0,0.860074141,0
-3471.778086_3645.402956,-3471.778086_3645.402956,0.270640274,0,0,0,0.729359726,0
-3471.778086_3745.402956,-3471.778086_3745.402956,0,0.26853646,0,0,0.73146354,0
-3471.778086_3845.402956,-3471.778086_3845.402956,0,0,0.419955344,0.186423782,0.393620874,0
-3471.778086_3945.402956,-3471.778086_3945.402956,0,0.296393717,0,0,0.703606283,0
-3471.778086_4045.402956,-3471.778086_4045.402956,0,1,0,0,0,0
-3471.778086_4145.402956,-3471.778086_4145.402956,0,0,0.589693303,0,0.410306697,0
-3471.778086_4245.402956,-3471.778086_4245.402956,0,0.500568255,0,0,0.499431745,0
1179.730793_2730.950073,1179.730793_2730.950073,0,0,0,0,0,1
1179.730793_2830.950073,1179.730793_2830.950073,0,0,0,1,0,0
1179.730793_2930.950073,1179.730793_2930.950073,0,0,0,1,0,0
1179.730793_3030.950073,1179.730793_3030.950073,0.400170574,0,0,0,0.599829426,0
1179.730793_3130.950073,1179.730793_3130.950073,0,0.166889149,0,0,0.833110851,0
1179.730793_3230.950073,1179.730793_3230.950073,0,0,0.461528928,0.538471072,0,0
1179.730793_3330.950073,1179.730793_3330.950073,0.065509799,0,0,0,0.934490201,0
1179.730793_3430.950073,1179.730793_3430.950073,0,0,1,0,0,0
1179.730793_3530.950073,1179.730793_3530.950073,0,0.335257408,0,0,0.664742592,0
1179.730793_3630.950073,1179.730793_3630.950073,0,0.885877472,0,0,0.114122528,0
1179.730793_3730.950073,1179.730793_3730.950073,0,0.382618585,0,0,0.617381415,0
1179.730793_3830.950073,1179.730793_3830.950073,0.362008729,0,0,0,0.637991271,0
1179.730793_3930.950073,1179.730793_3930.950073,0,0.498859436,0,0,0.501140564,0
1179.730793_4030.950073,1179.730793_4030.950073,0,1,0,0,0,0
1179.730793_4130.950073,1179.730793_4130.950073,0,0.743342562,0,0,0.256657438,0
1179.730793_4230.950073,1179.730793_4230.950073,0,0.562063837,0,0,0.437936163,0
1279.730793_2730.950073,1279.730793_2730.950073,0,0,0,0.787281104,0.212718896,0
1279.730793_2830.950073,1279.730793_2830.950073,0.226072818,0,0,0,0.773927182,0
1279.730793_2930.950073,1279.730793_2930.950073,0,0,0,0.928568467,0.071431533,0
1279.730793_3030.950073,1279.730793_3030.950073,0,0.446068843,0,0,0.553931157,0
1279.730793_3130.950073,1279.730793_3130.950073,0,0,0.360943376,0,0,0.639056624
1279.730793_3230.950073,1279.730793_3230.950073,0,0,1,0,0,0
1279.730793_3330.950073,1279.730793_3330.950073,0,0,0,0,0.302532539,0.697467461
1279.730793_3430.950073,1279.730793_3430.950073,0,0.386000487,0,0,0.613999513,0
1279.730793_3530.950073,1279.730793_3530.950073,0,0.107775266,0,0,0.892224734,0
1279.730793_3630.950073,1279.730793_3630.950073,0,0,0,0,1,0
1279.730793_3730.950073,1279.730793_3730.950073,0.433211037,0,0,0,0.566788963,0
1279.730793_3830.950073,1279.730793_3830.950073,0,0.870209682,0,0,0.129790318,0
1279.730793_3930.950073,1279.730793_3930.950073,0,0.744772402,0,0,0.255227598,0
1279.730793_4030.950073,1279.730793_4030.950073,0,0.470402705,0,0,0.529597295,0
1279.730793_4130.950073,1279.730793_4130.950073,0.655650339,0,0,0,0.344349661,0
1279.730793_4230.950073,1279.730793_4230.950073,0,0.465952625,0,0,0.534047375,0
1379.730793_2730.950073,1379.730793_2730.950073,0,0,0,0,1,0
1379.730793_2830.950073,1379.730793_2830.950073,0,0,0.869962084,0,0.130037916,0
1379.730793_2930.950073,1379.730793_2930.950073,0,0,1,0,0,0
1379.730793_3030.950073,1379.730793_3030.950073,0,0.219736637,0,0,0.780263363,0
1379.730793_3130.950073,1379.730793_3130.950073,0,0,0,1,0,0
1379.730793_3230.950073,1379.730793_3230.950073,0,0,0,1,0,0
1379.730793_3330.950073,1379.730793_3330.950073,0,0.214393446,0,0,0.785606554,0
1379.730793_3430.950073,1379.730793_3430.950073,0,0.235453183,0,0,0.764546817,0
1379.730793_3530.950073,1379.730793_3530.950073,0,0,0,0,1,0
1379.730793_3630.950073,1379.730793_3630.950073,0,0.185660262,0,0,0.814339738,0
1379.730793_3730.950073,1379.730793_3730.950073,0.697671748,0,0,0,0.302328252,0
1379.730793_3830.950073,1379.730793_3830.950073,0,0.617344905,0,0,0.382655095,0
1379.730793_3930.950073,1379.730793_3930.950073,0,0.355906585,0,0,0.644093415,0
1379.730793_4030.950073,1379.730793_4030.950073,0,0.262935027,0,0,0.737064973,0
1379.730793_4130.950073,1379.730793_4130.950073,0.47817367,0,0,0,0.52182633,0
1379.730793_4230.950073,1379.730793_4230.950073,0,0,0,0,0.492357318,0.507642682
1479.730793_2730.950073,1479.730793_2730.950073,0,0.241309657,0,0,0.758690343,0
1479.730793_2830.950073,1479.730793_2830.950073,0,0,0,0,1,0
1479.730793_2930.950073,1479.730793_2930.950073,0,0.557180373,0,0,0,0.442819627
1479.730793_3030.950073,1479.730793_3030.950073,0,0,0,0,1,0
1479.730793_3130.950073,1479.730793_3130.950073,0,0,0.387729615,0,0.612270385,0
1479.730793_3230.950073,1479.730793_3230.950073,0,0.700923501,0,0,0.299076499,0
1479.730793_3330.950073,1479.730793_3330.950073,0,0.277378935,0,0,0.722621065,0
1479.730793_3430.950073,1479.730793_3430.950073,0,0,0,0,1,0
1479.730793_3530.950073,1479.730793_3530.950073,0,0,0.969677226,0,0.030322774,0
1479.730793_3630.950073,1479.730793_3630.950073,0,0.541220876,0,0,0.458779124,0
1479.730793_3730.950073,1479.730793_3730.950073,0.342142679,0,0,0,0.657857321,0
1479.730793_3830.950073,1479.730793_3830.950073,0,0.368531606,0,0,0.631468394,0
1479.730793_3930.950073,1479.730793_3930.950073,0,0,0,0,1,0
1479.730793_4030.950073,1479.730793_4030.950073,0,0.288024132,0,0,0.711975868,0
1479.730793_4130.950073,1479.730793_4130.950073,0,0,0,0.996548633,0,0.003451367
1479.730793_4230.950073,1479.730793_4230.950073,0,0,0,1,0,0
1579.730793_2730.950073,1579.730793_2730.950073,0,0,0,0,1,0
